;great;trump;president;new;states;people;united;state;news;federal;american;administration;media;house;story;york;congress;white;republican;court;fake;washington;job;russia;donald;executive;group;former;working;history;fire;texas;help;phoenix;take;monday;jets;fbi;named;forward;city;election;game;supreme;big;night;robert;director;obama;next;second;end;another;joined;amendment;players;weak;orlando;approved;law;called;think;act;call;thank;article;leader;away;happy;ive;government;times;told;reserve;hard;country;senator;university;deal;biggest;death;movie;best;senate;nfl;protection;twitter;lawsuit;party;campaign;man;@;economy;starting;season;rights;iii;forum;deliver;florida
great;0;2;2;4;4;8;4;4;2;2;6;0;2;6;2;4;2;2;2;2;2;2;6;2;0;0;0;0;6;0;2;0;4;0;6;0;0;0;0;2;0;2;0;2;2;0;2;0;0;4;4;0;0;0;2;0;2;0;0;0;0;4;0;0;2;0;2;4;2;2;0;0;0;2;4;2;0;0;0;2;4;2;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
trump;0;0;12;0;2;4;2;4;4;6;0;6;4;4;2;0;2;2;4;4;4;2;4;4;8;4;2;0;2;0;0;2;2;4;0;4;0;2;0;2;0;4;0;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;4;2;2;2;0;4;2;0;0;0;0;2;2;0;0;2;0;6;6;2;0;0;0;0;0;0;2;0
president;0;0;0;2;4;4;4;4;2;2;0;4;2;0;0;2;2;2;4;2;2;4;2;2;2;2;4;2;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0
new;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;12;4;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;2;2;2;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;12;4;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;0;4;0;0;2;2;0;2;2;2;0;2;2;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
united;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;4;0;0;2;4;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2
news;0;0;0;0;0;0;0;0;0;2;0;0;6;2;0;0;2;2;0;0;10;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;0;0;2;2;0;4;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;4;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;4;0;2;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;4;0;0;4;0;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
