;people;united;states;trump;great;new;russia;campaign;president;big;government;republican;american;news;national;election;york;state;working;fbi;investigation;china;best;house;media;fake;looking;department;thank;night;millions;year;investigating;economy;presidential;syrian;democrats;white;order;amazing;2016;act;history;think;administration;justice;federal;committed;week;change;stop;help;obama;released;trumps;committee;serve;party;security;given;tonight;admitted;americans;totally;considering;transcript;@foxnews;democratic;away;trying;copy;talking;chip;another;bill;local;called;talks;could;man;whether;team;power;important;lot;rush;times;illegal;thing;money;full;military;hard;seen;country;social;lost;left;altright;iran
people;0;4;4;10;6;0;0;2;4;6;2;2;12;2;4;4;0;6;8;2;0;0;2;0;4;0;2;2;2;4;8;0;2;0;0;0;4;0;2;2;0;0;0;6;4;2;2;0;0;4;4;2;0;2;0;2;4;2;2;4;0;0;4;2;2;0;0;4;2;2;0;0;0;2;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0
united;0;0;30;8;2;2;2;0;2;4;4;0;2;0;0;0;2;0;2;0;2;4;0;2;0;0;0;2;0;4;2;2;0;2;0;2;0;2;4;0;0;0;4;0;4;2;4;2;0;4;2;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;2;2;0;0;0;2;0;0;4;0;2;2;0;2
states;0;0;0;6;0;2;2;0;2;4;4;2;2;2;2;0;2;2;2;0;2;4;2;2;0;2;0;2;0;2;2;2;0;0;0;2;0;2;4;0;0;0;2;0;4;2;4;2;0;4;2;2;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;4;2;0;0;2;2;0;0;0;2;0;0;2;0;2;2;0;2
trump;0;0;0;0;4;2;10;12;10;4;0;0;2;2;2;8;0;2;2;6;2;2;0;0;0;2;4;2;0;2;4;2;6;2;8;2;0;0;4;0;6;0;0;2;6;2;2;4;0;0;0;2;2;4;4;0;0;0;2;4;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0
great;0;0;0;0;0;8;0;0;4;2;2;4;0;2;2;2;2;4;4;2;2;0;0;2;2;0;0;0;6;2;2;4;0;2;0;0;0;2;0;4;0;0;2;2;0;0;2;0;0;2;2;2;0;2;0;0;0;2;2;4;2;0;4;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;0;2;4;2;0;2;0;0;0;0
new;0;0;0;0;0;0;2;2;6;2;2;4;0;2;0;0;12;4;0;0;2;0;0;0;0;0;2;2;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0;4;2;0;0;0;4;2;0;0;0;2;2;0;2;0;0;0;2;0;0;4;6;0;0;2;0;0;0;0;0;0;0;2;0;0
russia;0;0;0;0;0;0;0;8;4;2;0;0;0;0;0;6;2;0;0;4;4;2;0;0;0;0;4;2;0;0;0;2;4;0;8;0;2;0;2;0;6;0;2;0;2;2;0;2;0;0;0;2;2;2;6;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;4;2;0;0;6;2;4;2;2;0;2;6;2;0;0;0;0;6;0;6;0;0;0;2;0;4;2;0;0;2;2;0;4;0;0;0;0;2;4;6;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;2;2;0;0;2;0;0;2;0;0;4;2;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;6;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;2;0;4;0;0;2;2;2;2;2;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;4;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2
