;states;united;trump;president;great;government;people;new;state;federal;world;house;news;american;country;democrats;administration;obama;police;law;washington;white;post;year;man;russia;history;nations;department;report;fbi;released;party;texas;working;killed;love;national;senate;china;russian;presidential;may;jobs;campaign;election;deal;court;shooting;media;tuesday;congress;fake;wrong;director;another;end;support;former;republican;league;attack;fact;enforcement;become;force;committee;nfl;looking;2016;help;shot;city;job;act;general;lost;thank;times;military;america;big;possible;please;usa;number;money;stop;investigation;thing;corrupt;investigating;york;nothing;war;football;left;center;james;team
states;0;80;12;12;10;14;6;6;2;0;6;2;4;2;6;4;6;4;0;8;4;2;6;0;2;6;2;6;0;0;0;0;4;0;4;0;0;0;0;2;6;2;0;2;4;2;0;4;0;0;0;4;0;4;0;4;6;4;2;0;0;0;4;4;2;4;0;2;2;2;4;2;0;0;0;0;2;2;4;0;8;0;2;0;0;2;2;4;0;0;2;0;4;0;4;2;0;0;2;0
united;0;0;10;12;10;12;6;6;2;2;6;2;4;4;6;4;8;6;0;6;6;2;8;0;2;6;2;8;0;0;0;0;0;0;4;0;0;0;0;4;8;2;0;2;2;2;0;4;0;0;0;2;0;4;0;4;6;4;2;0;0;2;4;4;2;2;0;0;2;2;4;2;0;0;0;2;2;2;4;0;8;0;0;0;0;2;2;4;0;0;2;0;4;0;4;2;0;0;2;0
trump;0;0;0;32;8;4;10;8;2;4;2;12;8;0;4;2;14;6;4;0;4;10;8;2;2;2;2;0;4;4;4;4;6;2;0;0;0;4;4;4;2;6;2;4;10;2;0;0;4;2;2;2;6;4;4;4;0;2;2;2;0;2;2;0;2;0;4;2;0;0;2;0;0;2;0;6;0;0;2;0;6;2;2;0;0;0;2;0;2;2;0;2;2;2;0;0;0;0;2;0
president;0;0;0;0;6;4;2;10;0;4;0;10;8;4;4;6;2;12;2;0;2;8;4;0;0;0;4;6;0;4;2;4;2;0;0;0;0;4;4;0;0;0;0;4;0;4;0;0;0;2;2;4;4;2;4;2;0;4;2;2;0;2;6;0;2;0;4;2;2;0;0;0;0;0;0;2;4;0;2;0;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0
great;0;0;0;0;0;6;6;6;4;2;4;4;4;6;4;4;2;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0;0;2;0;0;6;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;8;0;0;6;2;0;4;6;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;6;0;2
government;0;0;0;0;0;0;4;8;2;16;2;6;0;4;2;2;4;2;0;0;2;4;4;0;0;2;0;2;2;6;0;6;2;0;2;0;0;0;0;2;6;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;2;4;0;0;0;4;2;0;0;2;2;0;0;0;4;0;0;2;0;0;0;0;2;2;0;2;0;2;0;0;0;2;4;2;0;0;4;0;0;0;2;0;0;0
people;0;0;0;0;0;0;0;2;4;4;6;8;0;14;2;4;8;4;2;4;8;4;4;0;2;0;0;0;6;0;0;0;2;0;0;4;2;0;2;2;2;2;2;2;0;4;0;2;2;0;2;0;0;0;0;0;2;2;0;4;0;4;4;0;0;2;0;2;0;2;2;0;2;2;4;4;0;0;0;2;0;2;4;0;0;0;4;2;0;2;6;4;0;2;0;0;2;0;0;2
new;0;0;0;0;0;0;0;0;4;2;2;2;4;0;2;4;4;6;0;2;2;2;4;2;0;2;2;4;0;6;2;6;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;4;2;0;10;2;0;2;0;0;0;2;0;0;0;0;0;2;12;0;0;2;0;0;0;0
state;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;2;0;0;2;6;0;0;0;8;0;0;0;0;2;0;4;0;2;4;2;0;0;4;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;2;2;0;2;2;0;4;0;2;4;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;2;2;0;0;0;0;0;6;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;0;2;4;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
