;people;great;american;president;trump;new;united;states;working;man;party;federal;help;support;house;republican;money;state;york;may;americans;congress;presidential;history;hard;democrats;city;taking;2016;fbi;thank;safe;national;killed;growing;rico;wwe;four;thing;media;puerto;white;love;reports;big;country;former;investigation;trying;little;terrorist;intelligence;named;republicans;mayor;tramp;power;administration;sentenced;important;military;department;lied;senate;closely;revolution;office;treated;democrat;leader;america;finally;report;trade;county;fake;death;team;political;star;nomination;strong;world;work;provide;best;successful;election;monkey;agency;return;russian;liberal;honor;used;left;ready;failing;budget;drug
people;0;4;20;2;2;0;4;4;0;2;6;2;4;4;2;6;2;2;0;2;0;4;4;0;2;4;0;0;2;2;0;2;0;0;0;4;0;2;0;2;4;2;0;2;2;6;0;0;6;2;0;4;0;0;2;0;2;4;0;0;2;0;4;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;4;0;4;2;0;2;4;0;2;0;0
great;0;0;2;2;2;2;0;0;0;0;2;2;0;0;2;2;2;4;2;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;2;0;2;2;0;2;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
american;0;0;0;2;2;0;2;2;0;0;2;0;2;2;0;4;0;0;0;2;0;4;4;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;2;4;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;0
president;0;0;0;0;14;0;8;6;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0;0;0;0;0;6;2;0;0;2;2;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0
trump;0;0;0;0;0;4;4;4;0;0;2;0;0;2;4;4;0;0;0;0;2;2;2;2;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;0;0;2;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;8;2;0;0;0;2;0;0;4;2;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
united;0;0;0;0;0;0;0;14;0;0;0;0;6;2;0;0;0;2;0;0;2;0;0;0;2;0;0;4;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
states;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;0;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;6;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
man;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
