;great;trump;people;president;states;republican;united;american;year;obama;police;democrats;black;new;job;house;thank;america;money;bill;russia;big;fire;wants;administration;country;fbi;start;party;love;government;radical;china;win;political;list;news;politics;isnt;leader;iran;senate;trying;iowa;congress;committee;windows;department;debate;military;national;federal;#maga;former;war;media;election;campaign;important;vote;race;taken;completely;carolina;latest;final;critical;david;past;south;bad;another;bernie;released;j;book;addition;john;place;ahead;give;10;dollars;tv;progress;americans;nothing;health;lost;city;washington;cost;crime;looking;justice;set;university;unique;left;wisconsin
great;0;6;8;4;4;2;4;6;6;0;0;0;0;4;6;4;6;8;0;0;0;0;2;2;2;4;0;2;0;2;2;0;2;4;0;0;0;2;0;4;0;0;2;4;0;2;0;0;2;4;2;2;0;0;0;2;2;2;2;0;0;0;4;2;2;0;2;2;4;2;4;0;0;0;0;4;0;2;2;2;0;0;0;0;2;2;2;2;2;0;0;0;2;2;0;0;0;0;0;2
trump;0;0;0;10;4;0;4;0;2;2;2;4;0;4;0;0;0;2;2;0;6;2;0;2;2;2;2;0;2;0;0;4;2;4;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;2;4;4;4;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;4;0
people;0;0;0;0;10;0;10;6;6;0;2;2;0;0;4;2;0;2;0;2;0;2;0;0;0;4;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2
president;0;0;0;0;4;4;4;0;0;2;2;2;2;2;0;2;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;4;0;2;2;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
states;0;0;0;0;0;2;20;2;4;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;6;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;2;2;2;0;4;0;4;0;4;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2
united;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;6;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;0;4;0;4;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;4;0;0;2;0;2;0;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0
