;canadians;trudeau;conservatives;justin;government;trudeaus;help;country;spending;blockades;liberals;illegal;economy;canadas;covid19;canada;taxes;support;work;watch;wasteful;workers;live;important;stand;conservative;people;project;crisis;plan;end;real;tax;continue;times;farmers;canadian;health;businesses;statement;families;everyone;weak;communities;across;family;put;thank;liberal;working;hard;fighting;debt;unprecedented;focused;#qp;making;measures;celebrate;behalf;take;energy;jobs;fight;happy;lets;deserve;life;yesterday;opportunity;leadership;spread;ensure;home;protect;future;action;world;difficult;national;needs;remember;community;law;built;outrageous;projects;legislation;lost;minister;new;recession;deficits;friends;celebrating;vulnerable;struggling;putting;governments;hurting
canadians;0;40;64;38;40;20;42;22;22;12;20;12;8;16;22;12;14;28;18;10;12;10;8;18;6;10;8;6;16;4;16;14;6;16;16;0;4;14;12;16;16;6;8;12;8;6;10;6;6;12;6;8;16;16;16;4;12;14;12;16;6;2;4;14;6;8;10;12;8;4;6;2;12;8;4;10;8;6;8;6;6;4;6;8;2;6;2;12;10;4;4;4;4;12;10;2;14;6;10;6
trudeau;0;0;34;80;20;10;8;22;20;26;20;22;22;12;4;4;16;6;6;24;18;4;24;8;12;6;8;16;6;10;16;4;14;2;4;10;8;0;2;0;4;2;8;4;8;4;6;4;10;4;4;8;12;0;4;14;6;2;0;2;6;8;8;4;0;2;12;8;0;2;6;0;4;2;0;2;6;0;2;0;10;2;2;10;6;12;4;0;4;8;2;6;4;2;0;2;10;6;2;6
conservatives;0;0;0;30;28;16;22;14;24;4;30;8;20;40;14;14;22;24;12;6;16;18;4;18;20;6;2;4;10;12;6;10;2;16;10;6;10;2;16;6;8;6;2;8;4;6;8;4;8;10;8;18;10;14;16;4;6;16;4;8;6;10;2;14;6;2;4;6;8;8;2;0;8;4;2;4;10;8;4;2;4;2;2;2;6;4;4;6;2;2;8;8;8;0;4;0;0;8;8;2
justin;0;0;0;0;12;48;8;24;26;32;6;30;20;8;2;4;12;4;6;24;20;4;24;8;8;4;6;10;10;2;8;4;16;6;2;6;4;0;2;0;4;0;14;4;8;6;4;2;0;6;8;10;8;0;6;16;8;0;0;0;0;6;12;8;0;2;8;6;0;4;12;0;4;4;0;6;6;0;0;6;8;0;2;8;4;12;4;0;4;4;0;10;6;2;0;2;6;2;2;10
government;0;0;0;0;0;8;10;8;14;2;0;4;4;2;12;6;6;12;8;2;6;8;2;4;4;8;4;4;12;0;4;2;0;4;14;2;4;4;8;4;0;0;0;2;6;0;4;2;12;2;2;4;6;12;6;0;6;10;0;4;4;2;0;6;0;2;2;2;0;4;2;0;0;4;4;4;2;0;2;2;2;0;0;2;0;0;2;4;2;0;2;2;2;0;0;0;6;8;6;0
trudeaus;0;0;0;0;0;0;2;12;26;20;10;22;16;4;0;8;14;2;4;14;22;2;12;6;6;2;2;6;8;0;4;2;8;8;2;6;4;0;2;0;4;0;18;4;4;4;4;2;2;2;6;6;6;0;2;8;2;0;0;0;0;4;10;4;0;0;2;2;0;4;14;0;2;2;2;6;4;0;2;6;0;0;0;8;4;0;6;0;4;2;0;10;14;0;0;6;0;0;4;10
help;0;0;0;0;0;0;0;2;2;0;6;0;2;2;20;0;4;0;6;0;0;4;0;6;2;0;4;0;4;0;0;10;2;2;10;4;4;10;6;0;6;6;0;4;2;4;2;4;2;4;4;6;4;12;10;0;4;8;0;0;2;0;0;4;0;6;0;6;6;0;0;8;6;10;8;0;0;2;4;0;0;2;0;0;0;2;0;6;0;0;2;0;0;2;0;2;2;0;2;0
country;0;0;0;0;0;0;0;0;2;20;2;20;8;4;2;8;0;6;6;14;2;4;12;6;4;2;0;12;2;2;4;4;2;0;0;0;4;0;6;2;2;8;6;6;24;2;2;0;2;0;2;0;2;0;0;8;4;0;4;0;0;6;8;6;2;10;0;2;0;8;6;2;0;0;0;0;4;0;0;2;0;4;0;8;6;2;6;0;4;0;0;0;2;4;2;0;2;2;2;2
spending;0;0;0;0;0;0;0;0;0;2;12;2;16;6;0;6;24;4;2;4;40;2;4;4;2;6;0;0;6;6;4;2;8;4;2;0;0;0;2;2;0;0;6;0;2;2;4;0;8;0;0;6;14;4;8;4;4;2;0;0;0;0;2;2;0;0;0;6;0;0;2;0;0;0;2;8;2;0;2;0;4;0;0;0;0;2;0;0;0;0;0;8;12;2;0;4;6;6;0;8
blockades;0;0;0;0;0;0;0;0;0;0;4;46;12;0;0;2;2;2;2;18;2;2;20;4;2;0;8;10;6;4;8;2;0;2;2;2;2;0;0;2;0;2;14;2;4;0;2;0;2;0;0;2;0;0;0;12;0;0;0;0;2;2;8;0;0;2;0;0;0;2;14;0;2;0;0;0;8;0;0;4;4;0;2;8;2;0;0;0;4;4;0;4;2;0;0;2;0;0;4;8
liberals;0;0;0;0;0;0;0;0;0;0;0;4;14;16;0;0;14;4;2;4;6;2;4;2;10;2;2;2;4;6;6;0;2;6;2;2;2;0;2;2;2;0;4;2;0;2;4;2;0;2;0;6;10;4;6;4;2;2;0;0;4;4;0;0;0;0;6;4;0;0;4;0;0;2;0;0;2;0;0;4;2;2;0;2;8;0;8;0;2;2;6;2;2;0;0;2;2;6;2;2
illegal;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;2;2;0;2;16;2;2;18;4;2;0;6;8;6;2;8;0;0;2;0;2;2;0;0;2;0;2;12;2;4;0;2;2;2;0;0;2;0;0;0;10;0;0;0;0;2;0;8;0;0;2;0;0;0;2;14;0;2;0;0;0;6;2;0;4;2;0;2;8;2;0;0;0;4;4;0;2;2;0;0;0;0;0;4;8
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;4;12;4;0;10;14;2;10;6;6;2;4;6;0;8;6;4;2;2;0;2;0;0;4;0;2;0;2;2;4;2;2;2;4;2;0;4;6;0;2;6;2;0;0;0;0;0;6;4;0;2;2;4;2;2;2;0;0;0;0;2;2;0;0;0;2;0;0;4;0;0;0;0;2;0;2;6;4;0;0;2;0;6;0;8
canadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;2;4;6;0;4;2;8;2;0;2;0;4;2;0;0;4;2;4;0;0;0;2;4;0;0;0;2;4;0;6;2;4;0;6;2;2;8;2;4;2;4;4;2;2;4;0;6;0;4;2;4;0;0;0;2;2;0;4;2;6;0;0;6;2;2;0;2;4;0;0;4;2;4;2;0;0;2;0;0;2;2;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;2;0;0;8;0;4;0;4;0;0;0;0;0;4;0;8;4;0;0;6;8;4;2;2;0;2;2;4;2;0;2;2;0;0;0;2;2;0;0;8;0;4;4;0;0;2;0;2;0;0;2;0;0;12;4;6;6;0;0;0;8;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;6;0
canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;6;6;4;4;4;0;2;0;4;2;8;2;4;0;0;4;0;2;2;4;4;2;4;6;4;8;0;2;2;6;4;0;4;0;0;2;2;4;4;2;2;2;4;6;4;2;0;0;4;4;6;2;0;4;4;2;2;4;4;0;0;8;2;2;2;4;0;2;0;0;2;0;0;4;0;2;4;0;0;0;0
taxes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;18;4;4;4;2;4;2;0;6;6;0;2;8;2;2;2;2;0;4;2;4;0;6;0;0;2;2;0;0;2;6;2;10;4;4;4;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;4;10;0;0;4;2;4;2;4
