;people;war;new;w;means;climate;working;congress;innocent;money;power;thank;community;saying;together;makes;everyone;status;give;iowa;protect;members;take;act;iraq;millions;building;2;moment;folks;year;#greennewdeal;progressive;census;healthcare;parties;trump;conflict;save;running;emissions;hit;sites;important;lives;vote;local;primary;movement;gop;targeting;actually;change;support;lets;courage;news;live;best;colonial;invest;housing;decisions;away;family;join;work;families;happy;big;house;republican;pup;justice;yes;social;often;congressional;workers;question;bernie;selling;fight;city;quite;district;mock;reduction;cant;update;bipartisan;cultural;field;calling;thoughts;health;huge;queens;sanders;50
people;0;10;4;2;4;2;2;2;6;2;2;0;2;4;4;2;0;2;2;0;4;0;0;2;0;4;0;0;2;0;0;0;0;2;4;4;2;2;2;0;0;0;2;0;4;2;2;4;0;2;2;2;0;0;0;0;0;2;0;2;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0
war;0;0;2;0;0;0;2;4;6;2;2;2;0;4;0;2;2;0;2;0;4;0;0;2;4;2;0;0;4;2;0;0;2;0;2;0;2;2;0;0;0;0;4;0;2;2;0;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
new;0;0;0;2;0;4;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0
w;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2
means;0;0;0;0;0;0;0;0;2;0;6;0;0;0;2;4;0;2;0;2;0;4;2;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0
climate;0;0;0;0;0;0;0;2;0;0;0;2;2;4;2;2;2;0;0;2;0;2;4;2;0;0;0;0;0;2;0;4;0;2;4;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
congress;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
innocent;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;6;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;4;2;2;0;0;0;2;0;6;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
money;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
