;people;w;paid;leave;help;workers;ubi;coronavirus;call;bill;healthcare;gop;care;could;student;pay;working;etc;policy;still;sick;work;relief;emergency;rent;take;away;suspensions;public;needs;lot;money;everyone;mortgage;cant;debt;progressive;important;major;new;loan;please;enough;nyc;climate;thank;great;support;payments;lives;means;hands;senate;unemployment;campaign;tax;bc;put;millions;insurance;payment;trump;health;state;covid;feel;fight;ny14;good;dem;afford;hospitals;understand;peoples;thing;crisis;happy;may;single;ways;corporate;tv;protect;year;stronger;move;bills;try;voters;families;vote;eviction;policies;rep;community;fund;next;jobs;response;worker
people;0;8;8;8;6;4;12;4;0;2;6;6;2;8;6;6;12;8;8;10;4;6;4;10;8;2;4;10;6;4;8;4;6;8;8;4;2;4;6;4;10;0;4;2;4;2;0;2;6;6;4;2;4;4;4;2;12;6;10;2;6;2;6;0;4;4;0;0;4;0;6;6;2;2;0;4;0;0;0;6;6;0;2;2;0;0;8;2;0;2;2;2;2;2;2;6;2;4;0;0
w;0;0;4;6;6;4;4;0;2;6;4;4;4;2;0;4;0;2;2;6;2;2;2;4;0;2;4;4;4;4;4;2;0;0;0;0;0;2;0;2;0;2;0;0;4;0;2;0;0;2;0;2;2;4;0;4;4;2;0;2;2;0;4;2;0;2;0;2;0;2;0;2;2;0;2;2;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;0;4;2;0;2;0;2;0;2
paid;0;0;0;32;6;12;12;6;2;4;10;4;2;0;0;4;4;4;2;0;12;4;2;6;4;6;0;6;4;2;0;0;2;2;4;4;0;2;0;2;0;4;2;2;0;4;0;2;0;0;4;0;0;6;0;6;0;2;0;2;2;0;6;0;2;0;4;0;0;0;2;0;0;0;2;4;0;2;0;4;2;0;6;0;0;2;0;2;0;0;0;2;2;2;0;4;0;2;2;4
leave;0;0;0;0;6;12;10;6;0;4;10;4;0;0;0;4;4;4;0;0;8;4;2;6;4;4;0;4;4;2;0;0;2;2;4;4;0;2;0;0;0;2;2;2;0;4;2;2;0;0;4;0;0;6;0;6;0;2;0;2;2;0;6;0;2;0;4;0;0;0;2;0;0;0;2;4;0;0;0;4;2;0;6;0;0;2;0;2;0;0;0;2;2;2;0;4;0;0;2;2
help;0;0;0;0;0;4;4;4;6;0;0;0;2;4;4;2;6;2;0;0;2;2;2;4;0;4;2;2;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;6;2;0;0;0;0;4;2;4;2;2;2;2;0;2;2;0;2;4;2;2;0;4;2;0;2;0;2;2;2;0;0;4;2;4;0;0;0;2;2;2;0;2;0;0;2;4;2;0;0;4;2;2
workers;0;0;0;0;0;0;6;2;0;4;2;4;0;0;0;4;2;4;0;2;0;2;2;6;2;2;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;2;0;2;0;2;2;0;0;8;0;2;0;2;0;6;0;0;2;4;2;0;4;0;2;0;0;2;0;0;0;0;0;2;0;4;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0
ubi;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;4;4;0;0;4;4;6;4;4;0;8;4;2;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;6;0;2;0;2;2;4;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;2
coronavirus;0;0;0;0;0;0;0;0;0;2;2;2;4;0;0;0;2;4;2;0;4;0;2;0;0;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;4;0
call;0;0;0;0;0;0;0;0;0;4;0;0;8;2;4;0;2;2;0;2;2;0;0;0;0;6;2;0;0;2;2;0;0;2;2;0;4;0;2;2;0;4;0;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;4;2;2;0;0;2;0;6;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;6;2;0;4;0;2;4;0;0;0;0;2;2;2;2;4;0;4;0;0;6;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;2;2;2;0;6;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;4;2;0;0;2
