;people;w;new;paid;working;public;work;thank;workers;gop;healthcare;leave;money;climate;take;help;could;bill;ubi;pay;coronavirus;means;policy;cant;everyone;campaign;call;important;care;community;etc;progressive;trump;away;war;congress;relief;change;put;lives;major;support;fight;rent;sick;millions;student;great;actually;still;food;folks;good;year;lot;without;starting;census;give;next;together;communities;protect;please;emergency;believe;families;power;2;powerful;live;vote;health;needs;taxes;justice;bc;state;corporate;loan;big;happy;country;hands;suspensions;enough;thing;saying;house;worked;single;city;tax;nyc;dem;mortgage;lets;think;debt;income
people;0;12;12;12;20;10;10;2;4;10;14;8;6;6;4;6;10;2;12;8;6;8;10;10;6;4;0;4;2;4;8;2;4;4;10;4;6;2;8;14;6;2;0;10;6;14;6;0;8;10;4;0;4;2;8;6;0;2;6;4;8;2;6;0;10;6;4;4;0;8;4;4;6;4;0;4;14;0;6;10;0;0;8;4;10;6;0;4;0;4;0;4;2;2;2;8;2;4;4;2
w;0;0;4;4;2;8;6;0;6;4;6;6;4;8;4;8;2;8;4;4;0;2;2;0;2;4;2;4;4;2;2;2;0;4;0;4;2;2;2;2;0;2;2;2;2;2;0;2;4;6;2;0;4;2;4;4;4;0;4;0;0;4;0;4;4;2;0;2;4;0;2;4;4;4;2;2;6;2;4;0;4;0;0;2;4;0;2;0;2;2;2;2;6;0;2;0;0;2;0;2
new;0;0;0;2;2;4;2;4;2;0;4;0;6;10;4;2;0;0;0;4;0;2;0;0;4;0;2;2;2;2;2;2;2;0;2;2;0;4;2;0;0;4;0;2;2;0;2;2;2;0;0;2;2;4;2;0;0;0;0;4;2;2;0;2;0;0;0;0;0;2;4;2;0;0;0;2;2;4;2;0;0;4;2;0;0;0;0;2;2;0;0;4;2;2;0;2;0;0;2;0
paid;0;0;0;0;4;6;6;4;12;4;12;32;0;0;6;6;0;4;12;6;6;4;2;6;2;0;2;2;2;0;4;0;0;0;0;0;2;0;2;0;0;2;4;4;14;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;6;4;6;4;0;0;0;0;2;0;6;2;6;0;0;0;2;0;0;0;2;0;6;4;2;0;0;0;0;0;6;2;0;2;0;2;4;6
working;0;0;0;0;0;2;2;4;4;2;2;4;4;2;2;6;2;2;0;4;2;2;2;0;0;2;2;0;2;0;2;2;2;2;2;2;2;4;0;0;2;4;4;4;2;0;4;2;0;2;0;4;4;2;2;0;0;0;2;4;2;2;0;2;2;2;4;0;0;4;0;0;0;0;0;2;0;0;2;4;2;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;4;0;2;0
public;0;0;0;0;0;0;2;0;0;2;4;4;6;2;4;2;4;4;4;2;2;0;2;2;4;2;0;2;0;0;0;2;0;2;0;6;2;4;0;0;0;2;2;0;0;0;0;0;4;0;2;2;4;0;0;0;4;2;0;0;0;2;2;2;2;2;0;0;2;0;0;0;10;6;0;4;2;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;6;2;0;0;2;8;2;2
work;0;0;0;0;0;0;0;4;2;0;4;4;4;2;4;4;2;0;6;2;0;2;2;4;8;6;0;2;0;4;2;0;0;0;0;0;2;0;4;0;0;0;2;2;2;0;0;6;0;0;2;0;0;0;6;4;0;0;0;0;0;0;0;4;4;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;4
thank;0;0;0;0;0;0;0;0;2;0;0;4;0;4;2;2;0;0;2;0;0;0;0;2;4;6;4;0;0;0;0;4;0;0;2;2;2;4;0;0;0;4;4;0;2;0;0;4;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0
workers;0;0;0;0;0;0;0;0;0;4;2;12;2;2;2;4;0;4;6;4;2;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;0;4;2;0;2;4;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;6;0;6;0;2;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
gop;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;6;2;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;6;2;0;0;2;0;0;2;0;0;0;0;0;0;6;0;4;0;0;0;0;2
