;people;w;covid;workers;congress;new;black;police;community;thank;vote;public;healthcare;health;everyone;work;communities;still;lives;check;racial;housing;bc;families;voting;white;pay;june;justice;relief;country;change;campaign;history;millions;power;free;working;call;help;take;food;family;week;ny14;without;budget;bill;isnt;ny;could;york;moment;wall;ppl;may;human;idea;thanks;support;care;asking;officers;across;violence;rent;primary;ballot;nyc;person;lot;policy;deal;money;young;trump;believe;crisis;bad;peoples;protect;yes;killed;house;street;nypd;good;federal;year;bronx;place;paid;living;folks;movement;stay;wrong;hit;streets;find
people;0;26;12;6;12;4;8;2;4;2;6;4;8;4;8;4;8;4;4;4;6;10;10;4;6;4;6;4;2;2;4;10;6;2;8;4;6;4;2;6;2;0;6;4;0;4;2;4;2;2;0;4;4;4;4;0;2;2;0;0;6;4;2;2;0;2;2;2;4;0;8;2;4;2;4;8;2;2;0;0;4;0;0;4;6;0;2;2;2;6;2;2;0;4;2;2;2;6;4;0
w;0;0;10;4;4;2;4;8;2;2;0;0;2;6;4;2;2;10;0;0;2;6;2;6;0;4;2;2;6;2;0;6;2;4;6;4;4;0;2;6;0;0;4;0;2;4;4;0;2;2;2;0;8;4;4;0;2;2;2;0;4;4;4;0;0;2;0;0;2;2;6;0;4;6;4;6;0;0;2;0;0;4;4;0;2;0;2;0;2;2;2;0;2;0;0;0;0;4;4;2
covid;0;0;0;4;2;4;8;2;6;2;0;2;0;4;4;2;10;0;4;2;2;0;2;0;0;0;0;0;2;2;4;2;0;0;0;2;6;0;0;4;2;4;0;0;4;2;0;0;0;0;0;2;0;2;2;2;0;0;0;4;2;2;0;2;0;0;0;0;6;0;0;0;0;0;2;0;4;2;0;0;0;0;0;4;4;0;0;2;0;2;0;0;0;0;0;0;0;8;2;0
workers;0;0;0;0;4;2;2;0;0;6;0;0;12;8;2;4;2;4;6;0;2;0;0;4;0;2;6;0;0;6;6;2;2;4;0;0;4;2;0;2;4;0;0;6;2;0;0;6;0;0;0;2;4;0;4;0;6;0;0;6;8;0;0;6;0;2;0;0;2;2;0;0;0;0;0;2;6;0;0;0;2;0;0;4;0;0;0;0;2;0;0;6;2;2;0;0;0;0;0;0
congress;0;0;0;0;0;2;0;2;2;0;4;4;2;2;2;0;0;0;2;6;0;4;4;4;2;4;0;2;0;2;6;0;2;0;2;4;0;6;6;2;0;0;0;0;0;2;0;10;0;0;2;2;2;6;4;2;0;2;0;0;0;0;2;4;0;4;2;2;0;0;0;2;0;2;0;2;2;4;0;2;6;4;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;8;2;2;0;4;6;2;4;0;0;6;2;0;0;4;0;0;0;8;0;0;8;4;0;2;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;0;14;2;0;0;2;0;0;0;4;0;0;2;2;0;0;6;4;0;2;0;2;6;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;2;0;4;4
black;0;0;0;0;0;0;0;8;6;0;2;0;0;2;0;2;8;0;2;2;8;0;2;0;0;6;2;0;4;2;2;0;2;4;0;2;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;2;2;4;0;0;0;0;0;2;2;0;2;4;0;2;2;0;0;2;0;4;2;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;4;0;2;2;4;2;0;0;2;2;0;4;0;6;0;0;0;2;4;0;2;0;4;0;2;0;0;2;4;0;2;0;2;0;2;0;0;0;10;0;0;2;0;0;4;0;2;0;0;2;0;0;0;4;2;4;4;0;0;0;0;0;2;2;2;6;4;0;0;0;2;0;0;6;6;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2
community;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;2;2;2;2;0;2;2;0;0;0;2;6;2;0;4;2;0;2;0;0;0;4;4;8;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;2;2;0;2;0;0;0;2;2;0;2;0;0;2;0;0;6;4;0;0;0;0;0;0;6;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0
