;#covid19;arizona;health;@azdhs;thank;arizonans;public;arizonas;@drcarachrist;protect;state;working;spread;work;continue;help;care;1;information;latest;food;discuss;access;together;kids;grateful;resources;visit;ensure;@supt_hoffman;stay;safe;families;support;efforts;healthy;#aztogether;combat;partnership;important;businesses;services;2;officials;watch;order;home;safety;new;across;guidance;director;thanks;executive;emergency;testing;provide;updates;blood;schools;#thearizonaway;@katemcgeeaz;school;@aznationalguard;22;3;ways;covid19;professionals;banks;local;federal;students;@cdcgov;meals;call;providers;leaders;5;people;continued;team;prevent;million;4;mental;issued;@foundationjem;partners;please;taking;az;proud;webinar;donate;community;additional;@jeffweninger;needed;yesterday
#covid19;0;136;126;110;74;68;82;58;72;62;48;42;72;50;36;50;38;52;56;60;22;62;30;32;36;24;36;34;26;30;26;24;26;20;36;34;36;38;34;34;32;28;16;16;34;22;24;22;24;24;20;34;22;22;18;20;20;28;18;18;0;4;22;14;10;8;24;14;20;18;18;14;10;18;20;24;20;16;14;12;16;22;20;10;8;4;18;0;16;12;16;10;6;20;12;8;12;0;6;14
arizona;0;0;70;30;24;30;42;14;24;22;22;38;22;26;32;22;20;16;20;8;6;4;20;34;22;30;14;22;26;22;6;10;22;24;12;8;14;20;6;12;14;18;10;10;0;6;10;8;18;10;4;8;8;6;10;14;20;14;6;12;26;16;8;12;8;12;6;6;12;6;10;14;8;4;14;6;2;6;8;0;2;14;4;10;4;10;4;14;10;4;12;4;16;0;8;8;10;12;8;8
health;0;0;0;52;26;40;106;32;42;64;22;38;34;28;30;16;54;26;6;6;2;8;28;4;14;22;8;8;20;6;6;18;8;16;24;8;2;24;12;12;2;20;20;34;8;18;14;26;6;6;12;16;8;14;24;8;14;14;4;6;12;18;2;4;4;14;6;12;22;0;8;16;2;10;2;2;10;10;2;6;8;12;8;4;6;24;6;18;12;0;14;6;0;2;2;4;6;16;10;6
@azdhs;0;0;0;0;12;12;32;28;80;26;20;20;16;12;16;4;12;8;8;28;4;24;4;0;2;4;4;4;12;0;2;6;0;0;20;2;0;8;0;8;4;14;10;12;18;8;0;12;8;4;24;32;2;8;14;2;6;12;0;2;0;0;4;12;6;6;4;6;8;2;8;8;0;22;0;12;12;10;8;0;6;10;6;0;6;0;8;0;8;6;10;6;0;10;0;4;4;0;4;4
thank;0;0;0;0;0;22;16;14;10;12;4;8;12;22;4;10;10;0;4;14;0;22;4;4;8;10;6;2;0;4;0;20;0;10;6;14;10;14;24;0;0;0;2;2;4;0;4;2;0;0;0;10;0;0;2;2;0;2;0;2;4;10;4;4;0;0;0;0;6;0;0;0;2;0;0;6;2;6;0;0;8;4;4;0;0;8;2;10;6;4;0;2;4;0;2;4;0;8;0;2
arizonans;0;0;0;0;0;0;24;10;4;26;30;20;16;20;24;24;14;20;10;0;10;2;12;10;4;22;10;8;16;2;6;20;4;6;12;16;10;4;10;10;4;4;10;8;0;12;8;10;4;16;4;0;6;8;8;4;4;2;4;0;2;2;0;4;10;10;8;8;4;8;8;6;0;6;0;4;4;4;8;4;6;4;4;6;2;2;6;2;4;2;4;6;4;0;2;6;6;2;8;6
public;0;0;0;0;0;0;0;22;28;66;18;28;26;26;26;6;12;20;4;4;0;8;4;4;8;12;0;6;10;8;6;10;4;2;16;8;0;18;10;10;2;6;10;28;6;14;10;26;4;6;6;12;6;10;16;4;12;12;6;2;0;2;2;4;8;10;4;4;16;0;10;10;4;6;0;2;4;2;2;0;4;14;6;2;4;0;4;0;10;2;12;2;0;0;2;2;4;0;12;2
arizonas;0;0;0;0;0;0;0;0;22;24;6;8;6;6;12;8;6;6;4;8;2;16;0;6;12;6;4;4;0;8;2;4;6;12;24;6;4;8;8;2;10;6;4;2;8;6;0;14;4;0;2;22;6;4;8;2;4;4;0;4;0;0;12;0;8;6;6;4;4;2;4;0;2;2;2;4;2;6;2;0;6;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;6
@drcarachrist;0;0;0;0;0;0;0;0;0;24;12;18;10;14;6;2;10;10;6;24;0;24;2;0;4;2;0;2;8;6;2;6;2;0;14;2;0;8;2;4;0;14;6;6;8;0;0;10;0;6;6;32;4;0;6;2;4;12;0;2;0;2;2;4;2;4;4;2;6;0;10;10;4;4;2;10;6;6;4;0;2;12;4;0;2;0;0;0;8;2;12;6;0;0;0;2;0;0;4;2
protect;0;0;0;0;0;0;0;0;0;0;12;18;18;18;16;8;4;10;6;4;0;8;0;4;2;14;0;0;8;4;2;4;0;2;14;2;0;14;12;4;0;4;8;8;8;6;0;18;0;0;0;12;4;4;10;8;8;6;0;0;0;0;0;4;6;8;6;6;8;2;8;8;0;4;0;2;4;2;0;0;2;12;4;0;2;0;2;0;8;0;12;2;0;0;0;2;4;0;8;2
