;arizona;#covid19;#thearizonaway;thank;health;state;arizonas;public;arizonans;@azdhs;work;working;new;continue;help;@drcarachrist;protect;#azbalanced;support;budget;kids;safety;care;1;school;spread;discuss;access;grateful;students;million;ensure;together;thanks;resources;information;jobs;families;people;great;proud;food;important;home;latest;law;schools;nation;visit;education;safe;across;service;everyone;stay;@supt_hoffman;year;watch;businesses;county;services;combat;officials;efforts;2;trade;healthy;2020;partnership;communities;director;#aztogether;order;3;community;provide;leaders;rural;guidance;country;president;testing;@aznationalguard;executive;emergency;22;address;updates;federal;continued;blood;@katemcgeeaz;veterans;az;welcome;mental;national;ways;enforcement;local
arizona;0;136;104;78;76;84;34;62;36;38;50;64;42;68;34;24;26;42;48;26;38;26;28;24;32;22;12;34;44;30;22;40;38;20;20;20;28;34;18;20;54;8;18;28;8;22;24;46;26;32;14;24;20;24;6;22;22;0;22;2;20;22;12;14;12;16;8;14;8;26;10;14;6;16;14;22;12;8;4;16;12;14;16;6;10;10;4;14;16;8;6;20;10;6;18;16;10;6;6;12
#covid19;0;0;0;74;126;48;58;82;68;110;50;42;24;36;50;72;62;0;20;2;36;22;38;52;22;72;62;30;24;10;10;26;32;22;36;56;0;26;12;6;6;22;34;24;60;2;18;4;34;4;24;24;4;8;26;30;0;34;32;6;28;38;16;36;16;0;34;2;34;12;34;36;22;8;8;20;16;2;20;10;10;20;14;22;18;10;14;28;14;16;18;4;0;10;0;4;8;24;2;18
#thearizonaway;0;0;0;22;18;56;20;28;12;4;12;20;22;16;26;0;2;82;12;68;18;22;10;4;18;0;0;18;2;26;32;12;6;2;12;2;18;12;12;12;12;0;8;14;0;44;20;8;0;20;0;6;6;4;0;0;16;2;0;18;4;6;0;0;0;4;0;14;0;16;0;0;0;2;4;4;2;16;0;14;4;0;0;0;0;0;12;0;0;2;0;18;18;4;8;16;4;0;24;0
thank;0;0;0;0;28;24;34;22;24;12;38;10;2;8;16;10;14;4;28;2;10;6;12;0;12;12;34;8;16;14;2;0;4;0;8;4;2;4;2;10;12;0;10;10;14;16;2;6;4;10;24;0;12;20;0;4;6;8;2;6;0;14;2;8;2;4;14;6;26;6;12;10;0;0;10;2;16;0;0;2;4;2;8;0;2;2;6;2;0;10;0;12;2;4;14;10;0;0;4;0
health;0;0;0;0;0;24;36;108;40;54;28;40;6;30;16;42;64;2;16;4;14;26;60;26;2;34;8;36;22;2;4;24;4;8;10;6;0;10;6;0;0;2;14;14;6;16;6;2;8;4;18;6;0;10;6;6;0;8;2;4;22;24;34;24;20;0;8;2;12;4;18;2;18;14;4;14;10;0;12;0;2;8;4;14;24;4;6;14;18;8;4;22;0;6;0;32;8;6;2;8
state;0;0;0;0;0;0;28;24;36;22;24;16;16;26;10;12;18;14;6;18;6;12;2;16;10;6;4;10;14;6;14;10;4;20;8;6;10;6;8;10;12;4;8;4;2;4;8;18;10;6;4;40;12;14;2;6;8;2;8;12;6;2;4;4;8;6;2;12;0;12;2;4;4;4;12;2;4;6;4;12;0;2;4;4;4;6;18;2;8;10;0;4;14;8;6;2;0;2;2;10
arizonas;0;0;0;0;0;0;0;26;10;28;14;10;10;12;10;22;26;8;20;10;16;18;8;6;12;6;24;2;10;4;6;0;6;8;4;4;8;6;4;8;8;2;6;0;8;0;4;8;6;10;4;4;10;10;2;8;8;12;12;8;8;8;2;24;4;18;6;14;8;12;24;4;6;8;6;4;10;8;2;4;2;2;2;4;8;10;4;4;2;10;0;0;6;2;2;2;2;6;0;4
public;0;0;0;0;0;0;0;0;24;34;30;30;12;30;8;28;68;28;2;22;12;48;12;20;10;26;8;10;14;12;8;14;4;6;4;4;4;4;0;2;6;0;12;10;4;2;16;4;6;18;12;8;8;4;6;8;0;6;2;4;6;18;28;16;10;0;8;0;10;10;12;0;14;10;4;14;6;6;6;0;2;4;4;10;16;8;4;12;10;6;6;2;4;2;2;2;2;4;0;10
arizonans;0;0;0;0;0;0;0;0;0;14;28;22;6;30;28;4;26;2;6;4;4;10;14;22;0;16;4;12;24;0;8;16;10;8;10;10;8;4;4;0;4;10;12;8;0;6;0;4;8;0;22;16;6;4;6;2;0;0;4;0;6;4;8;12;12;4;16;6;10;2;2;10;12;10;8;4;4;2;4;0;0;4;4;8;8;10;2;2;6;6;4;2;0;8;0;2;2;8;2;8
@azdhs;0;0;0;0;0;0;0;0;0;0;12;26;8;18;4;80;26;4;0;0;2;12;12;8;4;16;24;6;4;0;0;14;0;2;6;8;0;0;0;0;0;4;8;0;28;2;2;0;4;2;6;4;2;2;2;0;0;18;4;4;16;10;16;20;10;0;2;0;0;6;32;0;8;6;4;6;10;0;24;4;2;2;12;8;14;6;2;12;12;6;0;0;0;6;0;2;4;4;2;10
work;0;0;0;0;0;0;0;0;0;0;0;14;4;14;12;14;22;4;10;6;8;14;6;10;6;14;6;6;22;8;6;8;4;16;4;0;4;0;4;10;10;4;6;0;2;4;2;4;0;4;14;6;4;10;2;8;2;2;2;0;6;10;4;2;6;2;8;2;14;4;4;6;4;8;2;6;0;0;2;0;0;6;0;4;4;4;2;0;4;2;0;2;2;6;0;2;0;2;2;4
working;0;0;0;0;0;0;0;0;0;0;0;0;2;16;8;18;18;12;6;2;8;6;22;14;4;12;0;12;10;2;4;28;14;8;6;4;6;6;2;2;2;0;8;4;0;4;6;2;2;6;12;8;4;6;2;4;2;0;2;2;4;14;12;4;0;2;4;2;6;8;0;4;2;2;2;2;4;0;6;0;2;2;0;2;8;2;0;6;10;0;0;4;0;8;2;4;4;0;2;6
new;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;10;2;14;0;4;2;10;6;2;0;0;0;4;14;4;6;4;2;0;20;2;8;2;2;0;2;6;0;2;4;6;0;2;4;4;6;4;0;0;10;0;6;2;2;4;2;0;4;10;2;4;0;2;0;0;6;2;0;4;0;0;10;2;0;2;0;6;0;2;0;0;2;2;0;0;2;2;6;2;2;0;2;2
