Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"Sat down w/ @uarizona Pres. Dr. Robbins to discuss the latest on #COVID19 &amp; our universities’ work to protect public health &amp; provide flexibility to students in the coming months. A medical doctor, @UArizonaPres has worked with AZ to combat this virus and expand antibody testing.",312,2020-06-30 20:07:42,Twitter Web App,54,11,dougducey,1278057644180168705,,20217019,False,https://t.co/DwCdgfGUGw,en,June,Q2,"['sat', 'w', '@uarizona', 'pres', 'dr', 'robbins', 'discuss', 'latest', '#covid19', 'universities', 'work', 'protect', 'public', 'health', 'provide', 'flexibility', 'students', 'coming', 'months', 'medical', 'doctor', '@uarizonapres', 'worked', 'az', 'combat', 'virus', 'expand', 'antibody', 'testing']"
"Returning The Favor, a series hosted by Mike Rowe, featured The Wildland Firefighter Guardian Institute in 2018. It was an honor to join @mikeroweworks, family of #Yarnell19 and supporters two years ago at the Granite Mountain Hotshots Memorial State Park to honor the fallen.",300,2020-06-30 20:02:04,Twitter Media Studio,67,12,dougducey,1278056227637915648,,20217019,False,https://t.co/DYwuvxib0X,en,June,Q2,"['returning', 'favor', 'series', 'hosted', 'mike', 'rowe', 'featured', 'wildland', 'firefighter', 'guardian', 'institute', '2018', 'honor', 'join', '@mikeroweworks', 'family', '#yarnell19', 'supporters', 'granite', 'mountain', 'hotshots', 'memorial', 'state', 'park', 'honor', 'fallen']"
@SonoraQuestLabs @BannerHealth @DignityHealthAZ 3/3,51,2020-06-30 19:14:49,Twitter Web App,16,0,dougducey,1278044338753163264,20217019.0,20217019,False,,en,June,Q2,"['@sonoraquestlabs', '@bannerhealth', '@dignityhealthaz', '33']"
We’re grateful for the continued partnership from our health leaders. @AZDHS @navajodephealth @Maricopahealth @CPLCdotORG @DavidAdameCPLC @HealthSystemsAZ @azhospitalassn @ArizonaMedicine @ArizonaNurses @ASUResearch @UArizonaPres 2/,232,2020-06-30 19:14:32,Twitter Web App,27,2,dougducey,1278044264769806336,20217019.0,20217019,False,,en,June,Q2,"['grateful', 'continued', 'partnership', 'health', 'leaders', '@azdhs', '@navajodephealth', '@maricopahealth', '@cplcdotorg', '@davidadamecplc', '@healthsystemsaz', '@azhospitalassn', '@arizonamedicine', '@arizonanurses', '@asuresearch', '@uarizonapres', '2']"
"We were joined by Dr. Birx and health and community leaders from around the state to discuss continued efforts to contain the spread of #COVID19. Arizona’s focused on expanding testing and amplifying contact tracing, while pausing high-risk activities. 1/",279,2020-06-30 19:13:33,Twitter Web App,100,26,dougducey,1278044016429330434,,20217019,False,https://t.co/xT9l1lmysp,en,June,Q2,"['joined', 'dr', 'birx', 'health', 'community', 'leaders', 'state', 'discuss', 'continued', 'efforts', 'contain', 'spread', '#covid19', 'arizonas', 'focused', 'expanding', 'testing', 'amplifying', 'contact', 'tracing', 'pausing', 'highrisk', 'activities', '1']"
Flags at all state buildings are at half-staff today to honor the 19 Granite Mountain Hotshots. #Yarnell19,130,2020-06-30 18:38:46,Twitter for iPhone,362,71,dougducey,1278035264061837312,,20217019,False,https://t.co/Yt1vHT27R4,en,June,Q2,"['flags', 'state', 'buildings', 'halfstaff', 'honor', '19', 'granite', 'mountain', 'hotshots', '#yarnell19']"
"She led the fight against the HIV/AIDS epidemic, and has received international recognition for her work in HIV/AIDS immunology, vaccine research and global health. We’re grateful for her continued advice &amp; partnership and that of the entire Administration to combat #COVID19. 2/2",284,2020-06-30 17:02:16,Twitter Web App,77,9,dougducey,1278010981545734144,20217019.0,20217019,False,,en,June,Q2,"['led', 'fight', 'hivaids', 'epidemic', 'received', 'international', 'recognition', 'work', 'hivaids', 'immunology', 'vaccine', 'research', 'global', 'health', 'grateful', 'continued', 'advice', 'partnership', 'entire', 'administration', 'combat', '#covid19', '22']"
We’re proud to welcome Dr. Deborah Birx to Arizona. Dr. Birx is the Coronavirus Response Coordinator for the @WhiteHouse Coronavirus Task Force. She’s a world-renowned medical expert with more than three decades of public health experience at the highest levels. 1/,289,2020-06-30 17:00:51,Twitter Web App,299,57,dougducey,1278010621313732608,,20217019,False,https://t.co/58n4OiGiE7,en,June,Q2,"['proud', 'welcome', 'dr', 'deborah', 'birx', 'arizona', 'dr', 'birx', 'coronavirus', 'response', 'coordinator', '@whitehouse', 'coronavirus', 'task', 'force', 'shes', 'worldrenowned', 'medical', 'expert', 'decades', 'public', 'health', 'experience', 'highest', 'levels', '1']"
Arizona remembers the #Yarnell19:,57,2020-06-30 15:00:01,Twitter Media Studio,323,67,dougducey,1277980213687857152,,20217019,False,https://t.co/tdOVVcWBXM,en,June,Q2,"['arizona', 'remembers', '#yarnell19']"
"Seven years ago, on a day AZ will never forget, 19 Granite Mountain Hotshot Firefighters lost their lives protecting fellow Arizonans and their communities. Our hearts are with their families, fellow firefighters and the community of Yarnell on this solemn anniversary. #Yarnell19",304,2020-06-30 12:00:00,Twitter Media Studio,895,213,dougducey,1277934912700444674,,20217019,False,https://t.co/Ws8CpQ0MuW,en,June,Q2,"['seven', 'az', 'forget', '19', 'granite', 'mountain', 'hotshot', 'firefighters', 'lost', 'lives', 'protecting', 'fellow', 'arizonans', 'communities', 'hearts', 'families', 'fellow', 'firefighters', 'community', 'yarnell', 'solemn', 'anniversary', '#yarnell19']"
