Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter,TweetsTokenized
"Experience the beauty of Ontario as you celebrate Canada Day this year! Tomorrow day use of all provincial parks will be free, and for the next two weeks we’re providing free fishing for everyone. 

I wish everyone a happy, and most of all safe, Canada Day! 🇨🇦",284,2020-06-30 20:30:58,Twitter for iPhone,497,75,fordnation,1278063500628287488,False,https://t.co/4RXMxT31Aq,en,June,Q2,"['experience', 'beauty', 'ontario', 'celebrate', 'canada', 'year', 'tomorrow', 'use', 'provincial', 'parks', 'free', 'next', 'weeks', 'providing', 'free', 'fishing', 'everyone', 'wish', 'everyone', 'happy', 'safe', 'canada']"
"Great news from @AmazonCa who announced the opening of their second Ottawa facility today. Opening in 2021 this fulfillment centre will create 1000 full-time jobs for the region. 

Read more:",215,2020-06-30 19:45:11,Twitter for iPhone,731,72,fordnation,1278051978468261896,False,https://t.co/RnYkFrCsm3,en,June,Q2,"['great', 'news', '@amazonca', 'announced', 'opening', 'second', 'ottawa', 'facility', 'opening', '2021', 'fulfillment', 'centre', 'create', '1000', 'fulltime', 'jobs', 'region']"
"We are celebrating Canada Day in true Canadian style by giving everyone a chance to explore Ontario! 🇨🇦 

We are allowing FREE day use of all provincial parks on Canada Day and free fishing starting July 4-July 19! 🎣",266,2020-06-30 17:21:55,Twitter for iPhone,264,76,fordnation,1278015924986089472,False,https://t.co/mHlfRO8OpX,en,June,Q2,"['celebrating', 'canada', 'canadian', 'style', 'giving', 'everyone', 'chance', 'explore', 'ontario', 'allowing', 'free', 'use', 'provincial', 'parks', 'canada', 'free', 'fishing', 'starting', 'july', '4july', '19']"
"Premier Ford makes an announcement with Minister Elliott, Minister Yurek and Minister MacLeod",117,2020-06-30 17:01:09,Twitter Media Studio,82,23,fordnation,1278010697180422147,False,https://t.co/NDxVwL1rJj,en,June,Q2,"['premier', 'ford', 'makes', 'announcement', 'minister', 'elliott', 'minister', 'yurek', 'minister', 'macleod']"
"Supporting local businesses is the #1 thing we can do to support our economy.

Small businesses are living proof that Ontario is a place to grow and achieve big dreams. 

Shop local, shop safe and shop with confidence in Ontario, by Ontario.

#ShopLocalON",304,2020-06-30 15:12:49,Twitter for iPhone,223,42,fordnation,1277983433810161664,False,https://t.co/8yNBFfa4Ex,en,June,Q2,"['supporting', 'local', 'businesses', '#1', 'thing', 'support', 'economysmall', 'businesses', 'living', 'proof', 'ontario', 'place', 'grow', 'achieve', 'big', 'dreams', 'shop', 'local', 'shop', 'safe', 'shop', 'confidence', 'ontario', 'ontario#shoplocalon']"
"Before #COVID19 our government was hard at work making Ontario businesses more competitive. Cutting red tape will reduce unnecessary barriers to success. 

Together, we can help businesses in our province thrive.",236,2020-06-30 00:48:23,Twitter Web App,224,44,fordnation,1277765893670547456,False,https://t.co/mzCJJ5x9lT,en,June,Q2,"['#covid19', 'government', 'hard', 'work', 'making', 'ontario', 'businesses', 'competitive', 'cutting', 'red', 'tape', 'reduce', 'unnecessary', 'barriers', 'success', 'together', 'help', 'businesses', 'province', 'thrive']"
"The reports of corruption and criminal activity impacting our tow truck industry are unacceptable. While the vast majority of Ontario’s tow truck drivers are good, hardworking people, a small group is out there causing trouble. 

That ends now.",268,2020-06-29 22:34:01,Twitter Web App,397,63,fordnation,1277732079674052608,False,https://t.co/1jisZfS6zm,en,June,Q2,"['reports', 'corruption', 'criminal', 'activity', 'impacting', 'tow', 'truck', 'industry', 'unacceptable', 'vast', 'majority', 'ontarios', 'tow', 'truck', 'drivers', 'good', 'hardworking', 'people', 'group', 'causing', 'trouble', 'ends']"
"Tow truck operators play a key role in keeping our roads safe but we’re concerned about reported incidents of violence. Today, @C_Mulroney, @SylviaJonesMPP and I launched a task force to provide greater oversight and protect Ontarians and their families.",279,2020-06-29 18:00:34,Twitter Web App,105,15,fordnation,1277663264772628482,False,https://t.co/RRdrp2OfN6,en,June,Q2,"['tow', 'truck', 'operators', 'play', 'key', 'role', 'keeping', 'roads', 'safe', 'concerned', 'reported', 'incidents', 'violence', '@c_mulroney', '@sylviajonesmpp', 'launched', 'task', 'force', 'provide', 'greater', 'oversight', 'protect', 'ontarians', 'families']"
"Premier Ford makes an announcement with Minister Mulroney, Minister Jones and Minister Elliott.",119,2020-06-29 17:04:14,Twitter Media Studio,100,32,fordnation,1277649086099992576,False,https://t.co/r4tFTaD86U,en,June,Q2,"['premier', 'ford', 'makes', 'announcement', 'minister', 'mulroney', 'minister', 'jones', 'minister', 'elliott']"
"We need to tear down the barriers that stand in the way of our youth reaching their full potential. 

A part of that plan includes investing more than $13M through the Youth Opportunities Fund to support youth and community-led projects.",261,2020-06-29 15:56:52,Twitter Web App,193,36,fordnation,1277632133557891072,False,https://t.co/Y0Q6iSHMMv,en,June,Q2,"['tear', 'barriers', 'stand', 'youth', 'reaching', 'full', 'potential', 'part', 'plan', 'includes', 'investing', '13m', 'youth', 'opportunities', 'fund', 'support', 'youth', 'communityled', 'projects']"
"Now, more than ever, we need to stick together and remember we all have a role to play in Ontario’s recovery. Shop local. Follow health and safety advice. Get tested if you’re worried you’ve been in contact with someone who has #COVID19.",261,2020-06-29 14:19:22,Twitter Web App,318,76,fordnation,1277607595264610304,False,https://t.co/YYEB6iFxQl,en,June,Q2,"['stick', 'together', 'remember', 'role', 'play', 'ontarios', 'recovery', 'shop', 'local', 'follow', 'health', 'safety', 'advice', 'tested', 'worried', 'youve', 'contact', 'someone', '#covid19']"
"If you’re looking for the best, shop Ontario-made products! 

As our economy continues to reopen, let’s work together to rebuild our local business communities. 

We are stronger together.",212,2020-06-29 00:10:34,Twitter Web App,1270,133,fordnation,1277393990808154113,False,https://t.co/t6PSeHIXng,en,June,Q2,"['looking', 'best', 'shop', 'ontariomade', 'products', 'economy', 'continues', 'reopen', 'lets', 'work', 'together', 'rebuild', 'local', 'business', 'communities', 'stronger', 'together']"
Last week I spoke with 103.9 FM @CHOKsarnia about the guidelines and protocols Ontario has in place to ensure a safe economic reopening and ensure we can trace and treat people as quickly as possible.,224,2020-06-28 19:01:34,Twitter Web App,111,11,fordnation,1277316228160290818,False,https://t.co/60AJCXwf0V,en,June,Q2,"['week', 'spoke', '1039', 'fm', '@choksarnia', 'guidelines', 'protocols', 'ontario', 'place', 'ensure', 'safe', 'economic', 'reopening', 'ensure', 'trace', 'treat', 'people', 'quickly', 'possible']"
"We’re investing an additional $4M to community organizations helping seniors with: 
✅ Combatting social isolation 
✅ Promoting safety and well-being 
✅ Financial security 
✅ Making communities senior-friendly",232,2020-06-28 15:16:27,Twitter Web App,294,52,fordnation,1277259574773415937,False,https://t.co/U83kLlsrg4,en,June,Q2,"['investing', 'additional', '4m', 'community', 'organizations', 'helping', 'seniors', 'combatting', 'social', 'isolation', 'promoting', 'safety', 'wellbeing', 'financial', 'security', 'making', 'communities', 'seniorfriendly']"
