;ontario;covid19;thank;people;update;health;#covid19;businesses;work;visit;help;safe;premier;working;support;workers;continue;2020;#ontariospirit;great;ford;province;daily;updates;check;care;across;ontarians;ontarios;together;please;provides;home;stay;new;government;safety;community;everyone;may;economy;families;happy;protect;million;action;business;week;family;frontline;communities;join;making;reopen;plan;part;april;ensure;proud;jobs;hard;local;june;critical;fight;important;announced;year;learn;provide;best;public;testing;access;spread;economic;forward;live;medical;incredible;keeping;morning;spoke;canada;vulnerable;take;job;seniors;relief;canadian;food;loved;lives;2;centre;ones;homes;times;women;mental
ontario;0;48;68;112;4;44;52;82;56;18;50;44;8;42;46;32;42;10;20;46;4;54;0;0;0;26;84;32;22;44;16;0;28;24;32;40;20;24;32;10;18;34;26;20;38;22;46;20;18;10;28;18;24;14;28;16;2;22;30;30;20;18;12;18;12;16;18;10;18;12;16;10;8;12;4;32;16;10;8;16;10;12;18;24;4;4;28;6;20;10;6;10;16;6;16;10;4;14;8;6
covid19;0;0;16;24;262;32;2;16;28;152;26;16;118;20;8;16;20;134;12;10;118;12;136;134;134;20;10;26;8;18;14;114;12;10;8;20;6;6;4;44;8;14;2;20;4;18;6;10;8;6;6;2;2;4;16;14;50;10;2;2;8;4;34;16;20;4;10;2;4;12;8;6;4;8;34;2;0;10;8;4;4;12;16;4;4;6;0;4;10;4;2;4;2;10;10;4;4;2;4;4
thank;0;0;0;52;0;18;32;16;50;4;28;36;6;70;36;64;16;0;32;38;0;40;2;0;0;20;42;24;16;22;18;0;18;18;6;10;4;18;22;4;6;10;12;10;8;6;10;18;4;34;18;16;12;0;0;20;4;12;12;10;32;2;2;10;12;22;2;4;8;4;10;2;6;16;8;0;10;0;12;20;22;6;8;4;14;8;4;4;0;14;12;8;10;2;4;8;6;12;20;6
people;0;0;0;0;2;16;32;40;28;2;46;24;8;30;40;26;26;4;12;44;2;32;2;0;0;14;28;20;16;20;8;0;20;10;10;20;6;20;10;6;14;20;14;6;22;16;6;14;10;8;18;12;16;2;18;8;2;10;20;14;10;4;4;14;6;8;16;0;16;12;12;4;6;14;6;12;8;6;8;12;6;2;12;6;18;2;10;4;16;6;2;4;22;2;6;4;0;8;4;6
update;0;0;0;0;0;0;12;0;0;134;2;0;114;0;0;2;0;132;6;0;114;2;134;136;134;0;2;0;2;0;0;114;0;2;2;0;0;2;0;42;0;0;2;2;0;2;2;2;2;0;0;6;0;0;0;0;50;0;0;0;0;8;34;2;0;0;0;0;0;12;0;0;0;0;0;0;0;6;0;0;2;18;2;0;0;2;0;0;0;0;0;0;0;6;0;0;0;2;0;0
health;0;0;0;0;0;0;36;22;22;6;20;28;2;22;16;26;44;6;0;8;0;16;4;0;0;34;6;34;30;12;18;0;14;18;14;16;66;4;14;8;16;2;0;40;4;18;6;8;8;22;10;6;10;20;14;10;0;20;2;2;2;6;4;8;6;8;0;0;6;4;2;32;6;6;8;2;4;2;12;4;8;8;8;2;4;14;0;4;2;4;2;8;4;8;10;8;4;8;0;28
#covid19;0;0;0;0;0;0;0;24;22;6;26;20;0;30;24;24;36;2;10;6;0;26;0;2;0;16;20;16;14;12;30;0;14;20;8;12;16;6;14;4;12;6;2;12;12;12;6;8;8;8;2;6;12;6;8;14;0;2;12;2;12;10;0;20;26;6;12;0;6;12;14;12;22;4;8;0;4;6;6;4;8;10;8;4;16;6;4;6;10;2;6;4;8;2;16;4;2;0;2;0
businesses;0;0;0;0;0;0;0;0;28;2;32;16;2;22;30;26;24;4;12;10;2;22;0;0;0;0;28;16;18;24;8;0;4;10;16;10;26;2;8;6;22;20;2;10;10;12;22;6;4;8;4;0;16;18;14;6;0;12;14;14;8;8;2;8;6;4;6;4;6;10;10;2;0;6;2;8;10;2;0;0;4;6;4;4;4;2;2;0;26;6;2;0;0;2;2;0;4;6;2;0
work;0;0;0;0;0;0;0;0;0;12;24;40;0;18;18;22;30;0;2;20;0;18;2;0;0;24;26;18;12;36;20;0;6;8;8;18;12;6;18;6;12;12;2;12;0;10;4;12;2;18;12;6;12;10;8;6;2;18;8;6;32;10;4;14;6;6;4;6;8;2;10;4;6;6;8;4;4;0;4;8;10;2;6;2;8;8;6;4;0;2;6;8;2;4;10;6;2;2;8;2
visit;0;0;0;0;0;0;0;0;0;0;8;4;0;6;4;2;0;132;0;2;0;4;134;134;134;12;2;2;4;2;10;0;0;0;2;0;2;2;0;42;0;2;0;8;2;0;2;2;8;0;0;0;0;0;0;0;50;0;0;0;0;0;34;2;0;2;2;0;2;0;0;0;4;2;4;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;6;14;0;0;0;0;0
