;ontario;people;thank;covid19;great;health;working;government;workers;#ontariospirit;businesses;new;work;community;business;together;ontarians;safe;care;happy;continue;jobs;ontarios;home;protect;province;help;support;job;year;family;join;part;everyone;plan;premier;trade;washington;proud;stay;important;hard;across;forward;economic;economy;meeting;visit;action;ford;making;communities;live;million;meet;ensure;@victorfedeli;please;families;@natlgovsassoc;celebrating;relief;local;students;mental;learn;canadian;infrastructure;spread;public;colleagues;morning;times;strong;march;taking;billion;take;partners;toronto;canada;update;dc;friends;week;2020;provide;challenging;contributions;build;federal;healthcare;spoke;trades;healthy;access;find;announced;auto;staff
ontario;0;48;24;22;26;14;22;28;14;8;38;20;22;16;28;20;16;10;6;6;14;28;10;14;14;14;12;14;24;8;10;12;10;6;22;4;22;10;14;6;12;14;22;12;18;14;14;6;16;2;12;8;2;14;18;8;12;2;14;6;6;12;8;2;2;10;4;8;0;2;2;6;8;12;4;4;14;2;4;4;12;2;6;4;10;6;6;8;6;12;6;4;6;2;2;2;8;6;4;2
people;0;0;16;12;16;6;16;10;8;4;24;2;10;8;6;8;2;2;8;2;12;8;4;8;4;8;10;14;8;0;4;4;6;6;12;4;2;0;8;2;8;10;12;6;2;4;2;0;8;2;8;6;2;4;2;4;0;0;8;0;0;8;2;2;2;2;2;0;4;2;2;0;4;4;2;4;4;2;0;2;2;2;0;0;2;2;10;8;2;4;4;2;2;6;0;8;2;8;2;4
thank;0;0;0;4;16;6;26;8;22;4;6;2;16;12;8;10;6;14;2;8;6;6;4;6;6;12;4;14;4;0;2;4;10;8;0;2;4;4;2;4;12;12;10;8;0;6;4;4;0;0;0;2;0;0;8;8;0;4;2;2;4;0;2;2;2;2;6;0;4;2;6;4;2;2;2;4;0;4;2;4;0;0;4;0;2;0;0;4;4;2;2;2;0;2;4;2;0;0;2;8
covid19;0;0;0;0;0;18;10;14;12;8;8;4;10;2;6;8;14;6;6;2;6;2;2;6;16;2;8;6;0;0;2;2;10;0;10;6;0;0;2;4;2;6;0;0;2;4;0;18;14;6;0;4;4;2;0;2;0;4;8;0;0;8;4;4;0;2;2;0;16;2;0;2;2;4;12;10;4;2;6;0;2;14;0;0;8;10;6;2;0;0;2;4;12;0;2;2;0;4;0;2
great;0;0;0;0;0;4;14;4;8;0;6;6;10;12;6;0;0;4;0;6;4;6;6;2;0;12;8;8;6;6;4;8;2;2;6;0;10;8;2;0;2;4;8;6;8;2;8;2;0;0;4;6;0;2;12;0;4;0;0;6;6;0;4;0;4;4;6;2;0;0;2;2;0;2;0;0;2;2;0;4;2;0;2;6;6;0;0;0;4;2;0;0;0;4;0;2;0;0;6;2
health;0;0;0;0;0;0;12;14;10;0;0;0;8;0;0;4;18;10;16;0;14;2;8;4;24;2;4;4;0;0;0;4;6;2;6;0;0;0;0;8;0;2;0;0;0;6;0;2;8;0;2;6;0;0;0;6;0;2;0;0;0;2;4;2;14;2;0;0;6;10;2;4;4;2;4;4;2;4;10;0;2;0;0;0;4;2;2;2;0;0;4;2;2;0;2;2;2;0;0;4
working;0;0;0;0;0;0;0;10;12;4;14;2;6;2;4;14;10;14;4;0;6;8;6;4;10;8;4;6;4;2;4;4;6;4;6;2;4;2;2;6;2;12;6;6;4;4;4;6;2;0;2;2;2;2;2;10;2;8;0;0;2;2;0;0;0;0;2;0;0;2;0;6;2;2;0;2;2;2;8;0;2;0;0;0;2;2;0;2;0;0;2;0;2;0;4;0;0;0;0;4
government;0;0;0;0;0;0;0;0;2;0;4;2;12;4;4;4;6;4;4;4;10;8;6;0;10;2;2;10;0;4;0;4;0;2;4;0;4;0;4;4;2;6;2;4;2;4;2;0;8;0;8;2;0;10;2;6;2;0;0;2;0;0;2;6;0;4;6;2;4;2;4;6;0;0;4;8;2;2;8;0;4;0;0;0;0;2;4;0;0;0;10;4;4;4;0;2;6;0;0;4
workers;0;0;0;0;0;0;0;0;0;6;12;6;2;6;6;2;8;8;10;8;8;0;6;6;10;4;8;14;0;0;0;0;4;0;6;0;6;4;0;8;4;4;4;4;2;2;6;2;2;0;6;6;0;0;4;8;4;2;6;2;0;6;2;2;0;2;4;0;0;2;4;2;4;4;0;2;2;2;2;0;0;2;2;0;2;0;4;0;0;0;2;8;2;0;4;0;0;2;2;2
#ontariospirit;0;0;0;0;0;0;0;0;0;0;8;2;0;4;10;8;4;0;0;2;0;0;0;4;0;0;8;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;6;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0
