;texas;state;human;#txlege;lone;star;trafficking;survivors;israel;communities;#econdev;governors;women;trade;crime;sexual;assault;combat;federal;workforce;health;heinous;grateful;leaders;states;officials;nation;opportunity;honor;texans;growth;force;capitol;safe;fight;leads;#gobigintexas;job;jerusalem;honored;continue;awareness;task;freedom;jobs;start;summit;business;committed;efforts;new;resources;prayers;fame;hall;economic;flags;lubbock;@texasflca;life;ranks;population;military;win;killed;fostering;end;#texasworks;businesses;antonio;courage;update;celebrating;terrorism;succeed;coronavirus;dominance;#usmca;solidarity;billion;world;morning;join;welcome;unwavering;partners;prevention;meeting;stands;faith;support;leadership;skilled;@potus;jack;stronger;region;throughout;event;halfstaff
texas;0;20;10;16;14;14;8;8;6;6;8;6;6;6;8;4;4;8;4;8;4;6;8;8;8;6;8;6;4;4;6;2;4;4;6;6;6;4;2;4;2;4;2;6;6;2;6;4;4;4;2;2;2;2;2;4;2;0;2;4;2;2;2;2;2;4;2;4;4;2;4;0;2;0;2;2;4;2;4;4;2;0;0;4;4;4;2;4;4;2;2;4;4;2;2;2;2;4;2;2
state;0;0;2;6;14;14;2;0;2;0;6;8;2;6;0;0;0;2;2;4;4;0;2;2;4;6;4;2;0;4;2;2;2;0;0;0;4;0;0;4;0;2;2;0;2;0;0;2;4;0;2;2;2;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;2;2;2;4;0;2;0;4;2;2;0;4;0;4;2;2;0;2;2;2;0;0;0;2;4;2;2;0;0;0;4;0
human;0;0;0;0;2;2;12;4;2;6;0;2;0;0;6;0;0;4;2;0;0;4;6;2;0;2;0;0;2;0;0;0;0;4;6;0;0;0;0;0;2;4;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;4;2;0;0;0;0;0;2;0;2;2;0
#txlege;0;0;0;0;6;6;0;2;0;2;10;0;2;0;2;2;2;2;0;8;0;2;0;2;6;0;6;0;0;4;6;0;2;0;0;6;6;4;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;4;2;0;0;0;0;0;2;0;4;0;0;0;2;0;0;4;2;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0
lone;0;0;0;0;0;18;2;2;2;0;6;2;2;6;2;2;2;2;0;2;0;2;0;2;6;0;0;2;0;0;2;0;0;0;0;0;4;2;0;2;0;4;0;0;2;0;0;2;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;4;0;2;2;2;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;0
star;0;0;0;0;0;0;2;2;2;0;6;2;2;6;2;2;2;2;0;2;0;2;0;2;6;0;0;2;0;0;2;0;0;0;0;0;4;2;0;2;0;4;0;0;2;0;0;2;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;2;0;4;0;2;2;2;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;0
trafficking;0;0;0;0;0;0;0;4;0;6;0;2;0;0;6;0;0;4;2;0;0;4;6;2;0;2;0;0;2;0;0;0;0;4;4;0;0;0;0;0;0;4;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0
survivors;0;0;0;0;0;0;0;0;0;4;0;2;0;0;6;6;6;4;0;0;0;6;4;0;0;0;0;0;2;2;0;2;0;4;2;0;0;0;0;0;2;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0
israel;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;6;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;2;6;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
