kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
sd,29,south,18,#covid19,45,#covid19,60,south,30,south,32,south,183
south,24,dakota,15,south,22,south,57,#covid19,22,dakota,26,#covid19,135
state,20,thank,11,dakota,18,live,35,dakota,20,freedom,15,dakota,125
dakota,17,state,11,update,17,update,32,state,15,people,10,state,74
great,13,work,9,help,9,watch,32,live,14,watch,10,watch,67
business,9,learn,9,latest,9,dakota,29,watch,13,live,9,live,67
big,8,week,8,thank,8,todays,26,todays,13,great,9,update,64
@realdonaldtrump,8,support,7,@vp,8,dakotans,23,checkpoints,11,state,8,thank,52
forward,8,thanks,7,live,8,thank,19,working,11,government,8,great,51
@whitehouse,8,sd,7,stay,8,people,15,update,10,#covid19,8,sd,47
new,7,students,7,watch,8,state,14,great,10,work,8,todays,42
visit,7,great,7,updates,7,help,14,together,8,local,7,dakotans,41
thank,7,family,7,details,6,ct,13,tribal,7,protests,7,people,41
#southdakotaopenforbusiness,7,bill,6,state,6,together,12,dakotans,7,violence,7,together,39
life,6,life,5,thankful,6,fight,12,fight,6,family,7,help,37
2020,6,proud,5,#flattenthecurve,6,plan,10,tribes,6,solve,7,work,36
2019,6,families,5,afternoon,5,tune,10,lets,6,together,6,working,26
incredible,6,night,5,together,5,situation,7,help,6,fund,6,week,21
work,6,people,5,businesses,5,work,7,discussion,5,violent,6,fight,21
world,6,business,5,visit,5,great,7,plan,5,covid,5,family,21
producers,6,legislation,4,w,5,spread,7,people,5,conference,5,learn,21
leaders,5,sb,4,strong,5,smithfield,7,normal,5,dakotans,5,ct,21
china,5,157,4,efforts,5,normal,6,mt,5,press,5,life,21
trade,5,year,4,great,5,good,5,testing,5,falls,5,business,19
week,5,happy,4,ct,5,another,5,work,4,problem,5,families,19
folks,5,health,4,information,4,@sddoh,5,happy,4,justice,5,tune,19
progress,5,pierre,4,tune,4,health,5,fighting,4,sd,5,thanks,18
thankful,5,legislative,4,good,4,social,5,thank,4,public,5,visit,18
year,5,high,4,operations,4,app,5,tourism,4,life,5,plan,18
help,5,together,4,learn,4,cut,5,rushmore,4,path,5,freedom,17
together,4,visiting,4,team,4,public,5,shine,4,best,5,new,17
phase,4,communities,4,working,4,14,5,continue,4,sioux,5,health,16
government,4,future,4,#flatteningthecurve,4,34,5,everyone,3,important,4,communities,16
months,4,show,4,#coronavirus,4,may,5,new,3,take,4,forward,15
national,4,signed,4,happening,4,god,5,department,3,states,4,@realdonaldtrump,15
trafficking,4,capitol,4,prepare,3,24,5,smart,3,recovery,4,good,15
people,4,birthday,3,joined,3,week,5,booker,3,served,4,happy,15
glad,4,serve,3,center,3,money,5,health,3,heard,4,government,15
funding,4,safety,3,new,3,continue,4,join,3,update,4,folks,15
