;south;dakota;#covid19;sd;state;thank;great;update;learn;work;help;business;life;together;week;visit;watch;thankful;forward;strong;people;families;new;@realdonaldtrump;bill;working;#southdakotaopenforbusiness;thanks;support;@whitehouse;live;stay;latest;year;businesses;family;signed;leaders;@vp;joined;tune;team;students;proud;leadership;big;folks;next;communities;check;farmers;updates;producers;place;world;serve;progress;talk;happy;health;incredible;capitol;w;happening;dakotas;safety;trade;future;issues;pierre;government;afternoon;economic;special;show;trafficking;news;2019;legislative;ag;#flattenthecurve;love;good;2020;school;grateful;dakotans;across;call;months;continue;details;house;service;efforts;ranchers;create;process;157;chance
south;0;96;30;8;12;14;12;10;20;6;8;10;6;14;4;4;10;8;6;8;8;6;12;2;8;8;10;2;8;0;6;2;6;4;10;2;6;2;2;6;2;6;0;0;2;4;4;4;8;4;4;10;2;6;4;6;2;6;0;8;4;0;4;0;12;0;0;4;4;2;2;4;6;2;2;2;4;4;0;2;2;0;4;6;0;2;12;4;2;4;6;4;0;2;2;4;4;6;8;4
dakota;0;0;24;6;12;16;8;8;18;6;6;8;4;12;4;4;8;8;6;8;8;2;10;2;6;6;8;2;2;0;4;2;6;4;6;2;2;2;2;4;0;4;0;0;2;2;4;6;8;4;4;10;2;6;4;4;2;4;0;8;4;0;4;0;0;0;0;4;2;2;0;2;6;2;0;2;2;4;0;2;2;0;0;6;0;2;2;4;2;2;6;2;0;2;2;4;2;2;4;4
#covid19;0;0;0;0;8;8;2;30;4;0;10;0;0;2;0;2;14;8;0;2;2;0;2;0;0;4;0;2;0;0;14;12;14;0;6;0;2;0;6;2;8;4;0;0;4;0;4;4;0;2;2;12;0;2;0;2;0;2;0;2;0;0;6;8;2;0;0;0;2;0;0;4;4;4;0;0;2;0;0;0;8;0;2;0;0;0;2;2;4;2;2;10;0;0;6;2;0;0;0;0
sd;0;0;0;0;16;4;6;0;6;8;2;8;4;2;6;8;0;2;12;4;4;4;6;10;2;4;4;4;4;10;0;0;0;4;4;4;6;2;2;6;0;2;2;8;4;12;4;2;4;4;4;0;10;2;8;0;6;2;2;0;4;0;2;2;0;2;12;2;0;2;4;0;2;4;2;4;2;4;2;2;0;0;0;6;4;2;2;6;2;4;2;0;6;2;0;4;2;0;2;6
state;0;0;0;0;0;2;8;2;2;6;6;6;6;6;2;2;2;8;6;2;6;2;4;4;0;6;2;2;0;4;0;4;4;4;0;2;4;6;0;0;0;2;4;6;6;4;4;4;0;4;4;0;2;2;2;0;4;2;0;2;0;2;4;0;0;2;6;0;2;0;4;0;2;0;0;0;2;0;2;0;2;2;2;4;0;4;0;4;2;4;2;4;2;2;0;4;2;0;0;4
thank;0;0;0;0;0;0;8;2;0;10;6;0;2;0;2;6;0;0;0;0;2;2;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;4;4;0;4;2;2;4;0;0;4;4;0;4;0;0;2;0;2;2;6;0;4;0;0;2;0;0;2;0;2;4;6;0;0;2;2;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;4;8;0;4;0;2;2;2
great;0;0;0;0;0;0;0;2;6;12;4;2;2;0;4;4;0;6;6;4;2;2;2;0;4;0;6;0;2;2;0;0;0;0;2;0;0;2;4;0;0;6;2;2;2;2;4;0;2;2;0;2;0;0;2;0;4;0;0;2;4;0;2;2;4;0;0;4;2;4;4;2;4;0;2;0;6;2;4;2;0;0;4;4;2;4;0;0;0;2;0;0;4;0;0;0;0;0;2;6
update;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;10;0;0;0;0;0;2;0;0;0;0;0;0;0;12;2;6;0;2;0;0;0;2;0;6;0;0;0;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0
learn;0;0;0;0;0;0;0;0;0;8;2;2;2;0;6;2;2;0;0;0;4;2;0;0;4;6;4;2;2;0;0;0;0;2;8;2;4;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;2;2;4;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;2;4
work;0;0;0;0;0;0;0;0;0;0;2;0;4;4;4;0;0;0;4;0;2;4;0;4;4;0;0;2;0;0;2;0;0;0;4;2;2;0;2;0;0;2;4;4;0;0;0;0;0;0;2;0;0;0;4;0;2;2;0;0;4;0;4;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;2;2;4;2;0;0;0;0;0;0;0;2;0;2;0;2;0;4
help;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;2;0;0;2;2;4;2;0;0;0;0;2;0;2;0;0;2;2;4;2;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;6;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;2;0;4;0;2;0;10;2;4;0;0;0;0;0;2;0;0;6;0;0;2;0;0;0;2;0;4;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;2;4;0;2;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;2;4;0;0;0;0;2;2;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;4;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;0;4;2;2;2;2;0;0;2;0;4;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;4;4;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;0;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;2;4;2;2;0;0;4;2;0;2;0;0;4;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;4;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;0;0;6;0;0;2;0;0;4;2;0;0;0;2;2;4;0;2;0;0;2;2;4;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;2;0;6;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;4;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0
thankful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;2;2;2;2;4;0;0;2;0;2;0;0;0;0;0;4;6;2;0;0;0;0;8;0;4;2;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;6;4;2;0;0;0;0;0;2;0;2;0;4;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6;0;2;0;0;0;4;0;0;6;0;0;0;0;0;0;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;2;0;0;2;2;0;0;2;2;0;2;4;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;4;0;2;2;2;2;2;0;2;0;0;2;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;6;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;2;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;4;4;2;2;0;2;0;2;0;2;0;4;0;0;2;0;0;2;0;0;0;2;0;4;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;2;2;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;0;4;0;0;2;0;0;0;2;2;6;0;0;0;2;2;0;10;0;4;0;4;0;0;0;2;0;2;0;0;2;6;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;6;2;0;0;0;0;0;0;2;2;0;2;0;2;0;0;4;0;0;4;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;2;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;4;2;2;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;6;0;0;0;2;0;0;0
#southdakotaopenforbusiness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;4;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;6;4;8;0
@whitehouse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;10;0;0;0;2;2;0;8;0;4;0;2;2;0;2;0;0;0;0;0;0;8;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0
