;people;data;covid19;connecticut;news;briefing;latest;live;updates;tests;positive;visit;update;tested;discuss;currently;reported;daily;died;hospitalized;tracker;click;todays;happening;watch;youtube;2;icymi;facebook;hold;states;state;connecticutwatch;covid19watch;pandemic;community;covid;thank;police;safety;residents;efforts;june;school;4pm;de;phase;support;17;la;health;services;9;public;working;ct;connecticuts;4;continue;job;mask;came;details;accountability;hospitalizations;communities;local;take;country;conversation;cases;transparency;14;opportunity;regarding;additional;certain;inperson;plan;days;everyone;throughout;work;making;incredible;businesses;reopening;22;hear;fatalitiesfor;justice;emergency;force;rates;building;400pm;together;service;crisis;por
people;0;54;60;62;0;0;0;4;0;56;54;52;52;54;0;52;54;52;52;52;48;48;2;0;0;0;10;0;0;0;4;6;0;0;0;6;4;0;2;2;2;4;2;0;0;0;0;2;4;0;2;2;10;2;0;0;0;2;6;2;0;0;0;0;2;0;0;4;0;0;4;0;6;2;0;0;0;0;0;4;2;0;0;2;0;0;0;6;2;0;0;2;4;2;2;0;0;2;0;0
data;0;0;60;52;0;0;0;2;0;60;60;60;60;52;0;52;52;52;52;52;48;48;8;0;0;0;12;0;0;0;0;2;0;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;6;2;0;0;8;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;2;0;0;0;0;0;0;0
covid19;0;0;0;76;40;40;34;22;32;64;62;62;60;56;16;54;52;52;52;52;48;48;28;14;20;6;12;20;6;6;6;0;12;0;6;8;6;0;2;0;6;0;0;2;6;2;0;2;4;2;0;0;12;0;0;0;2;8;2;0;0;8;0;2;2;0;2;0;0;0;4;0;6;2;4;6;0;0;0;4;0;0;2;0;0;0;0;4;0;8;0;4;2;4;0;0;0;0;2;0
connecticut;0;0;0;0;14;14;12;4;12;56;52;52;52;56;0;52;54;52;52;52;48;48;14;4;12;2;10;12;0;0;8;12;0;0;4;4;4;4;4;4;12;2;2;0;0;2;0;2;4;2;2;0;12;0;0;2;2;4;4;0;6;0;0;4;6;0;0;2;0;0;0;4;4;0;0;0;0;0;0;0;0;4;0;4;4;0;0;6;2;0;0;4;2;0;0;0;2;0;6;0
news;0;0;0;0;0;94;72;60;68;0;0;0;0;0;56;0;0;0;0;0;0;0;26;34;30;28;0;28;26;26;0;0;22;22;2;0;0;0;4;2;2;0;0;6;16;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;2;0;0;6;0;8;8;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;8;0;0;0;0
briefing;0;0;0;0;0;0;72;60;68;0;0;0;0;0;56;0;0;0;0;0;0;0;26;34;30;28;0;28;26;26;0;0;22;22;2;0;0;0;4;2;2;0;0;6;16;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;2;0;0;6;0;8;8;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;8;0;0;0;0
latest;0;0;0;0;0;0;0;50;70;0;0;0;0;0;52;0;0;0;0;0;0;0;22;26;22;24;0;22;22;24;0;0;22;22;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0
live;0;0;0;0;0;0;0;0;46;2;2;0;0;2;54;0;0;0;0;0;0;0;0;38;4;26;0;0;26;24;0;2;20;22;2;2;0;0;4;0;2;2;0;4;12;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;4;0;4;4;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;6;0;0;0;0
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;22;26;22;20;0;22;18;20;0;0;22;22;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;64;60;62;56;0;52;54;52;52;52;48;48;10;0;0;0;12;0;0;0;0;0;0;0;0;2;6;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;6;0;0;0;10;0;0;2;0;0;0;2;0;2;0;4;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;2;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;60;62;54;0;52;52;52;52;52;48;48;10;0;0;0;12;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;6;0;0;0;10;0;0;2;0;0;0;2;0;4;0;4;0;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;8;0;0;0;2;0;0;2;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;60;52;0;52;52;52;52;52;48;48;8;0;0;0;12;0;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;6;0;0;0;8;0;0;0;0;2;0;0;0;0;0;4;2;0;6;0;0;0;0;0;0;2;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;52;52;52;52;52;48;48;8;0;0;0;12;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;6;0;0;0;10;0;0;2;0;0;0;2;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;2;0;0;0
tested;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52;52;52;52;48;48;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;28;0;0;26;26;0;0;22;22;0;0;0;0;0;0;0;0;0;4;12;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;0;0;0;0
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52;52;52;48;48;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
reported;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52;52;48;48;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;52;48;48;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
died;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;48;48;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
