;covid19;connecticut;people;news;briefing;data;updates;live;latest;died;discuss;tested;state;update;positive;hospitalized;visit;patients;daily;#memorialday;tests;happening;#honorthefallen;reported;currently;army;hold;sets;youtube;facebook;health;states;iraq;connecticutwatch;todays;video;watch;thank;school;workers;new;covid19watch;de;air;call;afghanistan;high;icymi;care;connecticuts;4pm;reopening;tracker;click;provide;nursing;help;work;staff;impact;working;public;best;age;home;sgt;cases;residents;heres;pandemic;community;marine;#covid19;medical;efforts;safety;order;phase;reopen;minutes;businesses;communities;join;400;tonight;together;testing;safe;support;ct;@ctnationalguard;regarding;virus;executive;continue;joined;advisory;hospitals;may;conference
covid19;0;274;156;204;202;164;226;170;168;130;140;166;74;172;182;166;160;116;146;0;126;72;0;126;124;0;54;102;48;50;4;14;0;68;48;46;52;2;2;4;30;0;4;36;32;0;4;36;4;14;22;4;48;48;12;26;10;4;4;24;0;2;2;0;14;0;30;16;28;10;18;0;0;4;6;0;8;0;12;32;4;4;8;28;8;2;16;6;6;4;0;24;4;8;4;6;14;8;8;16
connecticut;0;0;160;46;42;156;54;42;38;140;26;158;102;168;172;166;150;112;138;6;118;12;6;126;122;2;16;102;10;8;22;22;4;0;20;14;32;16;4;8;20;0;12;14;6;2;6;16;8;2;0;10;48;48;10;8;12;6;12;14;10;8;10;0;14;6;26;30;10;12;10;2;10;8;8;8;6;2;30;8;16;2;4;10;6;6;8;12;6;2;0;14;12;6;10;2;26;6;16;10
people;0;0;0;0;0;140;0;6;0;130;0;146;72;140;142;142;136;86;138;0;116;0;0;112;120;0;0;90;0;0;8;10;0;0;2;0;0;2;0;2;10;0;0;2;2;0;4;0;12;0;0;2;48;48;2;2;6;0;0;8;2;6;8;0;8;0;4;8;0;6;8;0;4;2;8;2;6;0;0;0;6;4;2;0;0;6;4;12;4;6;0;0;6;6;10;0;2;6;2;0
news;0;0;0;0;346;0;260;226;206;0;192;0;4;6;0;0;0;0;16;0;0;108;0;0;0;0;102;0;92;92;6;2;0;78;50;54;60;0;6;0;4;66;0;0;2;0;0;44;0;12;42;10;0;0;14;4;0;2;2;12;0;2;4;0;0;0;0;2;30;2;0;0;12;0;4;2;4;6;2;2;2;0;18;38;4;0;4;0;0;0;0;8;0;6;0;6;0;0;4;10
briefing;0;0;0;0;0;0;258;224;202;0;192;0;6;8;0;0;0;0;16;0;0;110;0;0;0;0;102;0;92;92;6;0;0;78;50;50;58;0;6;0;4;66;0;0;0;0;0;44;0;14;42;10;0;0;14;4;0;2;2;12;0;2;4;0;0;0;0;2;30;2;0;0;12;0;4;2;4;6;0;2;2;2;18;36;2;0;4;0;0;0;0;8;0;6;0;6;0;0;4;2
data;0;0;0;0;0;0;0;2;0;130;0;138;64;158;158;152;156;100;138;0;118;0;0;110;122;0;0;102;0;0;6;2;0;0;8;0;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;4;48;48;2;4;0;0;0;0;2;2;4;0;2;0;12;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;8;0;0;4;0;0
updates;0;0;0;0;0;0;0;222;242;0;206;0;0;0;0;0;0;0;2;0;0;94;0;0;0;0;84;0;74;72;2;4;0;78;38;42;52;0;0;0;2;66;0;36;34;0;0;38;0;14;18;2;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;4;0;2;0;2;0;0;32;0;0;4;32;6;0;2;0;0;0;0;4;0;2;0;2;0;0;0;10
live;0;0;0;0;0;0;0;0;210;4;204;2;10;2;2;0;0;0;14;0;2;126;0;0;0;0;108;0;92;94;6;4;0;76;0;2;22;0;4;2;4;66;0;30;38;0;0;0;2;6;16;4;0;0;14;4;2;0;0;14;0;0;0;0;0;0;2;2;0;2;4;0;12;0;4;0;0;0;10;26;4;0;8;28;2;0;2;0;0;2;0;12;0;0;2;4;10;0;6;8
latest;0;0;0;0;0;0;0;0;0;0;226;0;4;6;0;0;0;0;2;0;0;88;0;0;0;0;80;0;74;72;0;4;0;70;22;8;28;0;0;0;0;64;0;40;34;0;0;22;0;4;16;2;0;0;6;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;2;0;0;36;2;0;10;22;6;0;4;0;0;0;0;6;0;2;0;2;0;0;0;4
died;0;0;0;0;0;0;0;0;0;0;0;130;60;130;130;130;128;78;130;130;110;2;130;110;120;92;2;82;2;2;0;2;78;0;0;0;4;0;36;0;0;0;0;8;0;52;36;0;0;0;0;0;48;48;0;2;0;0;22;0;2;0;0;46;0;44;0;0;0;0;2;28;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;20;0;0;2;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;90;0;0;0;0;84;0;80;78;0;4;0;70;0;4;8;0;4;0;0;64;0;26;22;0;0;0;0;2;20;4;0;0;4;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;24;2;2;14;26;6;0;4;0;0;0;0;4;0;2;0;4;0;0;0;4
tested;0;0;0;0;0;0;0;0;0;0;0;0;62;152;156;152;136;100;138;0;120;0;0;122;120;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;48;48;0;2;2;0;0;0;0;0;0;0;2;0;12;6;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;60;58;58;56;60;60;4;58;4;2;58;58;2;0;56;0;0;16;10;2;0;0;2;2;6;4;12;4;0;0;0;6;4;2;0;10;6;2;6;0;0;10;2;10;4;2;2;4;6;4;0;4;2;4;6;2;10;2;0;0;4;10;0;6;0;4;0;8;8;4;0;6;2;8;4;0;6;6;0;2;2;8;2;2;8;4;6
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;164;156;110;138;0;124;0;0;122;122;0;0;102;0;0;0;0;0;0;14;0;0;0;0;0;12;0;0;0;0;0;0;0;0;4;0;0;48;48;2;4;0;0;0;0;2;0;0;0;2;0;24;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;156;112;138;0;126;0;0;124;120;0;0;102;0;0;0;0;0;0;10;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;48;48;0;6;0;0;2;4;0;0;0;0;6;0;28;6;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;112;138;0;114;0;0;120;122;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;48;48;0;0;0;0;0;2;0;0;0;0;0;0;24;4;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;136;0;116;0;0;108;118;0;0;102;0;0;0;0;0;0;8;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;48;48;0;0;4;2;0;0;2;0;0;0;0;0;12;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0
patients;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;62;0;0;70;70;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;22;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0;0
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;110;120;0;12;90;10;12;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;48;48;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0
#memorialday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;92;0;0;0;0;0;0;80;0;0;0;2;0;36;0;0;0;0;8;0;54;36;0;0;0;0;0;0;0;0;2;0;0;22;0;2;0;0;46;0;44;0;0;0;0;2;28;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;20;0;0;2;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;110;0;0;62;0;0;0;2;0;0;10;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;48;48;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0
happening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;50;0;0;6;0;2;0;2;32;0;0;4;0;0;0;0;6;0;0;0;0;8;2;0;0;0;8;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;6;0;0;0;0;4;0;0;4
#honorthefallen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;78;0;0;0;0;0;36;0;0;0;0;8;0;52;36;0;0;0;0;0;0;0;0;2;0;0;22;0;2;0;0;46;0;44;0;0;0;0;2;28;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;20;0;0;2;0
reported;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;62;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;48;48;0;4;0;0;0;0;0;0;0;0;4;0;12;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
currently;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
army;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;26;0;0;0;0;0;0;40;26;0;0;0;0;0;0;0;0;2;0;0;16;0;2;0;0;36;0;36;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;6;0;0;0;0;14;0;0;2;0
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;90;2;2;0;28;0;0;2;0;2;0;0;34;0;2;2;0;0;0;0;0;16;0;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;8;0;2;2;2;24;0;0;0;0;0;0;0;8;0;0;0;4;8;0;6;2
sets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;2;2;0;28;0;0;2;0;2;0;0;26;0;0;0;0;0;0;0;0;16;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;18;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;26;0;0;2;0;2;0;0;26;0;0;0;0;0;0;0;0;16;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;18;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;6;22;2;0;0;0;2;0;0;0;30;4;4;10;0;0;10;6;10;4;2;2;10;26;16;0;4;0;2;6;0;2;2;0;0;10;4;10;6;2;6;0;0;2;2;0;6;0;2;4;6;4;4;0;2;4;8;2;4;4;6;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;10;0;2;0;0;2;0;0;0;4;0;8;6;2;6;0;0;0;2;4;2;2;8;4;6;8;0;2;0;0;6;0;4;8;0;0;8;8;4;0;2;8;2;6;0;4;0;2;4;0;4;6;8;4;6;6;0;10;0;8;6;0;2
iraq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;18;0;0;0;0;2;0;2;18;0;0;0;0;0;0;0;0;2;0;0;10;0;2;0;0;36;0;20;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;10;0;0;0;0
connecticutwatch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;44;2;0;2;2;0;0;0;0;0;2;42;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;4;0;0;0;2;2;2;0;4;0;0;0;2;0;0;0;4;2;0;0;2;4;0;2;0;0;2;0;0;0
video;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;16;4;0;0;0;4;2;0;0;4;0;0;2;0;0;0;0;0;34;0;0;0;4;0;0;2;2;4;0;0;0;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;46;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;2
