;south;state;carolina;new;executive;public;law;schools;covid19;work;employees;education;enforcement;carolinians;year;continue;business;order;people;2;states;budget;free;students;thank;12;22;home;parents;response;general;best;@scdhec;help;carolinas;house;family;working;please;billion;assembly;local;follow;#scwinning;economy;private;another;tonight;coronavirus;lives;department;workforce;regulations;ask;1;emergency;service;shall;taxpayers;agencies;directed;sc;immediately;stay;serve;essential;place;reform;surplus;investment;morning;information;next;allow;desk;join;remain;tax;government;virus;plan;@realdonaldtrump;market;taxes;proud;school;million;money;closed;income;providing;office;necessary;beaches;4;nonessential;forward;ordered;leave;families
south;0;28;66;6;6;10;8;8;14;10;2;4;8;20;6;12;6;0;8;2;2;6;6;4;6;12;2;6;4;6;4;8;6;6;14;2;8;4;4;6;2;2;4;4;8;4;6;6;8;4;4;0;0;4;6;6;4;2;4;0;4;4;4;2;2;4;4;4;2;4;6;8;2;0;2;6;6;0;0;2;2;8;2;0;8;4;0;2;8;2;6;2;2;2;2;2;2;2;4;6
state;0;0;20;8;6;4;8;4;12;8;12;2;8;2;4;8;6;4;6;4;6;2;4;0;6;2;4;4;2;4;0;6;2;6;6;8;8;2;4;0;0;4;2;6;2;2;2;4;4;4;4;4;2;2;2;10;4;6;2;10;8;6;8;2;2;4;6;2;0;0;4;0;6;2;4;0;6;2;10;4;6;4;2;4;2;0;2;2;2;2;2;2;2;2;2;4;4;4;6;2
carolina;0;0;0;6;4;8;8;4;10;6;2;4;8;0;2;4;4;0;6;2;2;4;2;2;4;6;0;0;2;6;4;4;2;4;2;0;6;2;2;6;2;2;0;2;4;2;4;4;4;2;4;0;0;2;6;6;4;2;2;0;4;0;4;2;2;4;0;2;2;4;6;2;0;0;2;4;0;0;0;2;0;8;2;0;8;2;0;0;4;2;4;2;0;2;0;2;2;2;2;2
new;0;0;0;0;2;4;4;4;2;0;4;6;4;0;0;2;0;0;0;0;4;2;6;0;0;2;0;0;4;2;0;2;0;2;0;0;2;2;0;6;0;2;0;4;2;4;0;0;0;0;0;4;2;2;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;6;0;0;0;0;0;0;2;2;2;0;2;0;4;2;0;2;4;0;0;2;0;4;0;0;2;0;2;4;0;0
executive;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;6;2;12;2;0;2;14;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;8;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;2;0;6;2;0;2;2;0;0;0;0;6;2;2;0;0;0;2;0;0;2;6;0;2;0;2;0;0;4;2;0;2;0;0
public;0;0;0;0;0;0;2;4;2;4;4;2;2;2;0;4;0;2;0;4;4;0;4;2;0;2;0;2;6;4;4;2;2;0;0;0;2;2;0;0;4;0;4;0;0;6;0;2;2;2;2;0;2;4;4;0;4;0;0;2;0;4;2;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;2;6;2;0;4;0;2;0;4;0;0;0;4;0;4;2;4;2;0;0;2;2
law;0;0;0;0;0;0;0;0;2;4;2;4;18;0;2;0;0;2;4;2;2;0;2;0;4;0;2;0;0;2;2;0;0;0;0;2;2;0;2;2;2;2;0;2;0;0;0;2;0;2;0;0;0;4;2;4;0;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;0;4;2;0;0;0;2;0;2;2;2;4;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0
schools;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;2;0;4;6;0;0;0;2;10;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;6;0;0;0;0;0;4;2;0;2;2;0;2;0;0;2;4;0;0;0;0;0;2;0;2;0;0;2;0;0;2;4;0;0;0;4;0;4;0;0;2;0;0;10;0;0;0;0;0;2;2;0;2;0;2
covid19;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;2;0;2;0;0;4;0;0;2;0;4;0;2;0;10;4;0;8;8;0;0;2;2;4;0;4;2;0;0;0;0;0;2;0;2;2;0;4;0;2;6;0;2;0;2;2;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;2;0;4;2;2
work;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;6;2;0;6;2;0;2;0;2;2;0;4;4;0;0;0;6;0;0;2;2;4;4;0;0;0;0;0;2;6;0;2;4;0;4;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;2;6;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;4;2;0;0;0
