;south;thank;carolina;state;carolinians;public;take;safe;health;please;pandemic;businesses;#teamsc;act;great;home;follow;economy;lost;states;safety;22;support;1;@realdonaldtrump;people;family;12;services;communities;#acceleratesc;wear;covid19;leaders;provide;loved;recommendations;quickly;week;information;stay;proud;welcome;life;hurricane;work;help;virus;continue;justice;experts;providing;sc;ones;carolinas;care;ive;goods;closed;absentee;mask;country;use;best;tornadoes;working;local;families;plan;opportunity;times;year;business;call;military;service;officials;order;safely;vital;new;emergency;ready;workers;guidance;2;masks;jobs;9;precious;making;faith;ppe;retail;worked;tour;recover;nonessential;taking;nascar
south;0;16;34;12;26;12;12;8;10;8;10;4;10;6;4;6;6;6;4;4;0;4;2;4;4;2;4;6;8;4;8;0;2;4;2;6;6;4;2;6;0;2;2;2;2;6;6;4;4;2;6;4;0;6;6;4;0;2;2;0;0;2;2;4;2;4;2;0;6;2;4;4;6;6;0;2;2;4;2;4;6;2;6;4;2;4;4;2;2;2;4;2;4;0;2;2;4;2;4;4
thank;0;0;8;4;4;2;4;2;4;2;4;0;10;0;6;0;0;2;0;4;2;0;2;0;6;0;2;0;4;2;4;0;4;2;4;0;0;4;2;2;0;2;4;0;0;0;2;4;4;0;0;4;0;0;4;2;0;0;0;0;0;2;4;0;2;4;2;0;0;0;2;2;2;4;0;2;2;0;2;2;0;0;0;0;0;0;4;2;0;0;2;0;4;0;4;2;0;0;0;0
carolina;0;0;0;4;0;4;4;4;2;4;8;2;6;2;4;2;0;2;2;2;0;2;0;0;4;0;2;4;4;0;8;0;0;2;2;0;0;0;2;2;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;6;0;2;2;4;4;0;2;2;0;2;2;4;2;6;2;0;0;2;2;2;2;0;0;2;0;2;0;0;2;0;4
state;0;0;0;0;8;0;2;0;0;0;0;4;2;6;4;2;0;0;6;0;0;0;4;4;0;4;0;2;2;2;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;2;0;0;4;2;0;0;0;0;0;0;0;0;2;2;2;4;0;2;4;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;2;2;4;2;2;4;0;0;0;0;0;0;0;0
carolinians;0;0;0;0;0;6;4;4;6;0;0;2;2;4;0;4;6;4;0;2;0;2;2;4;0;2;2;2;4;4;0;0;2;0;0;4;6;4;0;4;0;0;0;2;0;4;4;4;2;0;6;4;0;4;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;2;0;4;0
public;0;0;0;0;0;0;2;8;8;4;2;0;2;0;0;0;8;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;4;8;0;2;0;2;0;0;0;2;0;0;0;2;0;8;0;0;4;2;0;2;0;4;0;0;0;2;0;0;2;0;0;2;2;0;6;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0
take;0;0;0;0;0;0;0;0;0;6;4;2;2;2;0;0;0;2;0;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0
safe;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;6;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;4;6;0;0;2;6;0;0;2;0;0;0;0;2;0;6;2;2;4;0;0;4;0;2;2;0;0;2;0;0;2;0;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;8;2;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;4;8;0;0;0;2;0;2;0;0;0;0;0;2;0;8;2;0;4;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;4;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
