;south;state;carolina;thank;public;carolinians;new;work;covid19;law;people;states;continue;employees;executive;schools;home;education;take;22;12;please;year;enforcement;business;2;family;health;order;follow;help;economy;1;best;safe;@realdonaldtrump;sc;carolinas;#teamsc;working;act;businesses;stay;house;service;emergency;safety;students;information;@scdhec;response;local;virus;proud;lives;free;parents;budget;plan;providing;welcome;services;closed;essential;care;agencies;morning;jobs;making;directed;next;recommendations;leaders;provide;general;call;families;coronavirus;support;remain;great;billion;school;government;private;life;shall;department;nonessential;another;3;officials;military;pandemic;workforce;tonight;taxpayers;assembly;immediately;regulations
south;0;40;100;22;22;46;12;16;16;10;10;6;16;4;6;10;12;4;14;6;18;12;10;10;12;6;12;14;4;10;12;14;10;12;8;12;4;20;14;8;10;6;2;2;6;8;2;4;14;6;10;4;6;10;6;6;4;6;8;10;8;12;10;8;6;0;8;6;6;4;6;10;6;4;4;10;6;10;4;10;6;6;6;2;4;2;2;4;4;6;0;2;2;10;0;6;4;2;4;0
state;0;0;24;10;4;10;10;8;16;8;10;6;10;12;6;4;6;2;4;4;4;4;4;8;6;6;8;0;4;2;8;2;6;8;0;4;8;6;4;2;12;8;2;10;6;10;0;0;2;2;4;6;6;2;6;4;2;2;6;6;6;8;2;6;4;12;4;2;2;8;6;0;6;4;0;2;6;4;4;6;4;0;2;12;2;4;6;4;4;2;2;2;4;0;4;4;2;0;8;2
carolina;0;0;0;12;12;0;10;6;10;10;6;4;6;2;4;4;2;4;4;2;10;6;4;10;8;2;8;2;0;0;6;6;6;4;4;12;0;2;8;4;4;2;2;0;6;8;0;2;4;2;8;2;2;10;4;2;2;4;6;4;6;8;4;4;0;0;8;6;0;4;4;0;4;4;4;8;2;4;0;0;6;6;2;0;2;0;2;4;4;4;0;2;2;8;0;4;2;2;4;0
thank;0;0;0;0;2;4;0;2;4;4;2;4;4;2;2;0;0;4;4;0;4;2;2;2;4;0;4;4;0;0;2;2;0;0;2;8;4;6;12;6;0;0;0;6;2;0;2;2;2;0;4;4;4;4;2;0;2;4;0;4;4;4;0;2;2;0;4;2;2;0;0;0;4;4;0;4;0;0;4;0;6;0;2;2;0;0;0;0;0;2;0;2;4;4;0;2;2;0;0;0
public;0;0;0;0;0;8;4;4;2;2;0;4;6;4;2;6;2;2;2;0;2;4;6;2;2;6;2;12;2;12;0;2;6;2;8;0;4;2;2;4;0;0;2;0;4;2;2;2;2;2;4;0;6;2;2;4;6;0;4;4;0;4;4;2;4;2;0;0;4;0;0;10;2;0;4;0;2;4;0;2;0;0;2;2;6;0;0;2;2;0;0;4;0;2;0;2;0;4;2;2
carolinians;0;0;0;0;0;0;0;6;6;0;4;2;8;2;0;2;8;0;6;4;4;2;0;0;0;4;2;10;4;10;6;4;4;6;4;0;2;0;2;4;6;4;0;0;0;0;2;0;10;2;2;0;4;0;2;4;0;0;0;6;0;4;2;4;2;0;0;0;2;0;0;10;0;0;0;2;2;4;4;6;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
new;0;0;0;0;0;0;0;0;2;4;0;4;2;4;2;4;0;6;2;0;2;2;0;4;2;0;2;0;0;0;2;2;0;2;0;0;4;0;0;2;2;4;0;0;0;0;2;0;0;0;2;2;0;0;0;6;4;2;2;0;0;0;0;0;4;2;0;8;2;2;0;0;0;2;0;0;0;0;0;2;0;6;2;2;4;0;0;0;2;0;2;0;0;0;4;0;0;0;2;2
work;0;0;0;0;0;0;0;0;0;4;6;0;6;4;2;0;6;4;2;6;0;0;0;2;2;2;6;0;2;0;0;6;2;6;0;0;0;2;0;4;2;0;0;2;4;0;0;2;0;0;0;0;0;2;4;0;0;2;0;0;0;2;0;4;0;0;0;2;2;0;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;4;2;0;0;0
covid19;0;0;0;0;0;0;0;0;0;2;0;6;2;2;2;2;2;0;0;0;4;4;0;4;0;0;2;2;2;0;8;2;4;0;0;2;0;0;0;4;2;2;0;0;0;8;0;2;2;8;10;4;6;2;2;0;0;0;0;2;0;6;2;2;0;4;2;0;4;2;0;0;0;2;4;2;2;0;2;0;0;0;4;2;0;0;2;2;2;0;0;2;0;0;0;2;0;4;4;4
law;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;4;0;2;0;2;2;22;0;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;4;0;0;2;2;4;4;0;0;0;2;2;2;6;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;4;0;0;2;0;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;2;4;0;2;4;0;2;0;0;2;2;6;0;0;2;2;0;4;2;2;0;0;0;0;4;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0
