Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
“Wear a mask. Wear a mask. Wear a mask.”,64,2020-06-26 21:37:29,Twitter for iPhone,1836,451,henrymcmaster,1276630688939347970,,16335288,False,https://t.co/3CxeVSJhZv,en,June,Q2,"['wear', 'mask', 'wear', 'mask', 'wear', 'mask']"
"-all employees must wear masks
-additional safety training
-sanitation procedures between customers
-and more, all of which can be read on 

(2/2)",169,2020-06-23 22:40:04,Twitter for iPhone,58,17,henrymcmaster,1275559275339939842,16335288.0,16335288,False,https://t.co/jj1LWIxSia,en,June,Q2,"['employees', 'wear', 'masksadditional', 'safety', 'trainingsanitation', 'procedures', 'customersand', '22']"
"Today we announced #PalmettoPriority, a restaurant safety initiative in collaboration with @SCPRT, @SCRLA, and @SCDHEC. 

In order to display the #PalmettoPriority emblem restaurants must pledge to take strict safety measures including: (1/2)",266,2020-06-23 22:40:03,Twitter for iPhone,125,36,henrymcmaster,1275559272361926660,,16335288,False,https://t.co/wDYqmJnHdA,en,June,Q2,"['announced', '#palmettopriority', 'restaurant', 'safety', 'initiative', 'collaboration', '@scprt', '@scrla', '@scdhec', 'order', 'display', '#palmettopriority', 'emblem', 'restaurants', 'pledge', 'take', 'strict', 'safety', 'measures', '12']"
"Proud to stand by Senator Tim Scott today with law enforcement leadership to support his JUSTICE Act, which will provide additional funding and accountability for our criminal justice system.",215,2020-06-22 21:24:08,Twitter for iPhone,428,60,henrymcmaster,1275177775863861251,,16335288,False,https://t.co/SAbwlUDma5,en,June,Q2,"['proud', 'stand', 'senator', 'tim', 'scott', 'law', 'enforcement', 'leadership', 'support', 'justice', 'act', 'provide', 'additional', 'funding', 'accountability', 'criminal', 'justice', 'system']"
"Thank you, Mr. President!",49,2020-06-18 22:16:58,Twitter for iPhone,487,61,henrymcmaster,1273741520605151232,,16335288,False,https://t.co/bcLE2dCk34,en,June,Q2,"['thank', 'mr', 'president']"
"will welcome this opportunity to strengthen their effectiveness in protecting the peace and safety of our people.
 
And the public’s confidence will be bolstered with enhanced accountability and transparency for our criminal justice system.

(2/2)",247,2020-06-17 19:19:48,Twitter Web App,58,7,henrymcmaster,1273334549385183233,16335288.0,16335288,False,,en,June,Q2,"['welcome', 'opportunity', 'strengthen', 'effectiveness', 'protecting', 'peace', 'safety', 'people', 'publics', 'confidence', 'bolstered', 'enhanced', 'accountability', 'transparency', 'criminal', 'justice', 'system22']"
"Senator Tim Scott has provided a great service to the country with his Justice Act. I am confident that the law enforcement officers in South Carolina, which are the finest in the United States,

(1/2)",225,2020-06-17 19:19:48,Twitter Web App,144,25,henrymcmaster,1273334548118593539,,16335288,False,https://t.co/NAzIoEiXnL,en,June,Q2,"['senator', 'tim', 'scott', 'provided', 'great', 'service', 'country', 'justice', 'act', 'confident', 'law', 'enforcement', 'officers', 'south', 'carolina', 'finest', 'united', 'states12']"
"We must not simply remember the lessons learned that day and in the days and weeks which followed. We must carry them with us each day, recognizing that although evil and tragedy exist, the unifying effects of grace and love abound and conquer all.",248,2020-06-17 12:34:31,Twitter for iPhone,142,28,henrymcmaster,1273232557673525249,16335288.0,16335288,False,,en,June,Q2,"['simply', 'remember', 'lessons', 'learned', 'days', 'weeks', 'followed', 'carry', 'recognizing', 'although', 'evil', 'tragedy', 'exist', 'unifying', 'effects', 'grace', 'love', 'abound', 'conquer']"
"Five years ago, we lost nine beautiful souls at Mother Emanuel and our state was shaken by an unspeakable act of hatred and ignorance. But evil did not win the day. Love, compassion, strength, and faith – exemplified by the families of the Emanuel 9 – reigned supreme.",268,2020-06-17 12:34:31,Twitter for iPhone,494,108,henrymcmaster,1273232555437887500,,16335288,False,,en,June,Q2,"['five', 'lost', 'nine', 'beautiful', 'souls', 'mother', 'emanuel', 'state', 'shaken', 'unspeakable', 'act', 'hatred', 'ignorance', 'evil', 'win', 'love', 'compassion', 'strength', 'faith', 'exemplified', 'families', 'emanuel', '9', 'reigned', 'supreme']"
"We are always thrilled to see one of our existing businesses grow its presence in South Carolina. We celebrate Ross Stores, Inc.’s decision to expand and create 700 new jobs in our state. #SCjobs",219,2020-06-16 16:08:30,TweetDeck,152,16,henrymcmaster,1272924016630792202,,16335288,False,https://t.co/Zh5FnzoTNj,en,June,Q2,"['thrilled', 'existing', 'businesses', 'grow', 'presence', 'south', 'carolina', 'celebrate', 'ross', 'stores', 'incs', 'decision', 'expand', 'create', '700', 'new', 'jobs', 'state', '#scjobs']"
