;health;public;covid19;toronto;city;new;@topublichealth;people;data;childcare;safe;staff;work;system;safely;care;continue;important;recovery;learn;physical;contact;province;support;case;masks;community;access;child;without;reopen;distancing;provincial;services;local;mask;help;pandemic;food;forward;supply;reopening;accessible;spread;results;board;response;follow;torontos;take;cases;housing;tips;program;affordable;place;ontario;live;virus;management;plan;within;cant;risk;medical;lab;torontonians;reporting;capacity;racism;working;clear;information;spaces;tracing;centres;ways;key;step;move;social;hours;gets;morning;programs;update;lanes;crisis;full;order;systems;approach;officer;year;units;guidelines;find;wearing;government;protect
health;0;120;60;54;28;30;18;20;32;4;20;18;20;18;14;0;16;14;12;4;12;24;14;14;26;10;6;20;0;10;14;8;12;6;18;2;4;16;10;16;16;14;0;12;8;26;16;8;14;10;10;12;8;4;4;6;8;2;8;14;6;14;4;12;16;8;10;6;4;10;6;10;8;4;12;8;4;12;4;12;8;8;8;6;10;12;0;12;6;6;10;10;16;2;18;14;2;0;4;6
public;0;0;50;56;28;28;10;18;30;6;18;18;16;18;14;2;14;10;8;6;4;24;8;6;26;12;6;14;0;6;16;4;12;4;18;4;2;16;8;16;12;16;4;16;8;12;14;4;2;10;10;6;2;4;6;8;8;4;10;14;6;12;2;10;10;10;8;8;4;10;6;12;8;10;12;6;0;14;6;10;4;6;6;2;6;10;0;10;4;6;12;10;10;2;18;14;0;6;4;6
covid19;0;0;0;50;30;30;20;18;20;6;8;8;18;10;12;10;10;2;18;12;0;24;6;12;22;2;4;12;8;10;14;0;4;12;8;2;6;14;0;4;6;8;12;18;8;10;16;10;8;0;12;10;6;6;10;8;10;10;10;12;2;8;10;12;8;6;4;6;4;0;4;12;6;2;14;6;2;6;6;2;8;8;8;6;4;10;0;4;6;8;10;0;8;2;8;2;2;2;8;6
toronto;0;0;0;0;22;34;8;14;14;2;10;18;10;6;4;4;8;4;6;8;6;14;6;10;14;6;2;0;2;0;8;6;10;10;8;4;6;8;4;8;4;14;0;8;4;8;12;8;4;8;4;4;4;10;0;8;6;2;2;8;4;6;8;4;12;0;4;2;6;4;8;4;2;10;6;4;0;4;2;6;2;6;0;4;4;12;4;6;0;6;2;2;12;8;2;10;2;4;2;2
city;0;0;0;0;0;18;8;6;2;2;0;20;10;0;10;2;6;8;8;2;0;8;0;6;8;4;4;8;2;2;2;0;2;10;8;0;2;6;4;2;0;4;2;8;4;4;2;0;6;0;4;4;0;10;4;4;2;6;2;2;2;4;0;4;2;0;10;0;0;6;8;0;0;2;6;0;0;4;4;4;2;2;0;2;2;2;2;6;2;2;2;4;2;4;4;8;0;0;0;4
new;0;0;0;0;0;0;8;12;6;4;4;18;16;10;12;2;4;6;6;0;4;6;2;6;6;4;0;2;4;2;12;4;6;2;6;2;8;4;4;0;2;4;2;8;6;0;4;4;10;0;2;4;4;6;2;6;6;2;2;6;2;4;0;2;6;2;2;2;6;0;2;2;0;10;4;6;0;0;4;0;0;2;0;4;0;2;8;0;2;2;4;2;2;8;0;8;0;0;2;6
@topublichealth;0;0;0;0;0;0;0;2;2;0;12;8;4;0;32;0;14;14;4;28;18;8;0;6;8;6;6;2;0;0;2;16;2;4;2;16;8;0;4;4;0;8;0;4;4;4;2;24;2;6;4;2;26;0;0;2;0;0;4;4;0;2;0;0;0;0;0;0;4;0;2;0;4;0;4;2;6;4;2;4;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;12;0;10
people;0;0;0;0;0;0;0;0;8;0;12;8;12;6;2;2;6;2;0;0;4;8;4;8;6;0;4;6;0;2;0;4;0;4;0;0;6;2;0;4;12;0;2;4;6;2;6;0;6;2;0;4;0;2;0;2;0;2;4;8;0;4;4;4;8;0;2;0;0;0;2;0;0;2;4;2;2;4;6;4;0;4;0;0;6;6;0;4;2;4;2;2;4;2;2;0;2;0;0;2
data;0;0;0;0;0;0;0;0;0;0;4;8;10;16;6;0;0;4;2;0;0;4;4;0;6;0;2;2;0;4;4;0;8;0;4;0;4;6;0;6;4;8;0;2;8;8;8;0;4;4;10;2;0;0;0;0;8;4;4;6;0;0;2;10;4;10;0;10;0;0;2;8;4;0;2;0;2;8;4;6;2;0;4;2;2;2;0;2;4;0;2;0;0;2;8;0;0;0;6;0
childcare;0;0;0;0;0;0;0;0;0;0;2;0;0;8;2;2;0;4;4;0;0;0;2;0;0;0;0;4;2;8;4;0;6;0;0;0;0;4;0;0;0;4;16;0;0;0;0;0;0;2;0;0;0;0;12;0;6;0;0;0;12;0;0;0;0;0;0;0;6;0;0;0;0;4;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
