;city;toronto;health;public;covid19;community;housing;new;work;distancing;working;social;response;care;torontos;medical;residents;officer;continue;park;safe;together;services;important;take;home;staff;emergency;critical;torontonians;spread;workers;stay;service;citys;support;next;provincial;essential;vulnerable;part;provide;people;protect;crisis;rail;coronavirus;information;update;prevent;ensure;measures;ontario;deck;safety;shelter;details;step;affordable;budget;homelessness;planning;building;plan;province;risk;government;everyone;prepare;physical;months;week;frontline;advice;strong;confirmed;free;future;year;music;necessary;act;works;sites;days;tomorrow;moment;child;good;west;big;homeless;build;mayor;remains;test;3;downtown;nonstop;supportive
city;0;130;70;68;58;46;34;40;38;14;54;16;28;26;32;28;30;26;38;28;50;22;42;16;24;14;48;16;26;28;16;24;14;30;20;28;30;26;26;16;10;18;12;18;12;20;4;12;12;12;18;24;22;20;20;14;18;18;16;20;12;10;16;12;24;2;20;10;12;6;12;14;14;8;8;4;10;14;16;10;12;8;14;8;14;22;8;14;6;6;18;16;22;8;0;10;22;14;10;12
toronto;0;0;132;138;84;38;30;44;38;10;46;18;44;26;26;26;38;22;20;18;38;18;16;28;10;14;30;24;14;36;18;22;16;30;14;20;10;30;18;18;14;22;16;18;8;14;30;16;22;20;18;18;20;14;12;14;6;12;12;6;12;10;6;12;18;22;12;6;26;2;10;8;12;0;16;18;10;12;8;6;6;10;12;8;12;12;12;16;6;2;6;14;8;10;26;14;18;10;16;6
health;0;0;0;188;92;14;6;26;34;34;36;26;46;14;48;86;38;86;28;8;30;22;28;20;12;12;16;24;22;48;34;8;14;4;22;10;4;26;14;10;12;16;16;28;16;0;40;18;32;30;8;26;12;0;22;10;4;6;2;4;8;0;0;8;16;32;12;10;28;10;4;2;8;30;20;22;2;2;4;0;10;10;8;12;8;6;12;2;6;0;4;6;0;10;26;8;4;2;12;2
public;0;0;0;0;60;16;6;30;34;18;32;14;24;10;24;24;32;28;20;16;34;18;14;20;8;14;18;12;10;30;18;2;12;4;10;4;8;22;2;0;8;8;10;10;8;4;34;26;14;24;4;18;14;4;8;6;6;6;4;6;2;4;4;6;12;28;12;2;28;6;4;12;10;18;20;16;2;14;8;0;6;4;8;4;8;6;6;0;8;4;4;0;2;4;22;2;6;2;12;4
covid19;0;0;0;0;0;16;10;24;22;42;18;34;48;12;36;54;14;48;16;6;18;24;8;14;12;20;10;6;22;20;46;8;20;8;18;18;8;18;8;18;22;16;12;24;0;0;8;2;22;30;12;14;6;0;12;12;2;4;0;0;8;2;0;6;6;6;8;8;14;16;6;2;8;4;6;20;2;0;0;4;8;4;2;0;10;4;10;2;8;0;0;10;0;18;4;10;2;0;16;0
community;0;0;0;0;0;0;16;22;12;6;24;10;24;10;10;4;14;4;10;8;16;16;6;24;2;0;4;0;4;6;4;10;2;8;20;6;6;2;6;24;10;6;0;8;4;0;4;4;8;4;16;4;6;0;8;6;6;4;4;0;2;12;12;6;4;8;6;4;0;2;12;8;6;4;2;2;0;6;4;6;4;0;0;0;0;6;4;2;2;6;6;4;2;10;4;4;2;4;10;2
housing;0;0;0;0;0;0;0;22;4;6;6;10;2;0;10;2;4;2;10;2;2;0;0;0;6;4;6;6;4;4;2;2;2;0;12;8;8;2;0;4;8;8;10;2;12;0;0;0;2;2;4;4;2;0;6;16;2;2;26;6;20;4;10;4;0;0;2;0;2;0;2;0;0;0;0;6;0;0;4;0;2;10;0;2;2;4;0;0;2;0;0;8;4;0;0;0;4;0;0;24
new;0;0;0;0;0;0;0;0;12;8;10;4;8;6;8;10;4;10;6;16;6;2;2;10;2;12;6;4;8;0;6;2;4;2;4;4;8;10;2;4;2;4;4;2;2;6;2;4;6;8;4;6;4;6;6;6;2;0;8;2;8;0;14;10;4;0;6;4;4;4;6;0;0;0;2;8;2;2;6;0;6;6;2;2;2;6;2;4;2;4;2;0;6;2;0;0;2;8;6;10
work;0;0;0;0;0;0;0;0;0;2;10;4;18;4;12;8;10;8;18;8;10;8;6;12;2;4;10;8;4;12;2;0;4;6;12;2;6;4;8;10;2;8;0;4;0;6;10;0;4;4;10;2;2;4;10;2;4;0;2;2;4;4;6;2;4;8;6;4;8;0;4;4;0;0;4;0;4;0;0;0;6;2;4;2;4;6;0;2;4;6;4;0;4;6;6;0;2;2;8;0
distancing;0;0;0;0;0;0;0;0;0;0;8;66;2;4;4;18;6;16;4;4;8;24;6;4;16;20;4;8;18;0;40;2;22;4;8;10;4;2;4;2;26;2;0;6;0;0;0;0;0;16;2;14;4;0;4;6;2;0;0;0;0;0;0;0;8;4;2;4;0;30;4;2;4;12;4;0;0;0;0;0;4;2;8;2;2;2;8;0;2;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;8;14;12;2;8;8;8;16;0;22;16;16;8;6;8;8;6;4;12;0;12;0;12;2;4;2;12;10;6;4;8;2;8;2;0;10;2;4;10;16;8;4;0;4;8;2;2;4;0;2;6;2;2;10;6;10;6;12;2;8;4;4;0;4;4;0;2;2;0;2;0;2;0;4;4;4;8;2;0;2;0;2;4;8;4;6;2;16;0
social;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;12;6;10;4;0;6;18;10;6;18;14;4;8;8;0;28;4;18;12;10;6;2;2;4;8;24;4;2;6;0;0;0;2;0;14;2;14;2;0;4;6;2;2;2;0;2;0;0;0;8;2;2;6;0;0;2;2;2;10;4;0;0;0;0;0;6;2;6;4;2;2;2;2;0;0;0;0;0;6;0;0;0;0;0;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;8;16;18;8;18;8;0;10;10;8;8;4;4;4;18;2;14;2;4;2;8;26;8;4;2;2;20;4;12;0;14;10;0;8;0;16;4;4;4;0;0;4;0;2;0;0;0;2;2;2;10;0;2;2;8;0;0;4;0;4;0;6;2;2;0;0;2;4;4;4;2;2;4;4;0;0;0;2;4;0;16;2;2;2;0;4;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;12;0;20;6;10;4;24;16;6;8;4;2;2;24;12;16;4;6;0;4;22;10;0;14;0;2;8;0;0;0;0;2;0;0;6;0;0;2;0;0;0;0;4;2;0;0;4;0;2;0;0;0;2;2;8;0;2;0;12;0;0;0;0;4;0;2;4;0;2;26;0;0;0;2;0;0;4;2;0;2;0;0
torontos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;6;36;8;6;6;2;8;4;2;0;6;6;4;4;8;0;2;2;8;6;2;4;0;4;4;10;4;4;0;2;18;2;20;2;6;4;2;2;4;6;4;4;0;4;8;2;2;10;0;8;0;2;0;4;4;0;0;2;2;8;4;0;2;6;2;4;2;2;4;4;2;2;6;0;2;4;0;12;8;0;4;2;2;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;86;4;6;2;2;8;4;6;0;4;8;14;8;20;0;2;0;16;4;2;8;4;2;4;12;2;10;0;0;14;2;28;8;6;8;2;0;0;2;2;0;0;0;2;0;0;6;2;10;2;4;2;6;2;2;0;14;0;6;0;0;0;0;6;2;2;2;4;4;4;0;0;0;2;4;0;10;8;6;2;0;6;0
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;4;12;4;8;8;6;8;6;4;4;6;4;8;10;2;6;6;2;4;4;8;0;0;2;8;4;2;12;6;6;4;6;4;2;2;4;0;4;2;2;2;2;0;6;6;0;16;0;2;6;2;4;2;10;4;4;4;0;2;0;0;4;4;2;0;2;4;4;0;0;0;2;0;2;2;12;0;0;4;2;0
officer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;4;6;2;4;0;4;8;14;8;20;0;2;0;16;2;2;4;4;2;4;12;2;10;0;0;16;4;26;8;4;6;2;0;0;0;2;0;0;0;0;0;0;6;2;10;2;4;2;6;2;0;0;16;2;2;0;0;0;0;4;2;0;2;4;4;4;0;0;0;2;0;0;10;8;0;0;0;6;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;2;14;2;8;2;8;12;4;10;2;6;6;2;6;10;0;10;10;8;2;12;4;4;6;2;2;2;6;4;2;4;4;2;8;6;0;0;0;0;2;8;0;4;2;2;6;0;4;0;6;0;4;2;0;6;2;2;2;0;0;6;4;4;0;0;0;4;2;0;2;0;2;0;2;4;2;2;10;2
