;delaware;delawareans;covid19;health;thank;public;stay;state;home;workers;protect;care;delawares;face;de;community;difficult;situation;sussex;help;work;together;watch;neighbors;economy;front;briefing;director;emergency;healthy;social;lines;part;businesses;county;family;@delaware_dhss;covering;especially;@foodbankofde;still;updates;livestream;response;school;spotlight;working;serious;save;support;mobile;text;take;everyone;delawarean;across;important;info;safe;helping;fight;drivethru;division;new;informed;#stayhomede;continue;hospital;distancing;essential;order;giving;surge;communities;schools;food;recovery;virtual;online;learn;guidance;educators;testing;pantry;countypreregister;partners;required;cases;management;spread;dover;live;yo;bring;decisions;days;visit;volunteers;restrictions;science
delaware;0;16;20;18;10;14;14;14;12;6;12;6;6;4;4;6;6;4;8;8;8;8;8;10;2;4;8;8;8;2;2;4;10;4;6;8;4;2;6;2;4;4;8;2;2;4;4;2;0;2;2;4;0;4;2;4;4;2;4;2;0;2;10;2;6;2;2;2;2;2;0;8;0;2;2;2;0;0;0;4;2;0;2;2;0;2;2;0;8;2;4;0;2;0;0;2;0;2;2;0
delawareans;0;0;12;12;18;8;8;12;8;10;12;12;2;8;0;4;12;8;4;4;4;2;0;10;0;6;0;0;2;0;6;4;4;2;0;4;4;0;2;4;4;2;0;0;4;10;4;4;4;2;4;2;4;0;8;4;8;2;4;4;2;4;2;0;0;2;0;0;4;2;2;0;0;0;6;4;0;0;4;0;2;0;0;2;2;0;2;2;0;0;4;0;2;4;0;0;0;0;2;0
covid19;0;0;0;16;6;14;4;8;6;8;6;14;16;6;6;8;4;10;6;4;8;6;10;4;4;4;12;12;10;0;2;4;6;2;6;4;4;2;8;0;10;4;10;10;2;0;2;6;6;4;0;2;0;2;0;2;6;6;2;2;8;0;6;4;2;2;4;6;0;0;0;10;8;4;0;0;2;0;0;2;2;0;4;0;0;2;2;6;8;6;0;2;0;0;0;2;6;0;2;4
health;0;0;0;0;18;16;4;2;4;20;8;22;12;4;0;4;2;2;2;4;6;4;8;6;0;16;6;6;10;0;4;14;0;6;4;4;6;0;2;4;2;0;6;6;2;6;4;2;2;6;2;0;2;2;4;0;2;2;0;6;6;2;12;4;0;2;0;2;4;4;4;6;0;0;2;2;0;2;0;2;4;0;2;2;0;4;2;0;6;0;2;0;0;0;0;0;0;4;0;0
thank;0;0;0;0;0;0;4;10;2;20;4;16;6;4;0;4;8;4;0;8;2;4;0;8;0;12;2;2;2;0;0;12;0;0;2;2;0;0;0;6;2;0;0;2;6;12;6;2;0;2;4;0;0;2;10;4;2;2;2;12;4;4;0;2;0;2;2;0;0;0;2;0;0;2;6;6;0;0;0;0;0;4;0;4;0;6;0;0;0;0;6;2;0;0;0;0;0;8;0;0
public;0;0;0;0;0;0;10;2;6;0;6;2;6;14;2;2;2;8;4;4;2;2;10;0;2;0;6;6;6;0;10;0;2;4;6;4;6;8;2;0;4;0;8;0;0;0;2;6;2;0;0;0;10;4;0;0;0;4;2;0;0;0;12;2;2;2;0;2;8;6;2;6;0;0;0;0;6;6;0;8;8;0;2;0;0;0;6;2;6;4;0;0;0;0;0;0;4;0;2;2
stay;0;0;0;0;0;0;0;4;28;0;14;2;4;2;4;0;2;6;0;6;4;8;0;4;0;0;0;0;2;0;0;0;8;2;0;10;4;2;2;2;2;2;0;0;0;0;4;4;2;2;0;2;6;4;0;0;0;0;8;0;0;0;2;0;10;8;2;2;0;6;6;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;4;0;0;0
state;0;0;0;0;0;0;0;0;4;6;0;2;4;0;4;4;10;0;0;2;6;2;2;2;2;0;0;0;4;2;0;0;2;0;0;2;2;0;0;0;0;6;0;0;8;2;0;0;0;0;0;4;0;0;2;10;6;2;0;0;2;0;0;0;4;0;4;0;0;0;4;0;0;2;4;0;0;2;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;6;2;2;0;0
home;0;0;0;0;0;0;0;0;0;0;14;2;4;0;6;2;4;4;0;4;4;4;0;4;0;0;0;0;4;0;0;0;10;2;0;10;4;0;2;0;2;2;0;0;0;0;2;2;2;2;0;0;2;2;0;0;0;0;8;0;2;0;2;0;8;6;4;4;0;4;6;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;4;0;0;0;0;0;4;6;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;6;22;10;2;2;2;2;2;0;6;2;4;0;4;0;18;0;0;4;0;0;16;0;0;0;0;0;0;0;0;2;0;0;4;4;6;4;2;2;6;0;0;0;2;4;2;2;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
