;state;students;funding;delaware;opportunity;#netde;#desots;public;school;million;new;#edude;water;people;budget;learn;town;kindness;#delaware;communities;wilmington;february;de;clean;schools;health;staff;join;tonight;using;across;difference;great;mcqueen;government;colonel;odessa;take;investing;year;information;proud;company;secretary;support;delawareans;50;provides;fire;delawares;@delaware_dhss;classrooms;good;hope;competition;#budgetde;6pm;real;teachers;thank;coupe;@wawa;division;upcoming;another;@delaware_dshs;environment;#kindde;howard;senate;please;high;job;#blackhistorymonth;continue;program;educators;4;prepared;10;law;@caesarrodneysd;commitment;simple;management;enforcement;lead;unique;@dedeptofed;city;forest;@destatepolice;event;children;congratulations;halls;serve;investment;talking;trust
state;0;4;4;4;4;2;6;2;0;0;0;0;0;2;4;2;4;0;0;2;4;0;2;0;4;0;0;4;4;0;6;0;2;0;0;0;2;0;6;0;0;0;2;2;0;2;0;2;2;2;0;2;0;0;2;0;2;0;0;0;2;0;0;2;4;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;2;4;0
students;0;0;8;0;8;0;0;0;4;2;0;8;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;4;0;0;0;6;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0
funding;0;0;0;2;14;0;0;0;4;0;4;6;0;0;2;6;0;0;0;2;0;0;2;0;4;0;2;0;0;6;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;6;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0
delaware;0;0;0;0;2;2;0;2;0;2;4;0;2;2;4;4;0;0;0;4;2;2;0;2;2;0;0;0;0;0;4;0;0;2;0;2;0;0;2;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;4
opportunity;0;0;0;0;0;0;2;0;6;0;4;6;0;0;2;6;0;0;0;2;0;0;2;0;4;0;2;0;0;6;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;6;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0
#netde;0;0;0;0;0;0;4;2;0;0;2;2;0;2;0;0;4;2;0;0;4;2;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
#desots;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;10;0;0;0;2;2;2;0;2;0;0;8;8;0;0;0;0;0;0;0;4;0;2;0;0;0;4;0;0;2;0;0;6;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0
public;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;2;0;2;2;0;2;6;2;0;2;0;0;0;0;2;0;2;2;4;2;0;6;2;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;2;2;2;0;4;6;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2
school;0;0;0;0;0;0;0;0;0;2;2;6;0;0;2;4;0;0;2;0;0;2;2;0;4;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;0;0;0;0;4;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;4;2;4;0;4;0;0;0;2;0;0;0;2;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
