;stay;coronavirus;health;spread;care;covid19;public;help;home;@delaware_dhss;delaware;delawareans;workers;de;social;work;hands;response;child;take;order;businesses;thank;school;wash;state;especially;watch;info;delawares;situation;students;emergency;virtual;part;restaurants;protect;distancing;seriously;questions;update;support;prevent;close;together;essential;center;town;safe;informed;services;schools;hall;taking;access;updates;des;march;please;division;leaders;meals;family;important;restrictions;call;tune;visit;issued;cases;families;icymi;threat;people;latest;ensure;slow;providing;steps;provide;remain;sussex;affect;new;challenging;follow;neighbors;virus;facilities;continue;unnecessarily;statewide;plan;reduce;starting;significant;serious;hard;risk;actions
stay;0;10;10;14;4;2;8;8;26;2;0;8;2;4;12;8;16;0;2;10;2;0;0;2;16;0;2;0;2;2;6;2;2;0;8;2;6;8;8;2;4;2;2;0;4;8;0;0;8;10;2;0;0;2;2;4;0;0;2;0;0;2;4;0;0;0;0;2;4;4;0;0;4;2;0;0;8;2;0;0;0;0;4;0;2;4;6;6;0;0;8;0;0;0;0;0;6;0;2;6
coronavirus;0;0;14;26;0;0;10;12;4;14;14;8;6;10;8;4;8;4;0;4;4;4;4;4;6;4;4;4;4;4;4;4;2;0;0;4;2;8;0;4;8;4;8;4;0;0;8;0;4;4;0;4;0;6;0;10;4;4;4;6;2;2;0;2;6;6;0;8;2;2;0;2;0;6;4;2;6;2;6;2;4;0;0;2;2;0;0;0;2;2;0;2;2;4;2;2;2;4;4;2
health;0;0;0;12;14;8;18;8;4;10;4;4;10;8;2;8;8;4;6;6;4;2;6;2;4;6;4;0;4;6;0;2;6;0;4;2;8;0;2;2;0;2;6;0;4;2;4;0;2;2;2;0;0;6;4;4;6;0;0;8;2;0;4;0;2;2;0;2;2;2;2;2;4;2;2;6;0;2;4;0;0;2;0;0;2;2;0;4;4;2;2;0;2;4;2;0;2;2;2;0
spread;0;0;0;0;2;10;6;12;8;4;6;0;2;6;12;2;12;0;0;6;4;4;2;2;10;0;4;0;4;0;2;0;2;0;6;4;6;10;4;0;2;4;10;4;2;0;0;0;2;2;0;4;0;8;0;4;4;6;4;2;0;0;0;2;6;0;2;0;6;4;0;0;4;4;2;0;10;0;6;0;4;0;0;0;0;0;0;6;2;2;2;2;0;6;4;0;4;4;2;2
care;0;0;0;0;0;4;4;4;2;2;0;2;12;2;0;2;2;2;12;2;6;0;8;0;2;4;2;0;2;4;0;0;8;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0
covid19;0;0;0;0;0;0;6;6;2;8;6;6;4;4;0;2;0;10;2;2;2;2;0;0;0;4;2;6;4;4;0;0;2;2;6;4;4;0;8;4;4;0;2;0;2;0;0;0;0;0;0;0;0;6;2;0;8;2;2;4;0;0;4;0;0;2;6;0;4;2;2;2;4;0;4;6;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0
public;0;0;0;0;0;0;0;8;8;10;6;4;0;8;2;2;10;2;0;6;2;2;0;6;6;4;4;0;2;0;2;2;2;0;4;0;0;0;2;4;0;0;4;2;4;0;2;0;0;4;0;2;0;4;0;4;6;2;0;10;6;0;2;0;2;4;0;2;2;4;2;2;2;4;4;2;0;0;4;0;0;2;0;0;0;2;0;2;2;2;8;0;4;2;0;2;0;2;2;2
help;0;0;0;0;0;0;0;0;4;2;4;4;4;4;10;0;4;2;2;6;6;4;2;4;4;2;8;0;6;0;6;0;4;0;0;4;2;8;4;0;2;4;0;2;2;2;0;0;4;2;0;2;0;6;2;2;6;2;0;0;2;0;0;4;4;0;0;0;2;4;2;2;0;2;2;4;4;0;6;0;2;2;2;2;0;2;2;0;2;0;0;2;2;6;2;2;2;2;0;4
home;0;0;0;0;0;0;0;0;0;2;0;8;0;2;6;6;12;0;0;8;0;0;0;0;12;0;2;0;0;0;4;0;0;0;6;0;4;6;8;2;2;0;2;0;2;8;0;0;4;6;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4;4;0;0;4;0;0;0;4;0;0;0;0;0;4;0;0;2;6;4;0;0;8;0;0;0;0;0;2;0;2;6
@delaware_dhss;0;0;0;0;0;0;0;0;0;0;2;4;0;8;0;2;4;4;0;0;2;0;4;0;2;0;0;6;2;0;0;0;2;8;0;0;0;0;0;8;6;0;2;0;0;0;6;4;0;2;0;0;4;2;0;6;4;0;0;8;0;0;4;0;0;6;4;6;2;0;0;4;0;0;2;4;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
delaware;0;0;0;0;0;0;0;0;0;0;0;2;6;0;4;2;0;2;0;0;2;4;4;6;0;4;2;2;4;0;0;4;0;0;0;2;2;2;2;0;4;0;0;4;2;0;0;0;0;0;2;6;0;2;2;0;0;4;0;2;4;2;0;2;2;0;2;0;2;0;2;2;0;2;0;2;2;2;2;2;2;2;0;4;0;0;0;0;4;0;0;0;2;0;4;2;0;0;0;0
