kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
city,26,community,26,please,77,email,89,email,91,email,68,please,337
toronto,19,city,24,email,64,councillor_matlow@torontoca,88,please,87,councillor_matlow@torontoca,65,email,336
thank,19,eglinton,24,thank,64,please,85,councillor_matlow@torontoca,85,please,63,councillor_matlow@torontoca,321
community,18,support,19,councillor_matlow@torontoca,63,feel,72,feel,75,city,48,feel,258
residents,13,toronto,19,health,53,welcome,72,welcome,72,police,48,welcome,258
together,13,email,17,feel,48,health,35,support,33,welcome,47,thank,195
sidewalks,13,thank,16,welcome,48,public,27,thank,32,feel,44,city,160
please,11,residents,14,support,37,thank,24,care,30,motion,42,community,149
pleasure,10,metrolinx,14,public,37,love,23,city,25,happy,40,support,140
developers,10,please,14,family,35,covid19,21,hi,25,thank,40,health,131
support,9,new,14,covid19,32,support,20,staff,24,council,39,toronto,131
public,8,councillor_matlow@torontoca,14,together,31,care,19,community,22,community,37,public,118
health,8,welcome,12,community,31,workers,18,id,20,toronto,36,happy,108
transit,8,feel,12,city,30,toronto,17,happy,20,id,35,together,92
@carolyn_bennett,8,west,11,good,30,ive,15,pleasant,19,budget,34,care,86
take,7,public,11,people,28,community,15,covid19,19,call,29,covid19,83
email,7,local,11,toronto,26,emergency,13,ive,19,number,28,id,82
new,7,ford,11,love,24,pandemic,13,homes,19,reach,25,people,79
staff,7,certainly,10,happy,24,together,12,health,18,support,22,love,76
feel,7,councillor,10,best,21,distancing,12,mount,18,ive,18,residents,76
welcome,7,happy,10,work,19,hi,12,love,18,public,17,staff,75
priorities,7,pleasure,10,residents,18,staff,11,public,18,believe,17,ive,75
join,7,council,9,certainly,18,construction,11,office,17,discuss,17,good,71
citys,7,concerns,9,@johntory,18,healthcare,11,update,16,mayor,16,family,70
discuss,7,family,9,kind,18,everyone,10,safe,16,care,16,number,67
council,7,great,9,call,17,good,10,@johntory,15,good,15,hi,65
remarkable,7,lrt,9,follow,17,people,10,ones,15,@kristynwongtam,15,call,65
lanes,7,people,9,id,17,advice,9,people,15,together,14,council,64
evening,6,everyone,8,thanks,17,family,9,toronto,14,pandemic,14,reach,59
roads,6,citys,8,save,17,certainly,9,together,14,citys,13,police,58
light,6,life,8,staff,17,essential,9,longterm,14,actually,13,work,57
morning,6,youth,8,number,16,longterm,9,loved,14,government,13,certainly,56
people,6,together,8,information,16,send,9,kind,14,conversation,12,@johntory,54
closely,6,proud,7,still,16,important,9,work,13,10,12,kind,54
friends,6,scarborough,7,important,16,residents,9,cemetery,13,people,11,motion,51
councillor_matlow@torontoca,6,join,7,experts,15,happy,9,local,13,health,11,discuss,51
feb,6,along,7,morning,15,province,8,residents,13,week,11,eglinton,48
working,6,subway,7,rent,15,home,8,normal,13,control,11,important,47
family,6,quality,7,advice,15,rent,8,emergency,13,councillors,11,local,47
local,6,businesses,7,ive,15,lives,8,distancing,12,meeting,11,pleasure,47
environment,5,work,7,eglinton,15,wish,8,businesses,12,covid19,11,thanks,46
wonderful,5,staff,6,tenants,15,safe,8,reach,12,policing,11,everyone,46
life,5,motion,6,able,15,beautiful,8,yes,12,agree,11,new,46
pauls,5,friends,6,lives,14,crisis,7,thanks,12,staff,10,working,45
torontost,5,owners,6,home,14,heroic,7,@sulu1980,11,lets,10,citys,43
neighborhood,5,@carolyn_bennett,6,social,14,still,7,buried,11,change,10,believe,43
important,5,finally,6,care,14,protect,7,understand,11,local,10,government,42
streets,5,@rob_oliphant,6,discuss,14,social,7,lets,11,safety,10,wonderful,42
ford,5,st,6,business,14,physical,7,details,11,detail,10,pandemic,41
care,5,construction,6,ontario,14,list,7,conversation,11,wonderful,10,best,41
happy,5,tonight,6,crisis,13,thoughtful,7,thoughtful,10,alternatives,10,follow,40
councillor,5,ave,6,everyone,13,kind,7,number,10,listen,10,budget,40
year,5,@collemike,6,owners,13,homes,7,transportation,10,hi,10,thoughtful,39
appreciate,5,transit,6,yes,13,grateful,7,conversations,10,kind,9,distancing,39
students,5,system,6,distancing,13,best,7,morning,9,details,9,take,39
hall,4,business,6,hi,13,@johntory,7,st,9,give,9,conversation,38
visit,4,person,6,selfisolation,12,wishing,7,person,9,hope,9,morning,38
amazing,4,provinces,6,march,12,working,7,group,9,next,9,emergency,38
accessible,4,ive,6,grateful,12,efforts,7,certainly,9,residents,9,understand,37
lrt,4,conversation,6,reach,12,hope,7,hear,9,line,9,still,37
heres,4,health,6,wonderful,12,amazing,7,new,9,@johntory,9,businesses,37
rather,4,thoughtful,6,heres,12,city,7,call,9,communities,9,construction,37
enjoyed,4,communities,5,distance,12,write,7,physical,9,ford,9,lives,36
quality,4,thanks,5,businesses,12,office,7,life,9,take,9,details,36
school,4,invited,5,working,12,agree,7,good,9,youd,9,ford,36
service,4,apartment,5,protect,12,number,7,follow,9,due,9,write,36
proud,4,working,5,write,11,understand,7,agree,9,provincial,9,lets,35
youth,4,remarkable,5,phone,11,government,7,citys,9,defund,9,yes,35
bike,4,safety,5,kids,11,appreciate,6,along,8,understand,8,social,35
members,4,torontost,5,share,11,person,6,may,8,june,8,hope,35
@aijagreen,4,party,5,actively,11,based,6,clair,8,defunding,8,appreciate,35
thoughtful,4,rating,5,wishing,11,medical,6,part,8,hear,8,agree,35
communities,4,development,5,lot,11,save,6,pleasure,8,councillor,8,homes,34
work,4,number,5,completely,11,management,6,working,8,important,8,home,34
invited,4,discuss,5,conference,11,stay,6,ontarios,8,days,8,safe,34
believe,4,pauls,5,take,11,part,6,communitys,8,work,8,grateful,34
everyone,4,developers,5,pandemic,10,share,6,believe,8,phone,8,office,34
certainly,4,good,5,@topublichealth,10,healthy,6,helpful,8,pleasant,7,councillor,33
write,4,money,5,regarding,10,tenants,6,home,8,homes,7,meeting,33
roslyn,4,shop,5,questions,10,sense,6,proud,8,detailed,7,able,33
oakwoodvaughan,4,transportation,5,emergency,10,ways,6,could,8,send,7,life,33
completely,4,crosstown,5,theres,10,officer,6,everyone,7,towards,7,tenants,32
possible,4,mayor,5,vulnerable,10,work,6,social,7,forward,7,along,32
safe,4,id,5,understand,10,provide,6,crisis,7,working,7,person,32
road,4,rather,5,question,10,@sulu1980,6,family,7,love,7,workers,32
supportive,4,park,5,government,10,wonderful,6,experts,7,supports,7,advice,32
could,4,evening,5,symptoms,10,follow,6,tenants,7,ontarios,7,pleasant,32
great,3,project,4,appreciate,10,experts,6,able,7,cameras,7,longterm,32
ontario,3,colleagues,4,taking,10,kindness,5,wonderful,7,thoughtful,7,completely,31
focus,3,skating,4,isolated,10,calling,5,kindness,7,actively,7,send,31
ttc,3,hall,4,pleasure,9,able,5,enjoyed,7,supporting,7,ontario,31
2020,3,stop,4,construction,9,reach,5,cemeteries,7,mount,7,part,31
details,3,budget,4,seniors,9,@carobeelove,5,responsibility,7,yes,6,mount,30
learn,3,call,4,stop,9,walk,5,tweet,7,services,6,protect,30
eglinton,3,charge,4,believe,9,workplace,5,deeply,6,cut,6,hear,30
heartfelt,3,neighborhoods,4,stay,9,deeply,5,course,6,school,6,heres,30
low,3,enjoying,4,tomorrow,9,new,5,beautiful,6,request,6,provincial,30
issues,3,provide,4,absolutely,9,find,5,great,6,construction,6,proud,30
expect,3,provincial,4,join,9,theres,5,start,6,start,6,crisis,29
taking,3,province,4,advise,9,difficult,5,completely,6,completely,6,rent,29
