;email;councillor_matlow@torontoca;please;city;police;welcome;feel;motion;happy;thank;council;community;toronto;id;budget;call;number;reach;support;ive;public;believe;discuss;mayor;care;good;@kristynwongtam;together;pandemic;citys;actually;government;conversation;10;people;health;week;control;councillors;meeting;covid19;policing;agree;staff;lets;change;local;safety;detail;wonderful;alternatives;listen;hi;kind;details;give;hope;next;residents;line;@johntory;communities;ford;take;youd;due;provincial;defund;understand;june;defunding;hear;councillor;important;days;work;phone;pleasant;homes;detailed;send;towards;forward;working;love;supports;ontarios;cameras;thoughtful;actively;supporting;mount;yes;services;cut;school;request;construction;start;completely
email;0;122;106;10;4;88;84;10;42;10;6;2;4;44;0;38;48;40;4;6;4;2;20;2;0;4;2;0;0;4;6;10;6;2;0;4;14;4;0;2;0;2;12;4;2;2;2;0;16;0;2;4;18;0;12;14;6;12;0;0;10;4;4;0;14;0;8;0;6;0;0;8;4;0;2;2;10;0;0;12;6;0;2;2;0;2;0;2;2;8;4;0;0;0;0;0;4;2;2;6
councillor_matlow@torontoca;0;0;100;8;6;90;86;10;48;10;4;2;2;50;0;44;50;44;2;6;2;2;28;0;0;2;2;0;0;4;6;10;8;0;0;2;16;4;0;2;0;2;12;4;0;2;2;0;20;0;2;2;20;0;12;16;6;14;2;0;10;4;4;0;14;2;8;0;6;0;0;6;2;0;6;2;10;0;0;12;12;0;2;2;0;2;0;2;4;8;4;0;0;0;0;0;4;2;2;4
please;0;0;0;8;12;82;86;10;32;6;12;8;10;28;2;24;34;28;8;6;4;2;16;8;2;2;2;2;0;4;4;8;4;2;0;4;10;4;0;6;0;2;10;6;4;2;4;0;12;0;2;4;14;0;12;10;4;8;6;0;8;4;2;2;6;4;8;2;4;4;4;6;4;2;2;2;8;0;0;12;8;0;0;0;0;4;0;0;4;10;2;0;0;2;0;0;6;2;2;2
city;0;0;0;0;26;2;0;28;2;6;42;10;36;2;14;4;0;0;8;0;6;2;2;10;6;2;2;2;6;6;0;8;0;6;2;0;4;2;10;12;8;4;0;4;4;6;6;4;0;0;6;6;0;0;2;0;4;2;4;2;2;8;6;4;2;6;6;16;4;8;4;2;10;0;4;0;0;0;4;0;0;2;0;0;0;4;4;2;2;2;0;0;0;2;0;0;0;6;6;4
police;0;0;0;0;0;2;2;26;4;0;36;12;34;6;52;4;4;4;8;4;6;6;4;12;0;6;4;0;0;4;12;0;0;16;0;0;0;14;10;6;0;4;0;0;2;6;2;6;2;0;6;4;4;0;0;0;2;4;4;12;0;6;2;4;0;2;0;16;2;4;16;2;2;0;2;0;0;0;0;2;2;8;4;0;0;6;0;8;4;0;2;2;0;8;6;0;2;0;2;0
welcome;0;0;0;0;0;0;84;4;30;4;2;2;0;24;0;28;32;28;2;2;2;0;18;0;0;2;2;0;0;4;4;8;4;0;0;4;12;2;0;2;0;2;12;2;0;0;0;0;14;0;2;0;8;0;12;10;0;10;2;0;6;4;2;0;6;2;6;0;2;0;0;6;0;0;2;2;6;0;0;8;6;0;2;2;0;2;0;0;2;6;4;0;0;0;0;0;2;2;2;4
feel;0;0;0;0;0;0;0;4;26;4;2;2;0;24;0;24;30;28;0;4;2;0;18;0;0;0;2;2;0;4;4;8;4;0;0;2;10;2;0;2;0;2;12;2;2;0;0;0;12;0;2;0;10;0;12;8;0;8;2;0;6;4;2;0;6;2;6;0;2;0;0;6;0;0;2;2;4;0;0;8;6;0;0;2;0;2;0;0;2;6;4;0;0;0;0;0;2;2;0;4
motion;0;0;0;0;0;0;0;0;6;4;36;6;18;8;18;6;8;6;14;2;4;6;6;14;2;4;6;0;4;0;10;6;0;8;0;0;4;6;10;6;6;4;0;0;0;4;2;4;2;0;4;2;6;0;0;2;2;2;2;0;0;4;10;2;2;4;4;10;2;6;2;2;4;0;4;2;2;0;0;0;2;2;2;0;0;4;0;4;0;0;6;0;2;6;2;0;4;6;4;0
happy;0;0;0;0;0;0;0;0;0;2;0;8;0;50;0;28;34;32;0;2;4;2;16;0;4;4;0;2;2;2;2;2;12;0;0;8;8;2;0;0;0;4;2;2;2;0;2;2;10;0;4;4;10;2;2;12;4;10;4;0;2;2;2;2;6;4;0;0;4;0;0;2;2;2;6;0;8;2;0;6;10;4;2;0;2;2;0;0;2;4;2;0;0;0;0;0;2;0;0;2
thank;0;0;0;0;0;0;0;0;0;0;2;10;4;4;0;6;4;4;4;6;2;0;4;4;4;2;6;6;2;0;0;0;4;0;6;2;2;0;0;0;0;2;2;6;0;0;0;4;2;4;2;0;2;16;0;2;0;4;0;0;4;0;0;2;2;0;0;0;0;0;0;0;2;2;2;4;0;0;4;2;0;2;0;0;6;2;4;2;4;0;6;0;0;2;0;4;0;0;0;4
council;0;0;0;0;0;0;0;0;0;0;0;10;32;0;24;0;0;0;8;4;4;6;0;16;0;0;8;0;4;0;6;6;0;8;0;0;4;14;2;16;6;6;0;0;2;10;2;4;0;0;8;6;2;0;2;0;2;2;4;6;0;8;6;6;2;4;2;14;4;8;2;2;4;0;4;0;2;0;0;2;0;4;2;0;0;4;0;4;2;0;2;2;0;6;4;0;6;6;6;0
community;0;0;0;0;0;0;0;0;0;0;0;0;12;2;12;0;0;0;6;4;4;2;4;2;2;4;4;14;8;6;2;0;4;4;6;2;0;4;2;6;0;12;0;10;2;0;4;6;0;4;14;4;2;0;0;0;2;2;8;2;0;4;0;0;2;2;0;2;0;2;4;0;0;2;0;8;0;2;0;2;0;8;0;0;4;14;0;2;2;2;2;2;0;0;4;10;0;0;0;2
toronto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;0;8;0;2;0;2;8;4;0;4;4;4;4;2;2;0;10;2;0;0;6;10;10;6;4;0;2;0;4;2;4;0;0;2;2;2;0;2;0;0;2;2;2;0;0;2;0;2;2;2;14;0;4;4;0;10;0;0;2;0;0;4;2;0;2;6;0;0;6;4;2;4;0;0;0;0;4;0;0;2;4;0;0
id;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;36;36;0;6;4;2;16;2;0;2;0;2;0;0;4;2;16;0;0;2;10;0;0;0;0;2;2;0;2;0;2;2;10;0;2;2;8;0;0;12;4;12;2;0;2;2;2;0;10;2;0;0;6;0;0;0;2;0;6;0;8;0;0;6;10;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2
budget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;6;0;8;0;6;4;0;0;4;10;0;0;16;0;0;0;12;6;0;0;4;0;0;2;2;0;4;0;0;6;2;0;0;0;0;0;2;0;12;0;4;2;2;0;0;0;6;0;0;10;2;0;0;0;0;0;0;0;0;0;8;4;0;0;6;0;6;2;0;2;0;0;6;8;0;2;0;2;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;38;6;2;4;2;22;0;8;2;2;0;0;0;2;0;6;0;2;4;18;0;0;0;2;0;4;0;0;2;0;0;14;0;0;2;8;0;0;16;2;16;2;0;0;0;0;0;10;4;0;0;6;2;0;0;6;0;8;0;10;0;8;2;12;0;2;2;0;0;8;2;4;0;2;0;0;0;0;0;0;0;0;4
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;2;2;0;26;0;0;0;2;0;0;0;2;0;8;0;0;2;14;0;0;0;0;0;4;0;2;0;0;0;12;0;0;4;8;0;0;16;2;14;2;0;0;2;0;0;10;2;0;0;4;0;0;0;0;0;6;0;12;0;0;4;14;0;0;2;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;4
reach;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;24;0;0;0;2;2;0;0;0;0;10;0;0;2;14;0;0;0;0;0;4;0;4;0;0;0;10;0;0;4;8;0;0;12;0;14;2;0;0;2;0;0;8;2;0;0;4;0;0;0;0;0;6;0;6;0;0;2;8;0;0;2;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;6;10;2;0;0;0;2;2;0;2;2;2;2;0;6;2;6;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;6;2;2;0;2;6;2;2;2;2;2;0;0;4;0;0;2;2;0;2;2;4;4;0;0;0;0;0;2;0;0;0;0;2;0
ive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;0;2;2;0;8;2;2;0;4;0;2;0;2;0;0;4;2;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;2;2;0;2;2;2;0;4;2;4;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;4;2;4;2;0;0;0;2;0;0;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;6;0;0;4;0;2;0;2;0;8;0;2;0;0;2;0;0;6;0;2;2;4;0;0;0;2;0;0;0;0;0;4;2;0;0;2;0;0;0;4;2;2;4;4;4;0;2;2;0;2;0;2;2;0;0;4;2;0;0;2;2;2;2;4;0;2;0;0;0;0;0;2;0;0
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;4;0;0;0;8;0;0;2;0;2;2;4;2;0;0;2;6;0;0;4;0;0;2;0;2;2;2;0;0;0;4;0;0;2;0;2;2;0;2;0;0;0;8;0;2;4;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;0
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;8;0;2;0;0;2;2;2;0;0;0;2;10;0;2;0;6;0;0;4;0;6;4;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;10;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;2
mayor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;2;2;6;0;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;2;6;2;0;4;0;0;0;6;2;6;0;0;4;2;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;4;0;0;6;2;0;2;0;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;0;0;0;8;4;0;0;2;0;0;0;0;2;6;2;4;2;0;0;0;2;0;2;0;0;2;0;6;0;2;0;0;4;0;2;0;0;0;2;0;0;6;4;2;4;0;0;14;0;0;2;0;2;4;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;0;0;0;2;2;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;4;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;2
@kristynwongtam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;4;4;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;2;4;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;0;4;0;2;0;0;0;2;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;4;0;4;2;0;0;0;2;2;0;0;8;6;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;4;4;0;0;4;4;0;0;4;4;4;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;0;0;2;4;4;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;2;0;4;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;2;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;2;0;2;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;4;0;2
actually;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;6;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;4;0;6;0;0;4;0;0;4;0;0;0;0;0;4;0;0;0;0;2;2;0;12;0;2;2;12;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;8;4;0
