;please;thank;email;councillor_matlow@torontoca;health;feel;welcome;public;support;family;covid19;together;community;city;good;people;toronto;love;happy;best;work;@johntory;certainly;residents;kind;save;thanks;follow;id;staff;call;number;still;important;information;ive;experts;rent;able;advice;tenants;eglinton;morning;social;ontario;business;care;home;lives;discuss;hi;everyone;owners;distancing;crisis;yes;reach;distance;working;wonderful;march;selfisolation;protect;grateful;heres;businesses;kids;take;share;phone;wishing;lot;completely;conference;write;actively;isolated;theres;regarding;taking;@topublichealth;symptoms;questions;understand;question;appreciate;emergency;vulnerable;government;pandemic;hope;tomorrow;believe;pleasure;kindness;@carolyn_bennett;landlords;details;remain;meeting
please;0;22;102;102;8;76;78;8;12;8;4;10;6;14;6;6;6;4;32;2;6;12;14;4;4;4;2;18;26;10;18;22;4;8;6;4;2;2;2;2;6;2;2;0;0;0;2;4;4;18;18;2;0;0;4;6;14;2;4;2;4;2;4;0;0;0;2;2;12;12;0;0;6;2;2;6;0;6;6;2;2;0;6;4;10;4;4;4;4;2;2;2;0;2;0;2;0;10;0;4
thank;0;0;16;16;4;6;6;4;6;22;2;10;16;2;0;0;2;12;4;12;4;4;4;2;22;2;0;4;2;2;0;0;2;4;0;2;2;0;0;0;0;2;0;4;2;6;6;0;2;0;2;6;4;4;2;6;0;0;0;8;0;0;4;8;2;2;2;0;0;2;8;0;0;0;14;0;0;2;2;2;2;2;0;0;4;12;0;0;0;2;6;0;0;6;8;8;0;0;0;10
email;0;0;0;124;10;84;92;8;10;4;0;2;2;18;2;2;0;2;34;0;4;14;14;0;2;0;0;24;30;16;12;28;2;6;6;4;2;2;2;2;4;0;0;0;0;0;4;0;0;20;16;0;0;0;2;2;20;0;4;4;0;0;0;0;0;0;0;2;10;10;0;0;8;0;0;4;0;4;4;0;2;0;6;4;8;4;4;0;4;0;2;2;2;0;0;2;0;12;0;0
councillor_matlow@torontoca;0;0;0;0;8;84;88;8;10;4;0;2;0;18;0;2;0;2;36;0;4;14;14;0;2;0;0;24;32;16;14;30;2;6;6;4;2;2;2;2;4;0;0;0;0;0;2;0;0;20;16;0;0;0;2;2;22;0;4;4;0;0;0;0;0;0;0;0;10;10;0;0;8;0;0;4;0;0;4;0;2;0;6;4;8;4;4;0;4;0;2;2;2;0;0;2;0;12;0;0
health;0;0;0;0;0;10;8;56;10;14;18;8;2;8;28;12;12;8;2;10;8;6;4;4;4;2;6;4;0;2;0;0;8;4;12;0;24;2;4;20;0;0;10;4;0;2;8;6;4;0;4;4;4;4;0;2;2;8;6;2;2;8;4;0;4;6;2;10;0;2;6;4;4;0;0;4;4;4;2;6;8;8;6;10;6;4;4;4;0;2;2;0;0;0;0;0;2;0;6;0
feel;0;0;0;0;0;0;84;6;10;2;0;4;0;12;2;4;0;0;32;0;6;8;10;0;4;2;2;6;28;10;12;28;2;4;2;6;2;2;0;0;4;0;4;0;0;0;4;0;2;20;8;0;0;0;2;2;20;2;4;0;0;4;0;6;0;0;0;2;6;10;0;0;8;0;2;4;4;0;4;0;2;2;4;2;6;4;4;0;2;2;2;4;0;0;2;2;0;12;0;0
welcome;0;0;0;0;0;0;0;6;10;2;0;2;2;12;2;0;0;0;32;0;4;8;10;4;2;0;0;8;30;12;12;28;0;4;2;2;2;2;0;0;4;0;0;0;4;0;4;0;0;20;10;0;0;0;2;2;20;0;4;0;0;0;0;0;0;0;0;2;6;10;0;0;6;0;0;4;0;4;4;0;2;0;4;2;6;4;4;0;2;0;2;2;0;0;0;2;0;12;0;0
public;0;0;0;0;0;0;0;0;6;6;14;4;2;8;10;4;16;0;2;6;4;6;2;2;4;2;2;4;0;2;0;0;6;6;16;0;22;0;0;20;0;2;8;2;0;0;0;6;2;2;4;2;2;2;0;0;0;6;6;0;2;6;2;2;4;2;0;4;2;4;0;4;2;2;0;2;2;2;2;6;10;6;6;10;4;4;2;4;0;2;2;0;2;0;0;0;0;0;6;2
support;0;0;0;0;0;0;0;0;0;10;8;10;12;8;8;12;6;6;4;6;10;8;2;6;2;6;4;2;0;4;4;2;2;6;0;2;2;4;2;2;8;2;2;2;0;8;6;2;4;0;2;6;10;2;12;2;2;0;6;2;0;0;6;2;0;10;0;0;2;0;0;2;4;2;0;8;2;2;2;2;0;0;0;0;0;2;4;6;6;6;0;0;2;2;2;0;6;6;0;0
family;0;0;0;0;0;0;0;0;0;0;0;2;12;2;18;2;0;20;4;22;2;0;2;0;6;4;6;2;0;2;2;2;6;0;2;0;2;0;0;0;2;0;6;0;0;2;6;2;4;2;4;4;2;0;0;2;2;4;2;4;2;4;0;2;0;0;2;0;0;0;8;2;2;0;6;4;4;4;0;0;2;2;0;0;4;4;0;0;0;0;10;0;2;0;6;0;2;0;2;0
