;#americanidol;love;@lukebryanonline;tonight;new;performance;think;@lionelrichie;#shoesdaytuesday;live;#daisies;@kpcollections;@abcnetwork;tune;@americanidol;u;cant;hope;@;next;believe;people;season;forget;best;good;@vogueindia;#hollywoodweek;show;ive;week;3;voice;jan;thank;song;pt;someone;87c;10;incredible;seen;top;coming;proud;yes;anyone;et;favorite;music;night;may;ready;coast;heart;covid19;hollywood;year;happy;took;sometimes;episode;makes;put;ok;efforts;big;world;talent;light;link;talk;eyes;still;looks;home;video;vote;2020;seeing;gonna;watch;grandma;n;mean;aka;journey;little;give;items;wanna;wait;watching;bio;2;@ryanseacrest;continue;check;real;take
#americanidol;0;36;48;24;16;40;34;36;0;14;6;0;18;22;6;8;18;22;4;24;16;14;14;12;22;20;0;24;14;16;14;12;22;0;16;14;6;16;12;6;12;18;20;10;14;16;18;12;8;10;12;4;10;14;12;0;18;8;6;8;12;16;16;18;12;0;8;6;10;6;0;8;10;12;14;8;0;12;0;14;6;2;12;0;12;8;12;8;10;0;10;10;6;0;8;6;10;0;12;8
love;0;0;0;2;2;4;4;0;6;2;0;6;0;0;0;4;0;2;4;0;4;0;0;0;4;4;0;0;2;0;0;0;2;0;4;2;0;4;0;2;0;2;2;2;2;4;2;0;0;0;0;0;0;0;4;0;2;2;0;2;0;0;4;0;0;2;0;0;0;4;0;2;0;0;2;2;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0
@lukebryanonline;0;0;0;6;4;4;2;30;0;0;0;0;6;6;8;0;2;2;0;0;0;0;6;0;0;2;0;6;4;2;0;6;0;0;2;0;0;4;4;0;0;4;2;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;6;0;0;0;0;0;0;0;2;2;2;2;4;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;2;0;4;0
tonight;0;0;0;0;2;2;0;4;2;12;4;2;18;16;12;4;4;6;4;6;0;0;2;0;0;2;0;2;0;0;4;2;0;0;0;0;10;0;18;0;0;0;4;0;0;0;2;14;2;4;2;0;0;6;0;0;0;0;2;0;0;6;0;2;4;0;0;2;0;0;0;6;0;0;0;2;6;2;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;4;0;0;0;2;0
new;0;0;0;0;0;4;2;2;4;2;8;4;4;2;4;0;2;0;6;2;4;0;4;0;0;0;0;2;2;0;0;2;0;0;2;4;2;0;2;0;0;6;0;4;0;0;0;0;0;0;2;2;2;2;2;0;0;4;2;4;2;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;4;0;0
performance;0;0;0;0;0;0;2;4;0;4;10;0;2;6;2;2;2;2;0;0;0;0;2;0;4;2;0;0;0;4;2;2;0;0;0;2;4;2;2;0;2;6;2;0;2;2;0;2;4;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;0;4;0;0;0;2;4;0;2;0;0;2;2;0;0;2;2;2;2;2
think;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;2;0;0;2;2;0;4;0;2;2;0;6;0;4;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;2;8;0;4;0;0;2;2;0;0;0;4;0;0;2;0;6;4;2;0;0;2;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
@lionelrichie;0;0;0;0;0;0;0;0;0;0;0;0;4;4;6;0;2;2;0;0;2;0;6;0;2;0;0;6;4;4;0;6;0;0;4;4;0;0;2;0;0;4;2;2;2;0;4;0;0;2;0;0;2;0;0;0;4;2;2;0;2;2;0;2;0;0;0;0;0;0;0;4;2;0;0;6;0;2;0;2;0;0;4;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;0;4
#shoesdaytuesday;0;0;0;0;0;0;0;0;0;0;0;34;0;2;0;2;6;0;0;0;0;0;0;12;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;10;0;4;0;0;0;0;0;0;0;14;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;10;2;0;0;0;0;0;0;4;0;0
live;0;0;0;0;0;0;0;0;0;0;6;0;8;8;4;2;0;4;4;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;10;0;8;0;0;0;2;0;0;0;0;12;0;4;2;0;0;8;0;0;0;2;4;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0
#daisies;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;4;0;2;2;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;2;2;6;2;6;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;0;2;0;2;0;2;0;2;8;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
