;#americanidol;love;@lukebryanonline;@lionelrichie;think;performance;new;@americanidol;tonight;@vogueindia;#hollywoodweek;season;show;good;next;jan;@abcnetwork;cant;believe;voice;best;3;someone;#shoesdaytuesday;makes;incredible;song;thank;yes;ready;@kpcollections;hollywood;people;seen;anyone;put;eyes;ok;year;hope;talent;@;episode;heart;ive;tune;proud;coming;@ryanseacrest;looks;night;87c;n;grandma;wait;u;link;bio;still;real;music;omg;mean;big;2020story;everyone;leave;@cojustsam;else;theres;sometimes;week;happy;give;something;took;coast;great;might;actually;aint;light;contestants;watching;saw;sorry;lets;yall;talk;isnt;seeing;favorite;story;sing;gonna;@ohjonnywest;wrong;2020;@margiemaysmusic;aka
#americanidol;0;32;46;34;34;30;12;2;10;0;24;12;14;18;18;0;6;18;16;20;18;12;16;0;16;12;14;14;14;10;0;18;14;16;18;16;10;12;6;14;10;2;14;12;12;8;12;8;6;12;8;4;0;12;10;6;0;0;12;10;10;10;10;6;0;8;4;12;10;6;10;10;6;8;10;8;8;10;8;8;8;4;10;6;6;8;6;4;4;8;10;4;8;8;2;10;10;0;10;6
love;0;0;0;0;4;2;2;0;2;0;0;0;2;0;0;0;0;0;2;2;2;0;2;4;4;0;2;2;2;0;4;2;0;2;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;2;2;2;0;0;2;2;4;4;0;0;2;0;0;0;0;0;0
@lukebryanonline;0;0;0;26;2;4;4;6;6;0;6;6;4;2;0;0;6;2;0;0;0;6;4;0;0;0;0;2;2;2;0;0;0;4;0;6;2;0;2;2;0;0;2;0;2;6;0;2;2;2;0;4;0;0;2;0;0;0;2;4;2;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
@lionelrichie;0;0;0;0;2;4;2;4;4;0;6;6;4;0;0;0;4;2;2;0;2;6;0;0;0;0;4;4;0;2;0;4;0;4;4;2;2;0;2;2;0;0;2;0;4;4;2;2;2;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;4;0;0;2;0;2;0;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;0
think;0;0;0;0;0;2;0;2;0;0;6;2;0;2;2;0;2;2;2;2;2;2;2;0;4;0;0;0;2;2;0;4;0;2;8;2;0;0;0;0;0;0;6;0;4;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;4;0;0;2
performance;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;4;2;2;0;0;2;2;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;4;2;0;2;4;2;0;2;0;4;2;4;0;0;2;0;4;0;0;0;2;0;2;4;0;0;4;0;0;2;0;4;0;2;2;0;2;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
@americanidol;0;0;0;0;0;0;0;0;10;0;0;12;2;0;4;0;16;0;0;0;0;10;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;2;0;0;6;0;2;4;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;4;0;2;0;0;0;0;4;0;0;0;4;2;0;0;2;0;0;2;0;0;0;0;0
tonight;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;4;0;0;6;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0
@vogueindia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0
#hollywoodweek;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;6;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2
season;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;14;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
show;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;0;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
jan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0
@abcnetwork;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;8;0;4;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0
believe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;2;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0
voice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
someone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0
#shoesdaytuesday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
makes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
incredible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
