;todays;city;thank;toronto;support;#covid19;covid19;health;community;work;businesses;please;people;eblast;care;new;housing;police;help;public;residents;pandemic;call;full;#communitycare;goes;government;take;council;provincial;crisis;emergency;women;together;family;everyone;learn;budget;hard;workers;services;without;staff;motion;local;food;big;premier;shoutout;safe;important;streets;year;st;business;working;homelessness;commercial;information;federal;update;social;#stopcommericalevictions;love;@churchwellesley;province;service;policing;mayor;forward;violence;different;change;cant;distancing;program;ford;friends;statement;needs;@johntory;continue;physical;still;virtual;governments;living;great;10;communities;lives;give;video;#torcen;meeting;protect;@fordnation;torontos;happy;best
todays;0;18;20;20;18;12;20;6;28;12;8;24;6;66;24;12;4;4;18;8;10;2;6;24;28;36;6;8;6;4;6;4;0;4;2;8;24;2;2;6;4;4;2;4;6;6;8;0;26;12;4;2;0;6;6;6;0;2;10;4;18;2;0;0;0;6;4;0;2;4;6;0;0;0;4;4;0;8;12;2;0;2;6;2;4;0;0;8;0;2;4;0;2;2;2;6;0;6;4;0
city;0;0;4;36;8;14;10;6;8;6;0;8;18;10;2;16;14;10;4;8;12;2;2;6;2;4;6;8;38;8;8;12;0;4;2;6;6;12;4;4;4;4;16;12;4;4;6;0;2;8;8;2;4;4;0;4;8;0;6;12;2;0;0;2;0;6;6;4;6;8;0;4;4;0;4;2;0;2;2;4;8;4;2;8;12;10;2;2;4;2;0;4;0;0;14;0;0;12;2;4
thank;0;0;0;14;10;10;10;6;14;18;4;12;4;4;10;4;6;4;6;6;12;6;6;2;20;14;4;6;2;0;4;2;0;12;2;10;6;2;6;6;0;4;0;0;8;6;10;0;12;4;6;4;6;6;0;4;2;2;2;0;0;2;0;6;0;0;8;2;4;4;2;4;0;4;6;10;0;2;0;4;6;2;4;2;4;2;4;6;2;8;6;6;4;2;2;4;2;0;4;4
toronto;0;0;0;0;8;10;8;10;12;10;4;4;8;10;8;12;18;16;14;10;4;10;2;8;6;6;6;6;14;6;8;12;0;4;0;4;12;10;2;0;6;10;8;8;6;2;4;8;8;8;4;6;2;0;2;2;10;4;2;6;2;0;0;0;0;10;6;6;6;8;0;6;0;2;0;6;4;0;4;0;4;4;0;2;6;8;2;0;6;2;2;4;4;4;8;0;6;0;0;4
support;0;0;0;0;0;12;10;6;14;18;24;8;8;14;8;6;4;6;12;4;6;6;6;0;4;4;10;4;0;4;4;2;4;6;2;4;6;2;0;4;6;2;0;10;10;0;4;6;2;2;4;6;0;6;8;6;0;4;2;2;4;0;4;2;4;4;0;4;6;6;0;4;4;2;0;4;4;2;2;8;2;2;0;2;0;0;2;2;4;4;2;2;2;2;2;4;4;2;0;2
#covid19;0;0;0;0;0;0;0;16;12;6;4;8;10;6;12;6;8;0;8;10;6;4;6;0;0;0;0;8;0;2;6;4;4;2;4;0;6;0;10;4;8;0;2;2;6;4;2;8;0;6;10;6;4;2;6;2;2;0;2;0;10;2;0;0;2;4;2;2;0;4;2;6;4;4;4;0;4;2;2;6;0;0;4;6;0;2;6;2;2;6;0;2;0;0;2;4;2;6;2;4
covid19;0;0;0;0;0;0;0;10;6;16;10;10;6;12;4;10;4;2;4;4;6;4;0;6;6;4;10;4;2;6;10;4;0;10;0;2;6;2;2;2;4;10;4;2;8;0;4;2;4;4;4;2;0;4;6;2;4;8;6;4;4;2;4;0;2;0;2;0;0;0;2;0;4;0;4;2;0;4;2;2;0;4;2;6;0;2;2;2;2;6;0;0;0;4;2;6;0;6;0;4
health;0;0;0;0;0;0;0;0;2;4;4;8;4;6;12;4;10;4;0;24;2;4;2;0;2;2;0;8;0;6;10;4;0;2;4;0;0;2;6;4;6;2;8;4;0;2;0;6;0;4;6;0;4;0;0;0;2;2;6;0;4;8;2;0;0;0;0;0;2;2;2;2;4;4;2;2;4;4;2;2;2;2;2;4;0;2;2;0;4;0;4;0;0;0;0;2;0;2;0;2
community;0;0;0;0;0;0;0;0;0;10;6;6;6;6;18;8;4;6;2;6;6;2;2;4;10;22;2;0;2;0;0;2;4;2;2;0;6;4;2;6;8;2;0;4;6;12;2;2;18;2;4;0;2;4;6;4;0;0;4;0;2;4;0;0;0;2;10;4;0;6;4;4;0;2;0;4;0;4;2;0;2;0;0;2;0;2;0;0;2;4;2;0;2;4;4;2;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;4;10;6;8;10;4;8;2;4;0;6;6;0;2;8;4;8;6;2;6;6;4;4;12;2;2;2;2;8;8;6;10;2;4;6;4;8;2;6;0;0;4;0;6;2;10;8;2;2;6;2;4;0;2;2;2;6;0;0;6;0;2;2;4;0;4;2;4;2;4;2;8;0;2;0;8;4;4;0;0;2;4;0;0;0;6;6;0;0;6
businesses;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;2;0;0;12;0;4;6;4;2;2;4;6;0;0;8;0;4;0;6;0;2;2;0;0;0;4;6;0;0;14;0;0;10;0;2;6;12;2;2;10;4;0;10;0;2;2;2;18;0;6;2;0;0;0;2;0;4;0;2;0;0;8;0;4;6;2;0;0;4;0;2;0;0;0;0;0;2;0;12;0;6;4;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;2;4;2;2;6;6;4;8;16;0;0;6;10;2;2;4;2;0;2;2;4;8;2;10;2;6;4;4;4;4;0;2;2;0;8;0;0;0;0;2;4;2;0;6;2;8;6;2;0;0;6;2;2;4;2;4;6;0;4;8;0;0;6;6;0;0;0;4;0;0;2;0;2;0;4;2;0;4;0;0;8;2;0;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;10;2;8;2;6;4;0;0;2;2;6;4;4;2;4;6;4;2;4;2;2;2;10;2;4;2;6;4;2;2;8;4;2;0;8;8;4;4;2;4;6;0;4;2;0;6;0;0;0;2;0;2;4;6;4;2;6;0;4;2;2;2;0;0;2;0;4;2;0;0;10;2;4;2;6;4;0;0;4;0;6;2;2;2
eblast;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;4;6;2;2;20;0;0;6;4;4;4;4;4;0;2;4;6;14;2;2;2;2;2;2;4;6;2;2;0;0;10;6;2;0;0;4;6;0;2;4;4;6;2;0;0;0;6;0;0;0;2;2;0;0;2;4;2;0;2;14;2;0;2;6;2;2;0;0;6;0;0;0;0;0;0;2;6;0;4;4;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;6;6;6;2;0;4;14;0;16;0;0;6;4;4;2;6;0;8;0;6;10;2;2;0;0;0;6;0;0;14;2;0;0;0;2;2;4;0;0;4;0;4;4;0;6;0;0;0;0;0;0;2;0;2;2;0;0;0;4;2;0;0;0;0;0;0;2;2;0;0;2;4;0;2;2;0;4;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;4;6;2;0;4;4;4;4;2;6;4;2;0;0;6;4;6;4;2;4;0;2;4;4;2;0;0;2;4;2;6;4;2;2;8;0;0;2;0;0;4;2;0;0;0;2;0;6;0;4;4;0;4;2;4;0;0;4;2;0;0;4;2;0;4;0;2;2;0;2;2;0;0;4;4;2;0;4;4;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;4;0;6;2;2;8;2;2;10;12;4;2;4;2;0;4;2;2;0;4;14;6;0;0;4;2;4;2;0;8;0;0;0;0;2;14;2;2;2;4;2;0;0;0;2;4;2;2;0;0;2;2;4;0;4;2;0;2;2;2;0;0;2;2;4;10;0;2;0;2;0;0;2;6;0;6;2;2;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;6;6;0;0;2;2;2;2;4;0;0;0;2;0;2;24;2;0;2;0;2;12;0;0;2;0;0;2;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;2;8;12;6;2;2;4;4;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;12;4;0;0;2;2;4;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;8;8;4;2;0;2;6;4;2;2;2;4;0;0;0;0;4;0;2;2;8;0;0;10;2;4;6;2;0;2;8;2;0;0;4;0;4;4;4;0;0;6;2;0;0;2;4;2;0;0;2;0;6;2;0;0;0;2;0;0;0;0;0;2;0;4;4;2;0;0;0;2;12;4;2;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;4;2;6;4;2;0;2;2;0;2;2;4;2;2;4;4;2;0;0;2;2;4;4;6;0;2;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;4;0;2;0;0;4;0;2;4;4;0;0;0;2;2;0;0;0;0;2;0;2;0;2;0;2
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;4;2;0;0;0;2;6;4;4;6;4;0;4;2;4;2;2;0;0;2;2;2;0;6;4;0;2;2;2;0;0;2;0;0;0;6;2;0;0;2;0;2;4;0;2;0;0;0;0;4;2;2;2;2;2;0;2;0;2;0;4;10;0;2;2;0;0;2;0;4
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;2;4;4;4;6;6;0;2;2;0;0;2;6;2;0;2;0;2;0;0;0;4;0;0;0;2;2;0;6;2;2;2;0;2;2;0;2;4;0;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;2;2;0;0;4;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;0;6;2;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;6;2;2;0;2;0;2;4;2;2;2;2;6;2;2;4;0;4;6;2;4;6;0;2;0;0;0;4;0;2;2;0;4;6;2;4;0;2;2;0;0;2;0;0;2;0;2;0;0;2;2;2;0
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;2;2;2;2;0;0;2;0;0;0;0;2;0;0;2;4;2;0;0;0;4;0;0;2;0;14;0;0;0;0;0;6;0;0;0;2;0;0;0;0;4;0;2;14;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;2;0
#communitycare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;2;0;0;2;0;0;4;2;0;4;0;0;4;4;2;0;0;2;4;8;0;20;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;6;0;6;0;0;0;2;0;0;0;0;2;2;0;2;2;0;4;2;0;0;0;0;0;0
goes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;4;0;2;2;2;2;0;0;2;6;2;0;26;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;4;2;0;0;0;4;0;8;0;0;0;0;0;2;0;0;0;2;0;4;4;0;2;2;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;4;2;0;4;0;0;0;2;6;4;0;6;2;0;4;0;2;6;0;0;0;2;0;0;6;2;4;4;2;12;0;0;10;0;6;4;2;2;4;2;0;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0;0;4;2;0;2;2;0;0;0;2;2;4;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;4;0;0;6;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;2;0;2;4;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;2
council;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;0;6;2;2;2;2;0;2;2;6;0;0;4;0;0;0;0;0;2;0;0;0;4;0;0;6;0;0;0;0;0;2;0;2;4;2;0;0;2;0;0;2;0;0;0;0;10;2;0;2;8;6;0;0;0;0;0;0;0;0;12;0;0;4;0;2
