;love;watch;#illbegoneinthedark;oh;thank;everyone;man;wow;happy;cant;hope;fun;yes;donald;fuck;good;think;show;sorry;beautiful;please;king;@jdscholten;thread;gonna;help;wait;god;guy;gotta;tune;dumb;white;#poorpeoplescampaign;goes;film;speech;take;ive;die;@lizgarbus;amazing;guys;gets;hate;genius;listen;cough;watches;falling;steve;episode;people;cornfeld;#ia04;june;give;pass;shit;rally;stuart;friend;probably;reverend;@theandyharris;another;@sarahcpr;needed;yeah;longer;doctor;thing;saw;movies;sunday;lets;ha;fathers;times;mean;@hbo;hilarious;donalds;heard;ray;family;staten;dark;jd;killed;captain;28th;finally;paperback;tweet;deleted;safe;island;@davidcrosss;idiots
love;0;2;0;4;0;0;6;0;0;2;2;0;0;0;0;2;2;2;0;2;2;0;0;4;0;0;2;4;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0
watch;0;0;0;4;2;4;2;0;2;2;4;0;0;0;0;2;0;2;0;2;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
#illbegoneinthedark;0;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oh;0;0;0;0;0;0;6;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;2;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
thank;0;0;0;0;0;6;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;4;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0
man;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
wow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
happy;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
