;thank;donald;oh;god;good;great;@meredthsalenger;love;man;please;everyone;watch;gonna;@bettercallsaul;alice;hes;wow;people;thread;cant;movie;@rheaseehorn;twitter;new;trump;still;thanks;amazing;yes;@richardmarx;story;best;aw;hope;song;1;film;take;show;free;fun;theres;lets;mean;bad;check;pandemic;covid19;thing;evil;@kanopy;finally;watching;end;fucking;yeah;person;asked;give;wait;something;anyone;hilarious;tune;ha;president;big;episode;help;happy;home;think;shes;weird;kits;dude;scene;reason;isnt;makes;put;gotta;jack;goddamn;special;coming;safe;goddamit;fantastic;fan;youtube;cards;heres;yup;meredith;eh;live;seen;@stephenathome;social
thank;0;8;6;6;6;6;0;2;6;6;6;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;2;8;0;2;0;2;4;0;0;0;4;0;0;2;2;2;2;0;0;0;4;2;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;6;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;2;0;4;0;0;2;0;0;8;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0
oh;0;0;0;22;4;0;0;2;6;0;6;0;0;4;0;4;2;0;4;2;2;2;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0
god;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
good;0;0;0;0;0;2;2;0;0;2;0;6;0;2;2;0;2;4;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;2;4;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
great;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;2;0;2;0;2;4;0;2;2;0;0;0;6;0;2;2;0;4;2;2;4;4;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
@meredthsalenger;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0
love;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;6;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;4;2;0;4;0;4;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
