;great;thank;people;news;fake;big;democrats;president;job;country;complete;trump;states;military;endorsement;house;@foxnews;joe;strong;new;state;good;american;media;china;america;coronavirus;mike;democrat;vets;history;republican;impeachment;left;win;united;white;hoax;party;working;vote;amendment;border;hard;work;help;federal;world;radical;congress;usa;bernie;nothing;dems;bad;second;national;crime;do_nothing;sleepy;mini;congressman;crazy;corrupt;#maga;election;russia;incredible;biden;order;night;law;money;jobs;numbers;love;testing;new_york;best;senate;senator;together;lamestream;totally;police;republicans;john;governor;court;important;political;loves;tonight;conference;government;administration;wrong;ventilators;congratulations;@foxandfriends
great;0;132;132;82;48;92;48;58;154;82;96;40;38;118;100;28;30;24;84;76;124;44;62;20;34;84;54;28;36;100;30;50;38;32;44;22;16;30;20;38;48;52;50;34;36;50;26;24;24;46;36;10;20;22;20;32;42;48;26;10;6;46;12;12;50;12;8;42;14;22;26;20;12;32;24;30;26;22;24;28;56;22;8;16;16;24;12;26;30;22;14;54;16;6;12;12;8;22;38;10
thank;0;0;38;44;18;20;12;30;32;28;10;26;18;12;10;50;14;16;16;18;16;4;24;4;14;12;16;12;6;2;14;50;8;6;16;16;48;12;42;22;8;2;6;16;20;16;14;6;8;4;4;2;2;8;8;0;12;8;4;12;4;2;2;10;32;2;6;6;8;6;12;6;2;6;16;18;0;6;8;8;4;12;4;6;10;4;6;6;8;2;6;4;14;44;8;10;4;4;4;14
people;0;0;0;48;54;36;38;36;34;44;64;18;20;48;66;12;18;36;46;24;34;22;40;32;24;24;22;16;10;50;10;18;20;18;14;18;6;22;8;30;18;38;32;22;34;24;16;18;16;22;26;8;20;4;12;36;8;16;18;16;10;40;12;18;20;18;2;44;12;4;20;12;16;8;16;20;4;8;8;14;28;14;26;18;4;22;4;12;8;16;14;20;2;4;14;10;8;6;2;10
news;0;0;0;0;306;40;24;24;20;24;0;22;22;2;2;64;16;12;10;20;10;38;12;94;30;12;34;8;24;0;16;8;4;24;14;14;62;8;18;16;0;0;6;14;12;4;8;10;20;6;14;2;14;14;26;0;4;2;20;6;8;2;12;38;4;8;10;4;8;14;20;4;0;8;18;2;10;20;4;2;4;10;48;22;2;4;0;10;6;4;4;2;8;58;6;4;14;4;4;4
fake;0;0;0;0;0;20;34;26;18;28;0;12;12;8;4;14;16;14;8;12;8;26;8;94;32;6;24;10;24;6;10;8;12;18;16;8;12;18;16;12;0;0;2;10;10;4;6;6;14;2;12;4;18;16;26;2;4;0;24;10;10;0;10;42;4;8;14;6;6;14;14;2;2;8;14;4;10;20;4;0;2;6;48;22;0;4;2;8;4;0;2;2;4;4;6;2;12;4;2;2
big;0;0;0;0;0;0;20;16;12;26;26;18;20;12;28;10;12;12;22;24;20;12;8;16;6;12;12;4;18;10;10;24;10;16;50;8;4;6;20;6;24;18;14;16;8;20;14;6;12;8;18;4;12;12;8;16;2;24;8;6;0;6;6;0;14;6;8;2;4;8;10;12;10;18;4;6;4;2;8;10;6;6;4;8;4;8;8;6;16;2;4;12;18;2;4;4;6;0;26;2
democrats;0;0;0;0;0;0;0;30;14;16;6;24;8;8;0;30;20;22;0;20;18;8;16;20;14;8;14;4;16;2;14;24;48;76;28;2;4;48;28;8;10;6;6;14;14;10;2;4;72;12;8;22;14;30;18;4;0;14;100;12;2;0;30;8;0;16;20;4;12;12;0;14;12;8;4;4;2;4;6;26;10;10;16;16;16;28;4;2;8;6;10;2;6;0;2;6;14;2;2;8
president;0;0;0;0;0;0;0;0;24;26;2;72;30;6;2;20;36;22;10;14;8;8;16;26;28;4;30;10;12;2;28;12;30;12;4;28;10;16;14;20;6;0;12;18;12;8;4;6;10;16;6;6;14;10;4;2;10;14;10;8;6;4;8;16;8;4;8;0;14;4;10;10;2;8;8;0;4;2;8;10;10;14;6;18;6;6;2;2;8;4;16;2;2;0;4;6;6;14;6;12
job;0;0;0;0;0;0;0;0;0;18;38;14;20;24;38;24;12;6;20;4;10;22;6;12;8;4;32;6;8;24;8;8;4;18;4;10;16;6;2;16;4;20;10;10;10;12;10;10;12;12;2;0;6;8;16;20;20;14;10;0;0;26;4;6;20;4;2;16;6;2;16;6;4;2;10;6;18;4;4;8;6;8;6;6;14;0;4;12;4;8;8;10;0;2;6;8;0;16;12;8
country;0;0;0;0;0;0;0;0;0;0;18;10;16;20;16;8;12;14;24;14;14;18;10;14;28;10;6;6;2;20;24;6;8;14;10;14;2;6;2;12;10;10;10;12;10;8;4;28;12;8;12;0;4;14;14;10;10;12;6;6;2;16;2;6;10;6;4;4;2;10;2;2;2;4;8;20;20;4;14;8;8;4;8;2;8;2;2;4;2;2;8;8;8;0;6;4;4;8;2;0
