;great;thank;president;trump;democrats;fake;mini;hoax;impeachment;news;mike;bernie;people;big;new;@foxnews;military;democrat;republican;party;state;america;iowa;strong;endorsement;country;crazy;mueller;vets;#maga;russia;congress;vote;complete;win;good;dems;history;border;states;do_nothing;campaign;carolina;nothing;house;coronavirus;#2a;working;help;wonderful;job;china;tonight;witch;bad;money;usa;loves;united;hampshire;bloomberg;supports;best;everyone;debate;corrupt;agenda;south;jobs;record;american;scam;trial;rally;polls;john;debates;congratulations;countries;place;night;texas;@cnn;senator;judge;think;#kag2020;totally;honor;hope;numbers;election;economy;wall;sanders;deal;senate;stop;phony;crime
great;0;22;18;12;10;4;6;18;18;10;6;4;18;16;16;8;28;8;14;6;38;26;10;22;28;14;8;0;26;20;4;12;12;24;8;6;4;10;18;2;6;6;16;2;6;8;18;4;6;6;14;6;6;2;2;2;10;14;0;6;2;16;8;6;2;4;18;12;4;6;4;0;0;10;2;2;2;10;2;8;2;16;4;12;0;2;4;6;10;6;8;4;4;8;2;2;4;2;4;10
thank;0;0;6;6;2;2;2;4;4;2;4;0;0;4;4;4;2;4;10;10;8;2;6;6;2;14;0;2;2;8;0;0;6;2;4;0;4;4;2;4;0;0;6;0;4;4;0;6;6;4;6;2;6;0;0;0;2;2;2;2;0;0;4;2;0;2;2;6;0;8;4;2;0;2;0;6;0;2;2;2;0;4;0;0;0;0;10;2;6;2;8;0;2;2;0;2;2;0;0;2
president;0;0;0;18;12;6;2;6;10;4;2;6;14;2;8;6;0;6;2;6;4;0;6;2;0;8;4;2;0;2;2;2;2;0;2;2;2;6;2;2;6;0;0;8;2;8;0;4;4;0;8;8;0;0;0;0;0;0;0;4;2;0;4;2;2;4;0;0;2;4;4;4;8;0;0;0;0;4;4;6;2;0;6;6;4;6;0;6;0;4;4;0;0;0;4;2;4;2;0;0
trump;0;0;0;0;8;6;8;2;6;6;8;4;2;6;0;12;0;4;0;0;2;4;2;0;0;2;4;2;0;0;2;0;0;0;0;0;2;2;2;2;4;4;2;2;0;4;0;6;4;0;4;2;2;2;0;0;2;0;2;0;6;0;4;0;2;4;0;2;2;0;0;4;2;2;2;0;2;0;2;4;6;0;4;2;2;4;0;2;2;4;6;2;2;2;4;0;4;0;2;0
democrats;0;0;0;0;0;0;2;16;10;0;2;12;10;2;4;6;2;6;10;8;6;0;8;0;0;2;10;4;2;0;10;4;2;2;8;0;8;2;4;0;20;2;0;2;4;6;0;0;4;0;2;2;0;2;8;2;0;0;0;0;2;0;2;0;0;4;0;0;2;2;2;4;0;0;2;0;0;0;2;0;0;0;0;4;0;0;2;4;0;0;0;2;4;2;6;0;6;2;0;0
fake;0;0;0;0;0;0;6;8;6;34;6;2;2;8;8;4;6;6;0;4;2;0;2;2;0;0;4;12;6;2;2;0;0;0;6;2;2;2;2;4;2;2;0;2;0;0;0;2;0;2;0;0;2;8;4;0;4;0;0;8;2;0;0;0;2;4;0;0;6;2;0;10;0;2;2;0;2;2;0;2;2;0;12;0;0;2;0;2;0;4;4;2;6;2;0;0;0;2;4;0
mini;0;0;0;0;0;0;0;0;0;8;46;10;2;0;0;2;0;10;0;2;2;2;2;0;0;2;10;0;0;0;0;0;2;2;0;6;4;8;0;0;0;6;0;4;0;0;0;2;0;0;0;0;2;0;4;8;0;0;0;0;16;0;0;0;20;2;0;0;0;0;0;0;0;0;0;0;12;2;0;4;12;0;2;2;0;2;0;0;0;2;0;2;0;0;2;0;0;4;2;0
hoax;0;0;0;0;0;0;0;0;42;0;0;2;14;0;0;2;6;8;16;10;2;0;4;0;0;0;6;8;6;0;2;2;6;0;2;6;10;2;2;0;16;6;2;2;8;4;0;0;0;0;0;0;2;6;6;0;0;0;0;0;0;0;0;0;0;6;0;0;6;2;4;8;0;0;2;0;0;0;0;0;0;0;0;12;0;0;0;6;0;2;4;4;6;0;2;0;6;0;4;2
impeachment;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;4;8;4;14;8;2;0;4;2;2;0;4;6;8;0;0;2;8;2;2;6;6;2;0;0;10;2;2;2;8;2;2;0;0;0;0;0;2;6;2;0;0;2;0;2;0;0;0;0;0;6;0;0;6;2;4;6;4;0;2;0;0;0;0;0;0;0;0;12;0;0;0;6;0;2;4;4;8;0;0;0;8;0;4;4
news;0;0;0;0;0;0;0;0;0;0;8;0;2;12;8;6;0;6;0;2;2;2;2;2;0;0;2;0;0;2;0;0;0;0;4;4;2;2;2;6;2;2;0;2;2;0;0;2;0;2;0;0;2;2;2;0;4;0;0;8;4;0;0;0;2;6;0;0;2;2;0;0;0;2;2;0;2;2;0;2;2;0;10;0;0;2;2;0;0;2;4;2;0;2;0;0;0;2;2;0
