;great;democrats;thank_you;president;foxnews;house;iran;people;american;big;party;impeachment;senate;democrat;impeachment_hoax;military;trump;usa;schiff;republican;do_nothing_democrats;history;strong;best;congress;dems;election;shifty;crime;republicans;left;state;country;job;win;radical;another;trade;united;economy;china;world;america;unfair;high;states;ukraine;nancy;working;trial;record;transcripts;foxandfriends;corrupt;deal;case;good;fake_news;partisan;hoax;dollars;john;bernie;witnesses;jobs;hard;money;court;vote;numbers;texas;cryin_chuck;media;totally;aid;wall;national;americans;soleimani;endorsement;killed;iranian;federal;border;hit;question;future;crazy;political;love;pelosi;witch_hunt;away;give;terrible;tonight;work;vets;watch;leader
great;0;6;12;12;6;4;6;20;6;16;4;8;6;4;6;16;2;8;2;6;6;8;16;8;2;2;0;2;10;6;2;16;20;12;10;4;6;12;2;8;10;4;8;0;0;2;0;6;10;0;6;0;4;0;4;4;4;2;4;4;2;2;0;2;4;2;0;8;6;6;14;4;2;0;0;4;4;0;0;14;4;4;10;10;2;4;4;0;4;4;2;0;4;0;2;4;2;12;2;2
democrats;0;0;4;6;6;10;2;4;8;2;8;12;12;4;10;6;6;2;4;8;2;0;0;0;0;6;2;4;8;12;4;4;4;4;4;2;2;2;0;4;0;0;2;4;6;2;12;0;0;8;0;4;2;0;0;2;0;2;6;4;0;2;2;6;2;4;2;0;4;0;0;2;2;4;6;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;4;0;0;2;0;6;0
thank_you;0;0;0;4;0;2;0;4;0;4;12;0;2;0;2;0;4;0;0;12;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2
president;0;0;0;0;16;8;0;4;4;0;0;10;4;2;4;2;14;4;4;2;0;4;0;2;12;2;2;4;4;0;0;2;6;2;0;0;6;2;6;2;6;2;2;2;0;6;4;2;6;2;2;2;2;4;2;6;0;2;6;2;2;0;0;2;0;2;0;2;2;0;0;0;2;6;0;2;2;0;2;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;4;0;2;2
foxnews;0;0;0;0;0;6;2;2;2;6;2;14;2;2;4;0;8;0;2;0;2;0;0;4;0;2;6;2;4;2;4;2;4;2;0;4;2;2;4;0;2;0;0;0;0;4;4;4;0;0;2;0;0;2;0;4;0;4;4;2;6;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;4;2;0;2;0;8;2;0;2;2
house;0;0;0;0;0;0;2;2;2;0;0;4;22;10;4;0;0;0;4;6;6;10;0;2;10;12;2;4;0;10;2;0;2;6;4;2;8;0;0;0;0;0;2;10;0;0;4;6;0;2;0;2;0;6;0;2;0;0;6;6;0;4;0;6;0;0;0;2;6;0;0;6;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;2;0;2;0
iran;0;0;0;0;0;0;0;14;8;0;0;0;0;0;0;4;2;8;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;2;0;12;2;0;12;2;0;2;10;0;0;0;0;0;0;2;0;2;0;2;0;0;0;6;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;2;0;6;10;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4
people;0;0;0;0;0;0;0;0;10;2;2;0;6;0;4;2;0;4;2;2;2;4;4;2;2;0;0;2;2;2;0;6;2;2;0;0;2;0;6;4;4;6;0;2;0;6;2;2;4;2;2;0;4;2;0;0;4;0;0;2;2;0;0;0;2;2;0;2;0;2;4;4;0;0;0;0;0;2;2;2;8;4;4;2;0;0;0;0;0;2;0;2;0;2;0;2;4;2;0;4
american;0;0;0;0;0;0;0;0;0;2;6;0;4;0;4;4;2;4;2;6;2;4;0;6;2;0;2;2;6;2;0;0;0;0;2;2;0;2;4;0;2;4;4;2;8;4;0;2;4;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;6;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4
big;0;0;0;0;0;0;0;0;0;0;4;2;0;4;2;0;2;4;4;2;4;2;0;0;0;2;0;4;0;2;4;2;0;2;10;4;2;4;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;6;2;0;0;0;0;2;0;2;6;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;2;2;24;0;0;2;2;0;0;0;2;6;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;8;0;0;2;2;0;8;0;0;0;0;2;2;2;2;0;0;0;2;0;4;2;0;2;2;2;0;2;0;0;0;0;0;4;0;0;0;0;4;0;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;2
impeachment;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;6;2;2;0;4;2;0;0;2;6;0;2;4;4;4;2;4;0;0;4;4;0;0;2;0;0;0;4;0;2;4;2;0;8;0;4;6;2;0;6;0;0;4;12;2;0;0;0;0;2;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;4;0;6;0;0;0;0;2;4;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;0;0;4;4;4;6;0;0;4;4;2;4;2;6;2;2;0;4;2;2;8;0;0;0;0;0;0;4;0;2;2;4;0;6;0;2;2;4;0;4;0;0;6;4;0;4;0;6;0;0;0;0;2;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;4;0;0;2;0;2;0
democrat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;8;0;2;4;0;0;2;0;4;4;2;2;4;0;0;2;2;2;2;0;2;0;0;0;2;0;0;0;4;6;2;0;4;0;2;0;2;0;6;4;0;0;2;4;2;2;8;2;0;8;0;0;4;4;0;0;0;0;2;4;0;0;0;4;0;2;2;4;6;2;0;2;2;4;2;2;2;0;0;0;2
impeachment_hoax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;10;0;4;0;2;6;8;2;2;6;6;0;0;2;0;6;4;0;0;0;0;0;2;2;0;0;0;4;0;6;0;6;2;2;0;2;0;0;10;0;0;0;2;2;0;0;0;0;6;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;4;0;6;2;2;2;0;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;12;4;0;0;0;0;10;0;2;4;2;8;0;0;0;2;4;8;0;6;2;0;0;4;2;0;2;0;2;0;0;0;2;2;4;2;0;2;2;2;0;2;0;2;2;2;0;0;10;0;0;0;2;0;0;0;2;12;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;2
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;4;0;0;0;0;2;0;2;0;0;2;4;0;0;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;4;2;2;0;2;0;0;0;0;2;2;4;2;0;4;0;0;0;0;0;0;0;0;0;0;2
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;6;4;4;0;0;4;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;2;2;0;0;4;4;2;0;0;2;0;0;0;0;0;0;0;0;0;2;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
schiff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;8;0;0;26;0;2;4;2;2;2;0;4;0;2;0;0;0;2;0;4;0;0;4;10;0;2;0;2;4;14;0;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;2;2;4;4;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;8;0;0;0;2;0;8;0;0;2;0;0;0;0;4;0;0;0;0;2;4;2;0;2;6;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0
do_nothing_democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;6;6;4;4;0;2;22;0;2;6;0;20;2;0;0;2;0;0;2;6;0;0;0;4;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;2;0;0;4;2;0;2;0;2;4;0;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;6;0;4;0;0;6;0;4;4;0;6;0;4;0;2;2;2;4;12;0;0;0;6;0;2;0;0;0;4;2;2;4;0;0;2;2;0;0;4;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;4;2;0;4;0;0;0;0;0;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;10;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;4;0;0;0;0;12;0;4;0;0;0;0;0;4;12;0;0;0;8;0;0;6;2;0;0;0;2;0;0;0;2;0;12;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;2;2;2;6;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;0;0;4;0;0;4;0;4;2;0;2;0;0;2;2;10;0;2;0;8;0;2;0;0;2;6;0;2;0;2;4;2;0;0;0;2;0;0;0;0;2;0;0;2;2;6;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;4;2;2;2;0;0;0;0;0;0
dems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;4;0;0;2;8;4;4;0;0;0;0;0;2;8;0;0;0;0;0;2;0;6;2;0;0;2;0;0;4;4;0;0;2;4;0;0;0;2;4;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;4;2;2;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
