;great;people;thank;news;big;fake;joe;job;china;country;state;complete;military;endorsement;trump;media;sleepy;vets;tom;states;good;history;transit;bad;new;president;american;amendment;help;world;vote;obama;national;work;second;pennsylvania;coronavirus;house;lamestream;border;united;federal;congressman;incredible;mike;republican;democrats;crazy;political;night;usa;election;obamagate;ballots;love;win;testing;left;greatest;proud;wisconsin;lost;coming;tonight;governor;george;democrat;russia;caught;white;administration;america;together;totally;congress;important;dems;case;farmers;@usdot;minneapolis;tiffany;guy;socalled;trying;twitter;crime;biden;cold;supports;@greggjarrett;republicans;guard;funding;corrupt;strongly;@foxnews;#maga;party;john
great;0;34;18;18;12;12;6;40;8;6;20;6;22;6;14;4;4;20;14;6;12;4;8;8;16;2;10;10;14;8;10;2;16;2;4;4;8;2;6;4;2;6;8;10;12;8;10;2;4;12;10;4;2;8;10;6;14;6;2;4;14;4;2;2;8;4;16;0;0;2;2;14;4;4;10;4;8;0;12;6;12;14;8;2;0;0;2;2;0;8;0;6;12;2;2;2;8;2;2;2
people;0;0;4;16;16;16;8;8;14;8;12;10;16;10;2;12;4;16;10;4;6;2;14;6;8;4;6;8;16;2;2;4;6;12;8;8;6;0;12;6;4;8;6;14;0;4;4;4;6;2;8;6;0;4;8;6;4;0;2;6;10;4;8;0;6;0;4;0;4;0;2;8;6;8;12;4;0;2;6;10;2;8;2;2;2;2;0;2;6;14;0;6;2;10;6;10;4;2;0;0
thank;0;0;0;4;4;2;10;6;4;2;2;0;6;0;6;2;8;0;0;6;2;8;0;6;8;6;4;0;2;2;0;2;4;6;0;2;0;2;2;4;6;4;0;0;2;10;2;0;6;6;0;0;4;2;4;6;0;4;8;0;2;0;2;2;2;4;0;2;2;2;4;0;2;2;0;2;2;2;2;0;2;0;0;0;4;4;6;6;2;0;2;0;2;0;0;2;2;10;8;0
news;0;0;0;0;12;64;4;4;10;10;2;0;0;0;2;18;4;0;2;8;8;6;4;8;4;4;2;0;2;2;0;2;2;6;0;0;4;2;18;2;8;2;2;0;0;4;8;2;4;0;6;4;4;4;2;6;4;4;4;2;2;0;4;2;0;2;0;4;0;2;2;2;2;6;0;0;4;2;2;0;0;2;2;0;6;2;2;4;2;0;2;0;0;2;6;4;0;0;6;0
big;0;0;0;0;0;4;2;4;2;10;6;6;2;6;2;6;0;2;12;6;6;4;6;6;4;4;2;8;6;2;10;2;2;2;6;0;4;4;4;10;4;6;2;0;4;8;6;2;4;0;6;2;2;2;4;12;0;6;4;0;14;6;4;4;2;2;4;2;4;2;4;0;4;4;2;0;2;2;0;2;0;10;0;6;2;4;10;2;2;0;2;2;0;0;0;2;0;0;6;6
fake;0;0;0;0;0;0;2;2;8;12;0;0;0;0;0;16;4;0;0;2;6;4;0;8;0;2;0;0;2;0;0;0;2;4;0;0;2;0;16;0;2;0;0;0;0;4;8;2;2;0;4;4;2;2;2;4;4;4;2;2;0;0;2;2;0;0;0;4;0;0;0;2;0;4;0;0;6;0;0;0;0;0;2;0;4;0;0;2;0;2;0;2;0;0;6;0;2;0;4;0
joe;0;0;0;0;0;0;0;4;10;2;6;2;2;0;12;4;36;0;0;4;0;6;0;10;6;6;4;0;0;4;2;4;4;2;0;2;2;4;4;2;4;2;0;0;0;4;4;8;2;2;2;2;4;2;0;10;0;4;2;0;0;0;6;2;0;2;2;2;0;4;6;2;2;2;2;0;4;16;0;0;2;0;0;2;2;2;2;16;16;0;2;0;4;0;4;2;2;0;8;0
job;0;0;0;0;0;0;0;0;2;2;2;4;2;4;6;2;0;6;2;8;6;4;2;8;0;4;2;8;6;2;0;2;10;0;6;0;4;4;2;2;4;4;6;0;2;2;0;0;6;12;0;2;2;0;0;0;4;8;4;4;2;2;0;0;0;0;4;0;0;4;0;0;4;2;6;4;2;2;2;0;8;2;2;2;2;0;2;2;2;6;0;0;10;2;2;6;2;4;0;2
china;0;0;0;0;0;0;0;0;0;12;0;0;0;0;4;4;6;0;0;12;4;2;0;8;4;6;4;0;2;14;0;2;0;2;0;0;6;2;4;4;14;0;0;0;0;0;6;4;6;0;6;0;2;2;0;4;2;6;2;0;0;6;4;2;0;2;2;4;0;2;2;0;4;2;2;0;0;2;0;0;0;0;0;2;8;4;2;8;2;0;2;2;0;0;0;2;0;0;4;0
country;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;6;0;4;0;6;4;6;0;4;2;2;2;4;0;12;4;2;0;2;4;2;0;6;4;2;8;0;4;2;2;2;6;2;6;0;4;0;2;4;4;6;4;4;6;0;0;0;6;6;0;2;0;2;2;2;2;0;2;2;2;0;4;2;2;0;0;0;0;2;4;2;4;2;2;4;2;0;0;0;0;4;2;2;2;0
