kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
new,11,family,8,people,16,covid19,24,health,10,police,8,new,51
state,7,work,7,city,15,support,14,people,10,new,8,people,50
big,7,great,6,covid19,13,health,14,new,9,justice,6,covid19,49
help,6,end,6,together,10,workers,12,covid19,9,country,6,city,45
people,6,ontario,5,safe,10,new,12,state,8,city,6,state,38
residents,6,thank,5,working,9,#covid19,10,care,8,hard,5,thank,35
great,6,important,4,home,9,city,10,#covid19,8,residents,5,support,34
war,5,state,4,state,9,thank,9,week,8,nation,5,health,33
call,5,stop,4,stay,9,care,9,may,8,americans,5,help,31
thank,5,energy,4,#covid19,8,toronto,9,thank,8,support,5,care,29
community,5,people,4,new,8,people,9,safe,7,learn,5,community,29
work,5,congress,4,help,8,continue,8,live,7,businesses,5,safe,28
future,5,support,4,live,8,home,8,across,7,people,5,work,27
city,5,community,4,care,7,community,8,lives,7,economic,4,live,27
programs,4,happy,3,response,7,response,8,help,6,program,4,#covid19,27
members,4,safe,3,spread,6,work,7,community,6,childcare,4,home,27
todays,4,vote,3,protect,6,state,7,city,6,pandemic,4,great,27
forward,4,take,3,coronavirus,6,working,7,emergency,6,@topublichealth,4,working,24
everyone,4,proud,3,support,5,businesses,7,tomorrow,5,may,4,across,23
invest,4,live,3,believe,5,public,7,continue,5,russia,4,together,23
continue,4,100,3,information,5,across,6,lost,5,great,4,businesses,23
president,4,city,3,save,5,help,6,best,5,thank,4,workers,23
family,4,senate,3,2,5,update,6,workers,5,year,4,stay,22
move,4,3,3,york,5,visit,6,businesses,5,help,3,country,21
canadians,4,new,3,possible,5,members,6,testing,5,care,3,continue,21
support,3,home,3,lives,4,canadians,6,show,4,ongoing,3,public,20
iran,3,bill,3,cases,4,great,6,latest,4,use,3,residents,20
families,3,subway,3,illinois,4,report,6,public,4,working,3,response,19
budget,3,good,3,nation,4,watch,5,mothers,4,live,3,family,19
services,3,ford,3,stop,4,live,5,claims,4,summer,3,week,19
step,3,week,3,news,4,fight,5,physical,4,america,3,protect,18
investigation,3,medical,3,community,4,provide,5,work,4,sen,3,lives,18
moment,3,address,3,families,4,weeks,5,justice,4,health,3,toronto,17
country,3,changing,3,family,4,together,5,behalf,4,civil,3,call,17
key,3,business,3,america,4,illinois,5,stay,4,celebrate,3,may,16
3,3,evidence,2,thank,4,media,5,everyone,4,historic,3,important,16
building,3,everyone,2,toronto,4,life,5,country,4,million,3,nation,15
justice,3,five,2,health,4,food,5,distancing,4,fought,3,news,15
ensure,3,tonight,2,housing,4,testing,5,remember,4,system,3,take,15
24,3,news,2,public,4,times,5,provide,4,stand,3,families,14
trumps,3,beginning,2,across,4,distancing,5,part,4,available,3,justice,14
neglect,3,211,2,businesses,4,efforts,5,watch,3,share,3,emergency,14
days,3,7,2,another,3,protect,5,data,3,call,3,coronavirus,14
park,3,king,2,online,3,briefing,5,support,3,apply,3,visit,14
answers,3,provides,2,healthy,3,music,5,another,3,take,3,learn,14
take,2,partisan,2,services,3,plan,5,ontario,3,law,3,provide,14
media,2,protect,2,part,3,news,5,happy,3,please,3,canadians,14
abuse,2,workforce,2,provide,3,remember,5,find,3,access,3,making,13
love,2,delays,2,bless,3,face,4,take,3,nothing,3,food,13
free,2,opportunity,2,resource,3,house,4,keeping,3,important,3,distancing,13
ottawa,2,impeachment,2,system,3,questions,4,wear,3,food,3,states,13
breaking,2,iowa,2,country,3,thanks,4,available,3,kind,3,york,13
education,2,low,2,worker,3,lives,4,canadians,3,sites,3,hard,13
colleges,2,thanks,2,visit,3,de,4,together,3,state,3,big,13
child,2,sewage,2,threats,3,frontline,4,administration,3,spoke,3,medical,12
missouri,2,species,2,greatest,3,may,4,families,3,safe,3,thanks,12
communities,2,funding,2,coming,3,tough,4,signed,3,vulnerable,3,plan,12
full,2,life,2,away,3,take,4,officers,3,public,3,everyone,12
life,2,full,2,thanks,3,longterm,4,10,3,follow,3,another,12
stand,2,million,2,states,3,safe,4,phone,3,workers,3,tomorrow,12
yorkers,2,south,2,ensure,3,giving,4,home,3,making,3,president,12
watch,2,wish,2,priority,3,fake,4,rules,3,black,3,save,12
world,2,#blackhistorymonth,2,social,3,states,4,asian,3,history,3,program,12
plan,2,big,2,emergency,3,families,4,states,3,covid19,3,information,12
working,2,lead,2,follow,3,daily,4,government,3,stay,3,stop,12
safety,2,legislation,2,single,3,stay,4,capacity,3,congratulations,2,ontario,12
donald,2,could,2,communities,3,keeping,4,play,3,test,2,communities,12
together,2,0,2,beginning,3,call,4,disaster,3,border,2,members,12
ukraine,2,born,2,work,3,housing,4,initial,3,demand,2,move,12
congress,2,hundreds,2,mississippi,3,updates,4,great,3,details,2,update,12
