;people;city;new;state;help;family;work;safe;great;home;thank;together;community;covid19;working;support;live;stay;big;protect;residents;stop;care;response;important;call;country;president;coronavirus;news;#covid19;ontario;nation;across;spread;future;congress;move;end;continue;families;services;week;good;medical;programs;war;information;businesses;york;another;3;housing;visit;communities;health;world;address;thanks;ensure;public;making;lives;tonight;everyone;todays;take;america;save;possible;illinois;legislation;believe;energy;plan;provide;learn;district;program;toronto;tomorrow;2;taking;beginning;follow;vote;social;happy;wish;emergency;government;birthday;bill;kind;build;business;senate;love;away;democrats
people;0;4;6;8;6;2;2;6;4;2;2;6;0;2;10;0;0;2;0;6;2;4;2;0;0;0;0;2;0;2;2;4;4;8;2;0;0;2;0;0;2;2;0;6;0;0;4;0;4;0;4;0;0;0;2;2;6;2;4;2;0;2;4;2;2;2;0;2;0;4;4;0;2;0;4;2;0;0;2;0;0;4;0;0;0;0;0;2;0;2;2;2;0;0;2;4;2;0;2;0
city;0;0;12;2;0;2;0;8;2;0;2;4;2;4;4;2;2;0;2;4;4;0;2;2;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;2;2;4;0;2;0;2;0;8;0;2;4;0;2;4;2;2;2;0;4;4;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
new;0;0;0;10;8;4;2;6;2;2;0;2;0;6;0;2;0;0;0;2;2;0;6;2;0;0;0;0;2;0;0;0;6;2;0;2;0;2;0;0;2;2;0;2;4;0;0;0;2;8;0;2;0;0;0;4;2;0;2;0;0;2;0;2;2;2;0;0;0;2;0;0;0;2;2;2;2;0;0;0;2;2;6;4;2;2;0;2;2;0;0;0;0;0;2;2;0;2;0;0
state;0;0;0;0;6;2;2;2;6;0;0;4;6;6;2;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;2;0;0;2;0;0;0;0;2;2;2;2;0;0;0;2;2;2;0;0;0;0;0;0;2;4;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;2;2;0;0;0;0;2;2;0;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;4;2;6;2;2;0;2;2;2;2;4;0;2;0;6;0;4;2;0;0;2;2;0;0;0;2;0;0;0;6;2;2;2;2;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0;2;0;0;0;2;2;2;0;2;2;0;2;0;0;2;0;0;2;2;2;2;2;0;0;2;2;0;4;0;0;0;0;0;0;2;2;0;0;2;2;2;4;0;0;0;0
family;0;0;0;0;0;0;0;4;4;4;2;4;2;2;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;4;0;0;2;0;2;0;2;2;4;2;0;0;0;0;4;2;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;0;0;2;4;0;0;0;0;0
work;0;0;0;0;0;0;0;2;0;2;2;4;4;0;2;2;0;2;0;2;2;0;0;2;2;2;2;0;0;0;0;0;2;2;2;0;2;0;2;4;2;0;2;0;2;4;0;0;0;0;2;2;0;0;2;0;2;2;2;2;0;0;0;0;0;4;2;0;0;0;0;0;0;4;2;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;0;6;0;4;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0
great;0;0;0;0;0;0;0;0;0;0;2;2;4;0;4;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;4;0;6;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;2;2;0;0
home;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;8;4;2;2;2;2;2;0;2;0;0;2;0;2;2;0;0;2;0;0;2;0;2;0;2;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;6;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0
