;covid19;new;health;people;support;city;thank;care;workers;#covid19;state;businesses;community;may;live;help;across;continue;public;safe;country;home;great;toronto;lives;work;week;stay;working;testing;pandemic;justice;food;update;remember;take;hard;residents;distancing;response;canadians;states;learn;call;together;emergency;watch;provide;visit;protect;police;important;spoke;members;keeping;year;still;part;face;news;daily;million;best;program;physical;times;save;families;tomorrow;sites;plan;number;york;nation;music;making;americans;weeks;everyone;communities;government;fight;stand;report;america;data;2;lost;latest;life;law;available;briefing;please;thanks;province;house;information;economic;efforts
covid19;0;8;10;2;12;12;4;4;10;0;2;2;2;2;12;6;4;4;6;4;2;0;0;6;2;0;4;0;8;0;8;0;4;14;2;0;4;2;4;18;2;0;2;0;0;4;8;4;4;0;0;0;4;0;2;0;2;0;2;4;2;0;0;0;4;4;0;0;2;0;2;0;2;0;2;0;2;0;0;0;4;2;2;4;2;4;2;2;6;2;4;0;2;2;0;0;2;2;2;0
new;0;0;8;6;4;4;4;0;0;2;2;4;0;2;0;2;6;2;4;4;2;0;0;0;0;6;4;6;2;2;0;0;0;0;4;2;0;4;2;2;0;2;2;0;4;4;0;0;4;2;0;4;2;0;2;0;2;2;0;0;2;2;0;4;2;0;4;0;4;4;0;2;12;2;0;2;2;2;0;0;2;2;0;2;0;2;0;0;2;2;2;0;0;0;2;2;2;2;2;2
health;0;0;0;6;4;2;4;10;10;8;4;2;0;0;0;2;2;0;18;4;4;0;0;6;0;2;2;2;6;2;2;0;2;0;4;4;2;0;6;2;4;2;0;4;0;4;2;2;2;4;0;4;2;0;2;0;0;0;4;0;4;2;4;0;4;0;0;0;2;2;6;2;0;0;0;2;0;0;0;2;4;0;2;2;0;4;0;0;2;0;2;0;2;4;0;2;4;2;2;2
people;0;0;0;0;0;0;4;4;6;4;4;0;4;0;0;6;4;0;4;2;4;4;2;2;8;2;4;0;2;4;4;2;2;0;2;2;6;2;2;0;2;2;4;0;0;2;0;2;2;2;2;0;0;0;2;0;0;2;2;4;0;2;0;0;0;2;2;6;0;0;0;4;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;0;0;4;0;4;2;2;2;0
support;0;0;0;0;0;8;8;6;6;0;0;6;6;0;4;2;4;4;0;2;2;0;0;4;2;2;2;0;2;0;6;0;0;4;2;2;0;4;0;8;4;2;2;4;2;0;2;2;2;0;2;2;0;2;2;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;2;0;4;2;0;2;4;4;0;2;0;0;0;0;2;2;2;2;0;0;2;2;0;0;2;4
city;0;0;0;0;0;0;4;4;2;0;2;6;2;2;6;2;6;4;2;4;2;2;0;12;0;2;4;0;0;2;0;0;0;0;0;2;0;2;2;4;0;0;0;2;0;2;2;2;2;0;4;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2;2;0;4;0;0;0;4;0;4;2;2;2;2;0;0;6;2;0;0;0;2;0;2;4;0;2;2;0;0;0;0;4;0;0
thank;0;0;0;0;0;0;0;4;6;4;0;6;8;0;2;4;10;2;4;0;0;0;2;2;2;6;4;0;4;0;0;0;2;0;0;0;4;2;0;2;0;0;2;2;4;0;0;2;0;2;0;0;2;4;2;0;0;0;2;2;2;2;0;2;0;2;0;2;2;2;0;0;0;0;2;2;0;0;4;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0
care;0;0;0;0;0;0;0;0;12;4;4;0;6;0;2;2;4;0;2;4;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;2;2;6;0;4;0;0;2;0;2;4;0;2;2;2;0;0;0;0;2;0;0;0;4;2;0;2;4;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
workers;0;0;0;0;0;0;0;0;0;4;4;6;2;0;0;6;2;0;2;4;2;2;0;0;0;4;4;2;8;2;0;0;4;0;0;0;4;2;0;2;0;0;4;2;0;6;0;2;2;2;0;0;2;0;0;2;0;0;4;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;2;0;2;0;0;0;0;0;2;2;2;2;0;2;4;0;2;0
#covid19;0;0;0;0;0;0;0;0;0;0;6;6;0;2;0;0;4;2;4;2;0;2;0;2;0;2;0;0;4;8;0;0;0;2;2;2;4;0;0;0;0;4;2;2;0;2;0;4;4;2;0;4;0;0;0;0;2;0;0;0;0;2;4;4;0;0;0;2;4;2;2;2;0;0;0;2;0;2;0;2;2;2;0;2;0;2;0;2;2;0;0;2;2;0;0;6;2;0;0;0
