;state;health;public;covid19;great;business;year;work;new;million;local;june;#covid19;law;justice;continue;july;across;country;states;communities;safety;businesses;order;police;join;people;care;help;school;partnership;family;thank;executive;community;workers;provide;please;budget;real;america;enforcement;commitment;support;home;save;important;economic;program;still;racial;pandemic;phase;toronto;face;americans;ensure;2020;funding;cases;needed;guidance;everyone;moment;reform;reopening;fund;keeping;begin;control;recovery;announced;historic;city;working;repeat;protests;able;address;due;passing;officers;stay;data;life;tomorrow;remain;apply;live;service;education;process;system;slavery;virtually;distancing;schools;next;recognize;actually
state;0;2;2;4;2;2;2;0;0;6;2;0;4;0;2;2;2;2;2;2;0;0;2;4;2;0;2;2;2;2;0;2;0;6;2;2;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;4;0;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0
health;0;0;10;2;0;0;0;2;0;0;2;0;2;0;2;4;4;0;0;0;2;2;0;0;0;2;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;2;0
public;0;0;0;4;0;2;4;2;2;2;2;0;0;2;0;2;2;0;2;0;0;4;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;2;4;2;0;0;2;0;0;2;0;0;0;2;2;2;0;2;0;2;0;2;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;2;2;2;2;0;2;0;0;0;2;0
covid19;0;0;0;0;0;4;4;0;0;8;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;2;6;2;2;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;0;4;2;0;4;0;0;0;0;0;0;2;2;0;0;4;0;2;0;2;0;2;2;0;0
great;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;2;2;0;4;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
business;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;2;0;6;0;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;2;2;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2
work;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;4;2;2;2;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;2;0;2;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;2;2;0;0;4;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;2;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
june;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
