;program;paycheck;protection;senate;democrats;act;funding;week;workers;americans;american;cares;crisis;businesses;republicans;discuss;historic;kentuckians;jobs;help;bipartisan;money;bill;hope;across;emergency;support;new;kentucky;icymi;coronavirus;joined;crucial;million;saving;together;pandemic;soon;people;blocking;focus;health;colleagues;blocked;healthcare;democratic;next;urgent;proud;work;vote;without;month;@foxnews;families;judge;paychecks;statement;tomorrow;stepping;reconvening;pass;senates;federal;provide;hospitals;tune;states;funds;shut;dry;jobsaving;priorities;important;smallbusiness;essential;testing;stand;unanimous;commonwealth;partisan;walker;employees;congress;popular;response;trying;morning;house;leaders;supporting;run;layoffs;consent;ran;laid;grateful;covid19;political;president
program;0;42;40;14;26;8;24;12;8;12;8;8;0;10;10;4;2;2;14;4;14;14;4;10;4;6;4;4;4;2;0;2;8;4;8;2;4;8;0;10;2;0;8;8;2;6;4;4;0;2;6;2;8;4;2;0;4;6;4;0;0;6;2;0;4;2;2;0;4;6;8;8;2;2;6;0;2;0;4;0;2;0;2;2;6;0;4;4;2;2;4;6;6;4;6;2;0;0;4;0
paycheck;0;0;40;12;24;6;24;10;4;14;8;6;2;10;8;4;4;0;16;4;10;10;6;10;0;6;8;4;2;2;0;2;8;8;8;0;4;10;0;10;2;0;6;4;0;6;4;4;0;4;6;0;8;4;0;0;2;6;6;0;0;4;2;0;4;0;2;0;2;4;6;4;0;2;6;0;2;0;4;0;4;0;2;2;4;0;4;6;2;2;4;6;6;4;6;6;0;0;4;0
protection;0;0;0;12;20;6;24;10;4;8;8;6;0;12;8;4;2;0;12;6;10;8;4;6;0;4;4;4;2;2;0;2;8;2;8;0;4;6;0;8;2;0;4;4;0;6;4;2;0;4;6;2;6;4;0;0;2;6;4;0;0;4;2;0;6;0;2;0;2;4;6;2;0;2;6;0;2;0;4;0;2;0;4;2;4;0;4;4;2;2;4;6;4;4;6;2;0;0;4;0
senate;0;0;0;0;8;8;6;8;12;2;8;6;4;6;14;16;2;0;0;8;2;4;6;4;0;4;2;2;0;10;6;10;0;0;0;0;4;2;4;2;8;4;2;6;0;2;6;2;2;2;6;4;0;8;4;0;0;0;2;0;6;4;2;0;2;0;6;0;0;2;2;4;2;4;0;0;0;0;4;0;0;0;2;2;2;4;2;2;2;2;4;0;0;4;4;0;0;2;0;2
democrats;0;0;0;0;0;2;14;14;4;12;6;0;4;6;6;0;2;0;8;2;10;10;2;8;2;4;8;4;0;0;0;0;6;6;2;2;2;8;4;10;0;0;4;8;0;2;0;2;2;2;2;2;8;0;0;0;2;2;2;0;0;4;2;0;2;0;0;2;0;8;6;6;2;0;2;0;2;0;0;0;4;0;0;0;2;0;6;2;4;2;2;4;6;0;6;4;0;0;4;0
act;0;0;0;0;0;0;8;6;6;2;8;24;6;8;4;2;12;2;4;4;2;2;8;2;4;6;2;2;4;2;2;2;4;0;6;0;0;0;4;0;4;2;2;0;6;2;0;0;2;0;2;2;0;2;4;0;4;0;4;2;0;4;4;2;4;8;0;6;6;0;0;0;4;6;4;0;4;0;4;0;0;0;2;6;4;0;2;2;4;2;2;0;0;4;0;0;2;4;2;0
funding;0;0;0;0;0;0;0;8;6;8;6;6;2;10;0;0;2;0;6;0;8;6;4;6;0;4;6;2;0;0;0;0;8;2;6;0;0;4;0;6;2;0;4;2;2;8;2;0;2;2;2;0;4;0;0;0;6;4;2;0;0;4;0;0;4;2;0;0;2;4;2;0;0;0;6;0;4;0;4;0;2;0;0;4;2;0;0;4;0;2;4;4;2;4;4;2;0;0;6;0
week;0;0;0;0;0;0;0;0;8;8;4;0;4;2;8;2;0;0;4;2;4;6;4;4;2;0;2;0;0;2;0;2;4;2;2;0;0;2;2;4;2;0;4;6;2;2;4;0;0;0;0;0;2;0;0;0;4;0;2;0;4;6;0;0;0;0;0;2;0;6;4;2;4;2;0;2;0;0;2;0;0;0;0;4;0;0;6;2;4;0;0;4;0;2;4;0;0;0;4;2
workers;0;0;0;0;0;0;0;0;0;2;10;4;2;4;8;6;2;4;0;4;0;0;0;2;6;4;4;2;2;6;2;6;2;0;0;0;2;2;2;2;4;6;2;0;4;4;4;0;2;0;0;0;0;0;6;0;2;0;0;2;6;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;4;2;0;0;0;0;0;2;4;2
americans;0;0;0;0;0;0;0;0;0;0;2;2;4;6;4;0;4;0;8;0;4;8;4;4;0;4;8;0;0;0;0;0;4;8;4;0;0;4;2;6;2;0;4;2;4;2;2;2;2;2;0;0;4;0;0;0;6;0;2;0;2;2;0;0;0;2;0;0;0;4;4;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;2;2;0;0;2;4;2;0;2;6;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;6;4;4;8;2;4;0;6;6;2;0;2;4;0;6;2;6;0;2;2;2;2;0;2;2;2;4;6;2;4;2;2;0;0;2;0;2;4;0;0;0;2;0;6;0;2;2;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;0;2;2;2;0;0;0;0;2;6;0
cares;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;2;12;2;4;4;2;2;6;0;2;6;2;2;4;2;2;2;4;0;6;0;0;0;2;0;2;2;0;0;6;0;0;0;2;0;2;2;0;2;4;0;2;0;4;2;0;2;4;2;4;8;0;4;6;0;0;0;0;4;4;0;4;0;2;0;0;0;2;2;4;0;0;2;0;2;2;0;0;2;0;0;2;4;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;0;2;0;0;0;4;4;2;2;0;2;2;6;2;0;2;0;0;0;2;6;0;2;2;2;0;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;4;6;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;2;0;0;0;0;0;0;2;0;0;2;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;4;4;0;2;0;0;2;4;0;2;0;0;0;4;2;6;0;0;0;2;4;0;0;0;0;2;4;0;0;2;2;0;2;2;0;4;0;2;2;0;0;0;0;2;0;4;4;0;2;0;2;2;0;0;2;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;2;4;0;0;0;2;2;0;2;0;0
republicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;6;2;4;2;2;0;4;0;4;0;4;4;4;0;0;2;0;2;2;2;2;2;2;2;4;0;0;2;0;2;0;0;0;0;2;4;0;2;0;2;0;4;2;2;0;0;0;4;0;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;2;0;0;2;0;0;0;0;2
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;2;0;12;8;12;0;0;0;0;4;2;0;0;4;2;0;0;0;0;4;0;0;2;4;2;0;8;0;2;0;0;0;0;6;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2
historic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;4;0;0;4;4;0;2;0;0;0;2;2;2;0;2;0;2;0;0;2;0;0;4;0;0;2;2;0;2;0;2;0;4;0;2;0;4;2;0;0;6;2;0;6;0;4;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;2;2;4;0;0
kentuckians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;4;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;0;4;2;2;0;0;0;0;2;6;6;0;0;4;0;8;0;0;2;0;0;0;0;4;0;0;0;0;6;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;4;0;2;4;0;0;0;2;4;2;0;2;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;6;4;4;4;0;0;0;4;6;0;0;0;2;4;2;2;0;0;2;0;2;2;2;2;0;2;4;0;0;0;2;2;0;0;4;4;2;2;0;4;2;0;2;2;0;0;0;0;2;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0
bipartisan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;4;4;0;0;0;0;4;2;2;4;0;0;2;4;2;0;2;2;0;2;0;2;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;2;4;4;4;2;0;4;0;2;0;0;0;4;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
money;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;4;2;0;4;6;0;2;0;2;0;0;0;2;2;0;0;0;4;0;0;0;0;4;0;0;2;0;0;0;0;4;2;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;4;2;0;2;0;0;0;0;0
