;senate;house;impeachment;democrats;partisan;case;trial;american;political;states;president;bipartisan;rush;investigation;process;senators;questions;senates;united;weeks;passions;people;speaker;take;sober;framers;continue;majority;may;country;protect;constitution;stop;could;games;thank;enough;cannot;trump;precedent;full;without;serious;witnesses;judgment;1999;urgent;beyond;finally;overwhelming;middle;fair;service;telling;delayed;reasonable;institution;weak;nation;redo;soleimani;stand;beginning;judge;phase;state;force;institutional;brave;procedure;call;facts;work;winwin;unity;voted;reopen;business;founding;managers;rushed;actually;death;shortterm;pelosi;exists;secretary;man;try;nakedly;events;good;decided;purpose;provide;end;hold;big;doubt;iran
senate;0;28;12;22;6;14;14;4;2;4;10;6;6;10;4;6;6;6;2;4;6;0;4;0;4;4;2;4;4;4;4;2;4;2;0;0;4;4;4;6;2;4;0;6;4;6;2;6;2;6;4;2;2;2;2;4;0;4;2;4;0;2;0;4;2;0;0;4;2;4;2;4;2;2;2;4;4;2;2;4;2;4;0;4;0;2;0;0;4;0;0;2;4;2;4;2;2;4;4;0
house;0;0;18;24;8;14;6;4;4;4;6;2;2;10;4;4;2;4;2;8;2;4;2;0;0;4;4;4;4;0;0;0;0;0;2;0;4;4;4;2;2;2;2;4;0;2;4;4;2;6;4;0;0;4;4;4;0;4;0;4;0;4;0;4;0;0;0;0;0;2;2;0;2;0;0;4;4;2;2;4;4;4;0;0;0;2;0;0;4;2;0;2;2;2;4;2;2;0;4;0
impeachment;0;0;0;14;14;2;4;6;10;4;0;4;2;0;8;4;0;0;2;4;0;6;4;0;2;2;2;6;2;2;0;4;0;0;6;0;2;2;0;2;2;0;6;2;2;2;2;0;2;0;2;0;0;2;2;0;0;2;0;0;0;4;4;2;2;0;0;0;0;2;0;0;2;4;2;0;0;2;2;2;2;0;0;0;4;0;0;0;2;4;2;0;2;2;0;4;0;2;0;0
democrats;0;0;0;0;8;12;4;2;8;0;6;2;4;8;4;0;2;4;0;8;0;2;2;0;2;0;4;0;4;2;0;2;0;0;4;0;4;4;2;2;0;2;2;2;2;2;4;2;2;4;4;0;0;2;4;2;0;4;0;4;0;2;2;2;0;0;0;0;0;2;2;2;0;4;0;4;4;2;0;0;4;4;0;0;2;0;0;0;2;4;2;0;0;0;2;0;2;2;2;0
partisan;0;0;0;0;0;0;2;6;8;0;0;0;0;0;6;0;2;2;0;4;6;6;2;2;4;4;2;2;2;2;2;6;4;2;4;0;0;0;0;0;0;0;6;0;2;0;2;0;2;0;2;0;0;2;2;0;2;0;0;0;0;2;4;0;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;4;2;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0
case;0;0;0;0;0;0;0;0;0;0;2;0;2;10;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;2;4;0;6;0;0;0;2;2;4;0;4;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0
trial;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;2;4;6;0;0;2;0;0;0;0;2;2;4;2;2;2;0;2;2;0;0;0;0;2;6;2;4;0;6;0;6;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0
american;0;0;0;0;0;0;0;0;4;6;2;0;0;0;2;0;0;0;4;2;0;6;0;4;0;2;0;2;0;0;4;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2
political;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;2;2;0;2;2;2;2;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;4;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;0;2;0;0
states;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;8;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2
president;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;4;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
bipartisan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;6;0;0;0;2;0;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
rush;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
investigation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;2;2;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0
process;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0
