;senate;american;americans;people;act;nation;police;cannot;democrats;justice;week;reform;law;violent;legislation;world;proud;citizens;protests;peace;great;millions;rights;free;businesses;lands;continue;preserve;president;hope;historic;riots;protection;bipartisan;strong;work;cares;mayors;civil;together;needs;issue;recreation;local;communities;bill;country;federal;public;support;help;leaders;amendment;stand;national;kentucky;equal;next;protect;sides;unite;black;distinguish;protest;constitutional;@stevedaines;liberal;streets;kong;pandemic;circuit;@sencorygardner;system;confirmed;enforcement;neighborhoods;careful;reopening;process;selectively;peaceful;working;political;put;chinese;completely;economic;outdoors;ensure;state;faith;america;brave;united;year;killings;steps;parks;floyd;bench
senate;0;8;0;2;10;8;12;0;12;8;10;12;2;0;6;0;4;0;0;0;2;0;0;0;2;2;0;4;2;6;8;0;0;6;2;2;6;0;0;6;4;6;2;2;0;4;2;4;2;2;4;0;2;0;2;0;0;4;0;4;0;0;0;0;0;0;2;0;0;2;4;0;0;4;0;0;0;0;4;0;0;0;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4
american;0;0;0;8;6;4;6;6;2;4;4;4;2;0;6;2;6;2;0;2;4;0;2;0;2;4;2;6;2;4;2;0;2;2;2;2;4;0;0;2;2;0;4;2;0;0;0;0;4;2;6;0;0;0;2;0;2;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;2;0;2;2;4;2;2;0;0;2;0;2;0;0;2;0;0
americans;0;0;0;0;2;4;2;2;0;4;2;0;4;2;2;0;0;4;4;0;2;4;2;0;4;2;2;0;2;0;0;2;4;0;0;0;0;2;2;0;2;0;2;2;2;0;0;0;2;4;0;2;2;0;2;0;2;2;0;0;0;4;0;4;0;2;0;2;0;0;0;2;2;0;0;2;2;2;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0
people;0;0;0;0;0;2;2;4;0;0;2;2;2;2;2;0;0;0;4;2;0;0;4;4;2;0;2;2;2;2;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;4;0;2;0;0;0;2;0;2;2;0;2;0;0;2;0
act;0;0;0;0;0;2;4;0;4;8;6;4;4;0;2;0;2;2;0;0;4;0;0;0;2;2;2;2;0;4;2;0;2;4;2;2;6;0;0;4;2;2;2;0;2;0;0;0;2;0;4;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;2;2;0;0;0;2;0;0;0;0;0
nation;0;0;0;0;0;0;0;2;0;4;0;0;2;2;2;0;2;2;0;4;2;0;4;0;2;0;0;2;2;0;2;2;0;0;0;2;2;0;2;0;4;0;0;0;2;0;2;4;0;2;2;0;2;0;0;0;0;0;2;0;2;2;0;2;2;0;0;2;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;4
police;0;0;0;0;0;0;0;2;8;6;6;12;2;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;6;2;2;2;2;0;2;2;0;0;4;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
cannot;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;2;2;0;0;4;6;0;0;0;0;0;0;0;0;4;0;0;0;0;4;4;0;2;0;0;0;0;2;0;0;0;2;0;2;4;2;0;0;4;0;2;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;4;0;0;2;0;2;4;0;0;0;0;2;2;4;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;2;2;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;4;0;0;4;0;0;4;0;0;0;2;4;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;4;4;8;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;4;2;0;4;4;2;2;2;0;0;4;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0
week;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;2;0;2;0;0;0;0;0;2;2;0;2;0;4;4;2;0;2;2;2;2;0;0;6;0;2;2;2;0;0;0;0;2;2;2;0;0;0;2;0;0;6;0;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
reform;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;2;0;0;2;0;2;2;0;0;4;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;0;2;0;2;0;0;0;0;2;4;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0
