;senate;house;bipartisan;american;democrats;families;impeachment;businesses;coronavirus;act;help;partisan;stand;americans;nation;president;work;workers;country;people;health;relief;legislation;republicans;state;bold;continue;senates;trial;strong;process;case;proud;economy;working;states;put;take;urgent;washington;new;united;administration;medical;economic;discuss;security;rush;energy;support;political;cannot;together;professionals;funding;pass;healthcare;leaders;speaker;cares;passed;emergency;protect;job;week;lets;kentucky;trump;combat;framers;national;clear;great;agreement;thank;cash;#kentucky;crisis;serious;officials;congress;world;business;passions;statement;israel;middle;senators;steps;local;fight;yesterday;ready;aid;proposal;#aipac2020;honor;hands;life;could
senate;0;44;34;28;38;28;16;24;16;26;16;18;8;12;8;20;14;20;16;6;8;16;14;20;4;20;10;8;18;6;12;14;6;8;10;6;8;4;14;8;8;4;10;12;14;4;8;8;4;8;2;8;2;4;2;14;2;0;10;10;10;4;6;0;12;2;2;6;4;10;2;6;2;6;4;8;4;10;2;0;2;0;4;8;6;0;8;8;6;0;0;2;8;6;10;0;6;6;0;6
house;0;0;6;10;28;2;18;2;2;4;2;14;8;4;2;10;6;2;2;6;0;0;6;2;0;4;4;4;6;2;4;14;2;4;0;4;2;0;4;2;2;2;2;0;0;0;2;2;0;6;4;4;0;0;0;0;2;2;4;2;4;0;2;2;2;2;0;4;0;6;2;0;0;0;0;0;0;0;2;0;0;0;2;4;4;0;4;6;4;0;0;0;4;0;2;2;2;0;0;2
bipartisan;0;0;0;18;10;10;4;10;16;16;8;2;4;0;6;2;6;6;6;8;10;10;10;6;2;12;4;2;6;4;0;0;0;6;6;0;2;2;4;0;2;0;8;8;6;0;6;0;10;4;0;2;4;6;6;8;4;2;8;4;4;0;0;0;6;2;0;2;8;0;2;4;2;10;0;0;0;0;0;0;6;6;0;0;2;4;2;2;6;0;4;2;4;2;0;4;0;2;0;4
american;0;0;0;0;4;12;6;10;4;14;4;6;6;4;8;4;6;10;6;20;4;2;8;6;2;8;4;4;0;4;4;0;4;2;2;8;8;4;4;2;6;6;0;4;2;2;2;2;8;6;4;0;0;4;0;2;4;2;0;4;4;2;6;2;2;6;2;0;0;2;0;0;0;0;2;4;0;0;2;2;2;4;6;0;0;4;4;2;4;2;6;0;2;0;4;2;2;6;0;2
democrats;0;0;0;0;0;2;16;2;2;4;2;12;2;2;0;12;4;2;8;4;2;2;0;6;0;2;4;4;4;0;6;12;0;2;0;0;2;4;4;4;2;0;6;2;2;0;0;4;2;0;10;4;2;4;0;2;4;0;4;0;2;2;0;0;0;2;0;4;2;2;0;4;0;2;0;0;0;4;2;0;0;0;2;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;2;2
families;0;0;0;0;0;0;0;20;8;14;8;0;6;6;4;6;4;20;8;2;4;12;6;10;2;8;2;6;0;4;4;0;4;6;8;2;6;4;6;8;2;0;0;10;2;4;2;4;2;4;0;0;2;2;0;4;0;0;0;6;4;4;2;0;0;2;2;2;2;0;2;4;2;4;8;10;6;6;0;0;2;0;0;0;0;0;4;2;0;0;2;0;0;4;2;0;8;8;0;0
impeachment;0;0;0;0;0;0;0;0;0;0;0;18;4;0;0;0;2;0;2;6;0;0;2;2;0;0;2;4;10;0;14;2;0;0;0;4;0;0;2;0;0;2;0;0;0;6;0;2;0;0;10;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;0;0;6;0;0;0;2;0;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;8;8;14;0;4;8;2;2;4;16;4;0;6;12;6;4;0;14;6;4;0;2;2;0;2;6;6;2;2;0;10;0;4;2;0;10;6;2;4;4;0;6;2;2;2;4;0;4;2;2;0;2;0;6;2;0;2;2;2;2;0;0;4;4;0;4;0;8;2;8;2;4;0;0;6;0;0;0;0;2;0;4;2;0;4;6;8;0;0;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;14;6;2;0;4;4;2;6;2;0;2;8;12;8;6;10;4;8;6;0;4;0;0;2;2;6;2;2;2;4;0;2;0;8;4;12;8;10;4;0;6;0;2;6;12;8;8;8;4;4;2;4;2;2;0;6;0;4;0;8;0;2;2;2;2;0;2;0;2;0;6;8;2;0;0;2;0;0;2;0;6;0;2;2;12;2;0;0;4;0;0
act;0;0;0;0;0;0;0;0;0;0;6;0;0;6;2;0;2;6;8;4;4;10;8;12;0;8;4;6;0;0;2;0;6;2;4;0;6;0;4;2;4;0;2;4;12;6;12;2;6;4;0;0;2;4;2;4;2;0;0;16;4;6;0;0;0;2;0;0;4;0;2;0;0;0;0;8;0;4;0;0;0;2;0;0;0;0;2;2;2;0;2;2;2;10;2;0;2;6;0;4
help;0;0;0;0;0;0;0;0;0;0;0;2;0;10;6;0;2;8;4;4;6;6;2;8;2;12;6;0;0;2;4;0;2;2;6;2;4;0;8;4;2;2;2;4;4;0;2;0;0;4;0;2;2;4;2;2;4;2;0;4;4;4;2;4;0;2;0;0;6;0;2;2;2;6;0;8;2;4;0;2;2;0;6;0;0;0;4;0;2;4;0;2;2;2;4;0;0;4;0;0
partisan;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;4;6;0;0;0;0;0;2;4;2;2;0;8;0;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;0;8;2;0;0;0;0;0;0;0;6;0;0;0;4;8;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4
stand;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;6;4;0;2;2;0;2;2;2;4;0;0;0;0;2;0;4;2;0;2;0;2;0;2;0;4;0;2;0;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;4;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;2;2;0;4;0;2;4;0;0;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;4;4;2;4;2;6;0;0;0;0;2;0;2;4;0;0;2;2;4;2;2;0;0;0;4;0;2;0;0;6;2;2;4;2;2;2;4;4;2;2;4;6;4;0;0;0;0;0;2;0;4;0;0;0;0;2;0;4;0;0;2;0;2;2;0;0;2;0;2;2;2;0;2;2;4;2;0;2;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;2;0;0;6;6;2;0;4;0;0;2;2;2;0;4;6;0;2;4;0;0;0;0;2;0;0;0;2;0;4;4;0;0;0;0;0;0;2;2;4;4;0;2;2;0;0;2;0;2;2;2;0;0;4;0;2;2;0;0;4;2;0;0;4;2;0;4;0;6;2;0;0;2;4;0;2;4;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;4;0;0;2;4;4;2;2;4;2;2;2;2;2;0;4;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;2;0;0;2;0;2;0;2;0;4;12;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0
