kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
president,33,president,26,#familiesfirst,35,#familiesfirst,51,#heroesact,23,americans,26,#familiesfirst,109,president,66,#familiesfirst,74,#familiesfirst,109
#defendourdemocracy,30,health,23,workers,26,crisis,18,#familiesfirst,18,act,25,president,107,house,55,americans,48,president,107
trump,29,house,21,act,25,lives,17,americans,15,president,20,house,96,health,53,president,41,house,96
senate,24,american,19,health,23,coronavirus,16,testing,14,action,19,americans,93,american,47,house,41,americans,93
impeachment,21,people,17,families,21,house,14,people,14,house,18,american,88,act,47,american,41,american,88
americans,20,americans,16,coronavirus,17,testing,12,american,13,#justiceinpolicing,17,act,81,trump,46,lives,35,act,81
trial,19,democrats,15,#coronavirus,16,american,12,president,13,police,16,health,80,americans,45,people,35,health,80
american,19,trump,14,house,15,families,12,country,12,american,16,trump,73,senate,42,act,34,trump,73
house,19,security,13,response,13,across,12,lives,11,people,14,people,68,families,38,crisis,32,people,68
admin,13,presidents,13,emergency,13,truth,12,crisis,10,brutality,14,senate,68,#familiesfirst,35,testing,30,senate,68
bipartisan,12,care,11,testing,12,health,11,fight,10,congress,13,families,58,people,33,#heroesact,29,families,58
act,12,#sotu,11,crisis,11,ensure,11,senate,10,senate,13,workers,53,#defendourdemocracy,33,country,28,workers,53
witnesses,11,tune,11,fight,11,businesses,10,covid19,9,trump,12,congress,51,workers,31,trump,27,congress,51
people,11,families,11,security,10,democrats,10,house,9,capitol,12,democrats,49,democrats,29,health,27,democrats,49
constitution,10,senate,11,care,10,resources,10,et,9,full,11,crisis,47,care,27,congress,26,crisis,47
congress,10,congress,11,public,9,workers,10,congress,8,injustice,11,coronavirus,45,bipartisan,25,senate,26,coronavirus,45
mcconnell,10,act,10,legislation,9,continue,9,health,8,justice,10,lives,44,congress,25,coronavirus,26,lives,44
documents,10,funding,10,american,9,trump,9,nation,8,supreme,9,fight,42,security,24,communities,23,fight,42
america,9,america,9,americans,9,fight,8,response,7,communities,9,testing,42,response,24,ensure,22,testing,42
delegation,9,law,8,package,9,president,8,national,7,take,9,full,42,presidents,24,across,22,full,42
managers,9,public,8,statement,9,livelihoods,8,responsibility,7,country,9,america,41,america,24,workers,22,america,41
