;#heroesact;#familiesfirst;americans;testing;people;american;president;country;lives;crisis;fight;senate;covid19;house;et;congress;health;nation;response;national;responsibility;workers;work;presidents;communities;expand;statement;full;honor;passed;trump;legislation;stop;vote;100000;ensure;pass;families;put;family;take;community;virus;justice;without;crucial;public;join;lost;efforts;women;coronavirus;nationwide;tracing;economy;america;strategy;protecting;tune;science;americas;administration;support;children;delay;committed;plan;state;1045;spread;act;pattern;relief;truth;may;across;still;protect;law;enough;continue;reporters;students;republicans;beijings;frontline;show;bring;loved;dangerous;men;economic;clear;duty;leadership;immediately;2020;report;save;home
#heroesact;0;14;10;12;10;10;6;4;10;8;6;12;8;4;2;4;8;4;2;2;2;10;4;2;2;4;0;2;0;6;2;6;4;8;4;6;10;6;6;2;2;0;4;0;0;4;2;6;2;0;0;6;2;6;2;2;2;4;0;2;2;0;4;2;0;2;2;0;0;2;4;0;4;0;2;2;2;4;0;2;2;0;0;2;0;6;0;0;0;2;0;2;4;2;2;2;0;0;2;4
#familiesfirst;0;0;4;10;6;8;2;6;0;8;4;8;6;0;2;4;2;2;4;0;2;4;4;0;2;8;0;2;0;2;2;4;2;2;0;4;6;4;8;0;4;0;2;0;2;2;2;0;0;2;0;6;2;6;6;0;0;0;0;4;0;0;2;4;2;0;2;0;2;0;0;0;2;0;0;2;2;0;0;6;2;2;2;4;0;0;2;0;0;0;0;0;0;0;0;4;0;4;0;0
americans;0;0;0;2;2;2;4;2;2;4;4;0;0;0;0;0;6;6;0;4;4;0;2;0;6;2;0;0;8;0;2;0;0;2;2;6;0;0;0;2;2;6;0;0;2;4;0;2;2;0;2;2;0;2;0;0;0;4;0;0;2;2;0;2;0;2;0;0;0;0;2;0;4;0;0;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;4
testing;0;0;0;0;2;0;4;0;6;0;4;8;8;0;2;0;0;2;0;4;2;2;0;0;0;8;0;2;0;2;2;4;4;0;6;4;6;0;0;0;2;0;6;0;2;2;0;0;6;0;0;0;4;10;6;2;4;0;0;2;0;2;2;0;2;0;8;0;0;6;2;0;0;2;0;2;6;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;4;0;2;0;0
people;0;0;0;0;0;16;0;6;8;8;2;4;2;6;0;4;2;4;2;0;2;0;2;2;2;2;0;0;0;4;2;4;0;2;4;2;4;0;2;2;0;0;0;6;0;2;4;4;2;2;0;4;2;0;2;2;0;2;0;0;0;2;0;2;2;2;2;2;0;0;0;4;2;4;2;4;2;4;2;0;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;2
american;0;0;0;0;0;0;2;2;6;8;0;2;0;2;0;2;4;4;2;0;0;4;2;2;4;0;0;0;2;2;0;2;0;2;2;0;4;2;4;2;0;0;0;2;0;2;6;2;2;2;0;4;0;0;2;0;0;2;0;0;0;2;2;0;2;0;0;2;0;0;0;4;2;4;2;0;0;6;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;2;2;2
president;0;0;0;0;0;0;0;4;4;0;2;4;4;2;0;4;2;0;2;6;6;2;2;4;0;0;0;0;2;0;8;0;4;2;2;0;0;2;0;0;6;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;2;0;2;6;0;0;2;2;0;2;0;0;2;2;0;2;2;0;2;2;0;0;4;0;0;4;4;2;0;0;2;4;0
country;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;4;2;0;0;2;4;0;2;2;4;2;0;2;2;0;2;0;0;2;0;4;0;2;0;4;0;0;0;4;2;2;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;4;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2
lives;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;0;0;2;0;2;0;0;0;2;2;2;0;0;2;6;4;2;4;2;12;0;4;0;0;2;2;0;2;2;0;0;0;4;10;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;6;0;0;2;4;0;2;0;2;2;4;6;0;0;2;0;0;2;0;0;2;0;2;2;0;0;2;0;2;2;0;0;6;0
crisis;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;2;6;2;4;4;2;2;4;0;2;0;0;0;0;0;0;2;0;2;0;2;2;2;4;0;0;2;0;0;2;2;2;0;0;6;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2
