;mississippi;great;state;working;mississippians;forward;ms;leaders;amazing;work;education;new;together;helping;future;flooding;local;protect;@msema;help;tonight;meeting;strong;please;plan;nation;truly;continue;governor;2020;prepare;jobs;thanks;success;flood;people;elee;conservative;situation;communities;responders;republican;stay;blessed;general;building;school;lives;thank;national;night;news;governors;rise;23;birthday;week;red;@firstladyofms;honor;joining;mississippis;generation;father;safe;awareness;achieve;take;office;brighter;13;happy;bogue;mansion;response;couldnt;honored;rare;committed;next;recent;stronger;children;rodeo;mayor;old;across;river;excited;inspiring;ones;students;share;love;creating;proud;kids;turn;33;reading
mississippi;0;20;14;18;6;8;0;8;10;4;6;4;6;6;10;8;6;10;4;8;4;8;6;4;2;4;2;6;6;4;6;2;2;2;0;2;4;6;2;0;2;4;2;2;2;4;4;2;4;0;4;2;6;2;0;2;2;0;0;2;4;0;2;0;2;2;0;2;4;6;0;2;0;2;2;4;4;2;2;2;2;4;2;0;4;2;4;2;4;0;2;4;2;2;2;4;2;0;4;2
great;0;0;18;18;6;10;6;10;6;10;6;8;10;8;8;4;0;0;0;2;4;4;4;2;0;4;4;6;2;4;2;0;6;4;0;0;4;4;0;0;0;2;0;2;2;4;4;0;4;4;4;2;0;2;0;0;0;0;0;2;4;4;2;2;0;2;4;0;2;4;0;0;2;2;0;2;0;0;2;2;2;2;2;2;4;2;4;0;4;4;0;4;2;2;0;2;4;0;0;4
state;0;0;0;12;8;6;6;8;2;6;0;6;6;4;2;4;4;2;4;4;0;2;2;2;4;0;2;4;2;4;0;0;2;0;2;2;2;2;0;0;6;2;2;2;2;0;0;0;2;2;2;0;0;6;0;0;0;0;0;0;2;4;0;0;2;2;2;2;2;0;4;0;0;0;2;4;0;2;0;0;0;2;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;2;2;0
working;0;0;0;0;8;16;4;10;6;4;6;10;14;2;2;2;2;6;4;0;8;2;2;0;2;0;0;8;0;4;4;2;6;6;0;2;0;6;6;4;4;4;0;0;4;4;0;2;4;2;0;2;2;2;2;0;0;2;0;2;2;4;0;0;0;2;2;2;0;2;0;0;0;2;4;2;0;0;4;0;0;4;0;0;4;4;6;4;6;0;0;2;0;0;2;2;0;0;2;0
mississippians;0;0;0;0;0;8;0;2;2;4;2;6;6;8;0;4;2;0;0;4;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;4;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;4;0;0;2;0;0;0;2;2;2;2;0;0;2;4;2;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0
forward;0;0;0;0;0;0;2;2;6;6;2;8;8;2;4;0;0;2;0;0;6;0;0;0;0;0;0;4;0;0;2;4;2;4;0;0;0;4;0;2;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;4;0;0;6;0;0;0;0;0;2;0;0;0;0;0
ms;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;2;0;2;2;4;0;0;0;0;2;0;0;0;4;0;2;6;4;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;4;2;0;2;4;0;0;0;2;2;0;0;2;2;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0
leaders;0;0;0;0;0;0;0;0;2;2;0;2;4;2;4;0;0;0;0;0;2;4;2;0;2;0;2;2;0;4;0;0;2;2;0;0;0;4;0;0;0;2;0;2;2;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;6;2;2;0;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;4;0;0;0;0;0;4;0;0;2;0;0;0;0
amazing;0;0;0;0;0;0;0;0;0;6;2;4;4;0;6;0;0;0;0;0;6;4;0;0;0;0;0;2;2;2;2;4;4;4;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;2;0;0;2;0;2;4;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;2;0;2;0;0;0;0;0;0;0;2;2;2;2;4;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;2
