;mississippi;state;stay;people;working;safe;mississippians;help;please;covid19;great;together;work;protect;home;ms;god;health;thank;care;take;new;live;local;bless;family;join;continue;order;lives;mississippis;facebook;workers;honor;fight;tomorrow;across;everyone;forward;grateful;spread;response;unemployment;country;news;tonight;briefing;efforts;days;national;leaders;neighbors;share;president;states;loved;strong;good;system;future;public;woman;disease;#stayhealthyms;women;emergency;families;prayer;elee;ones;celebrate;amazing;lot;proud;truly;trying;hope;communities;plan;week;making;responders;another;give;easter;cant;questions;testing;helping;could;hard;students;nation;businesses;still;support;storms;asked;@realdonaldtrump;able
mississippi;0;56;36;36;38;34;26;26;32;26;34;28;14;28;22;4;24;12;28;18;26;10;20;14;22;8;12;26;8;10;6;16;16;14;14;12;16;16;12;22;12;10;14;16;16;12;10;8;8;8;12;6;12;14;6;8;20;10;6;16;2;6;14;12;12;2;8;4;14;8;6;18;10;10;10;2;6;6;10;4;8;6;4;2;2;10;8;10;8;10;2;10;8;8;4;8;4;0;14;2
state;0;0;20;24;34;12;22;10;10;6;40;22;22;22;12;16;10;8;8;10;4;10;8;14;8;4;8;10;4;2;4;4;6;2;8;2;20;10;10;4;6;8;8;2;6;8;2;6;6;8;12;4;6;6;2;2;8;4;2;4;2;2;4;8;6;12;2;2;4;2;2;2;8;8;2;2;8;2;8;4;4;16;2;0;4;0;4;2;10;4;6;2;2;2;2;2;10;2;8;0
stay;0;0;0;12;16;76;8;6;30;10;6;22;8;16;38;4;32;8;2;4;10;8;6;16;32;10;2;16;6;6;4;4;2;2;16;8;4;8;4;4;4;4;0;2;14;0;6;2;6;0;4;18;0;0;4;6;10;4;0;0;0;0;2;8;0;2;0;4;0;4;2;0;2;2;0;8;0;2;8;4;2;8;6;2;2;2;2;2;0;6;2;0;0;4;4;2;6;6;0;4
people;0;0;0;0;18;16;10;14;16;16;2;10;14;22;4;4;0;6;8;12;10;4;8;4;0;10;8;4;8;6;0;8;4;6;4;2;8;2;4;2;4;6;8;6;2;2;4;8;2;2;0;6;6;4;0;4;8;6;6;0;2;0;8;4;4;4;0;2;2;0;4;0;4;0;0;4;4;2;6;0;2;6;0;10;2;6;6;0;6;4;4;0;2;0;8;0;4;8;4;4
working;0;0;0;0;0;10;14;6;8;10;22;28;16;24;6;12;2;6;12;10;8;12;2;6;2;4;0;16;4;8;4;0;6;4;6;0;14;10;24;8;8;12;6;10;4;10;8;4;6;8;12;2;2;8;4;2;8;6;10;2;4;0;2;2;6;0;4;0;0;2;0;6;4;6;0;4;6;4;2;4;0;6;4;2;0;2;2;4;2;4;8;2;4;2;2;2;4;6;6;0
safe;0;0;0;0;0;0;10;4;24;18;6;16;6;14;14;6;34;6;4;4;6;8;6;12;34;10;0;12;8;6;6;4;2;4;10;10;2;8;4;6;2;4;0;0;12;0;6;6;4;0;0;18;2;0;2;6;6;0;0;0;0;0;2;4;0;4;6;4;0;6;4;0;0;4;0;2;0;4;6;2;2;8;4;0;4;2;6;4;0;4;0;0;0;2;4;4;6;6;0;6
mississippians;0;0;0;0;0;0;0;20;6;12;8;18;14;12;8;2;4;16;8;10;8;10;4;2;4;2;4;10;6;10;2;2;0;0;6;0;6;4;8;8;8;4;6;4;2;4;4;10;8;0;2;2;4;6;4;2;4;2;4;2;8;0;2;2;2;8;2;2;0;2;4;4;4;6;4;2;4;2;0;6;4;0;2;4;2;4;2;2;12;4;2;2;4;2;2;4;6;2;2;4
help;0;0;0;0;0;0;0;0;4;8;6;10;2;8;8;6;0;6;12;10;2;6;4;4;0;4;0;2;8;4;6;4;16;2;6;2;4;6;0;6;8;2;8;4;4;0;6;10;2;0;2;4;0;6;4;4;8;2;2;0;2;0;6;4;4;2;4;0;2;4;0;0;8;2;4;6;4;4;2;2;2;0;2;2;4;6;2;2;2;2;2;0;2;6;8;6;2;0;4;4
please;0;0;0;0;0;0;0;0;0;14;4;6;2;14;6;2;2;4;0;8;14;4;10;14;2;12;18;8;2;4;0;10;2;4;10;6;4;6;4;2;8;2;4;6;10;4;0;4;4;0;0;12;4;0;0;8;6;4;4;0;2;0;4;2;2;4;4;0;2;8;4;0;2;2;0;0;0;0;12;4;0;4;2;4;2;6;6;2;2;4;2;0;0;0;4;2;6;2;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;8;6;8;2;6;8;10;2;8;2;12;18;6;8;0;8;6;8;6;6;18;8;0;2;12;6;2;6;2;10;18;6;6;6;2;6;10;0;2;2;2;8;6;8;4;0;2;0;0;4;0;2;0;0;4;6;2;2;2;0;0;6;2;0;0;4;2;2;4;4;2;2;2;2;0;10;6;0;2;0;0;2;2;2;4;4;2;2;4
great;0;0;0;0;0;0;0;0;0;0;0;18;12;2;2;10;6;4;10;4;2;8;6;4;6;4;6;10;0;2;4;2;6;4;0;0;14;4;12;4;2;0;2;2;2;6;2;2;2;4;12;4;2;4;0;2;4;4;2;10;0;0;2;0;2;4;6;0;6;2;2;6;2;8;8;0;2;2;0;0;2;2;0;2;0;2;0;2;10;0;4;6;6;0;0;2;2;0;4;0
together;0;0;0;0;0;0;0;0;0;0;0;0;4;10;14;6;8;0;4;0;4;8;6;0;8;4;6;12;0;6;6;4;2;2;14;4;16;6;8;8;2;6;0;6;2;6;0;4;0;2;10;0;6;4;4;2;4;6;0;2;0;0;0;8;6;0;4;2;2;2;8;4;0;2;0;2;2;0;4;2;2;2;6;0;6;4;0;0;4;2;0;2;2;2;2;0;2;4;4;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;6;6;2;4;4;2;4;0;2;2;8;6;2;4;0;6;4;6;0;6;4;6;2;2;2;6;6;2;2;0;2;0;2;2;0;2;2;2;0;0;4;6;4;6;0;4;4;0;0;0;0;4;0;4;8;4;2;2;2;4;0;2;0;0;0;0;2;2;2;0;0;4;6;8;2;2;2;2;0;2;6;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;20;14;10;4;2;2;12;2;4;4;8;4;16;2;2;2;6;2;2;4;6;2;6;14;6;0;2;8;4;0;6;4;4;0;8;4;4;0;8;6;2;2;0;10;0;2;4;4;6;2;2;2;8;2;0;4;0;0;0;2;2;10;2;4;8;2;2;0;0;0;0;2;0;2;0;2;2;4;0;6;4;4;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;4;6;12;6;2;12;4;2;2;6;6;4;6;2;6;0;4;2;0;6;2;2;6;4;0;2;4;2;0;2;0;4;4;6;2;2;2;4;0;4;0;0;0;0;2;10;0;0;0;2;0;4;0;2;4;2;0;4;2;0;0;0;0;0;0;2;2;0;4;2;6;4;0;2;2;2;2;2;0;0;2;0
ms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;4;2;2;2;0;0;2;4;2;2;0;0;2;8;6;2;0;0;2;2;2;0;4;0;4;0;6;4;2;2;0;2;0;2;0;0;0;0;10;2;0;4;2;0;0;0;0;4;4;2;2;0;0;2;4;0;0;0;0;8;0;0;0;0;0;2;0;4;0;2;0;0;0;2;0;0;2
god;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;4;4;18;6;52;2;4;2;2;4;4;12;2;2;2;12;0;4;2;2;0;0;0;2;4;2;12;4;4;2;0;6;2;0;0;0;4;0;0;0;0;0;0;0;0;6;0;8;0;0;0;0;0;4;4;0;0;2;2;0;2;4;4;2;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;4;2;4;0;6;0;2;8;10;8;4;4;12;2;2;0;4;0;0;2;12;8;0;4;2;2;2;6;0;4;0;2;4;0;2;2;0;6;8;0;14;0;2;0;0;8;0;2;0;2;0;0;4;0;0;2;0;0;2;0;2;2;0;2;2;0;0;4;0;2;0;0;0;0;0;2;4;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;4;4;6;2;0;4;2;2;2;2;6;2;0;2;4;0;8;6;0;0;4;0;2;0;2;0;4;4;4;4;2;4;4;6;2;0;0;2;4;0;8;6;2;4;2;8;4;6;4;2;4;6;2;2;6;0;0;4;4;2;0;0;2;2;2;4;2;2;0;2;2;4;6;2;0;6;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;0;4;6;2;0;2;2;6;4;0;18;2;2;0;2;0;2;2;10;0;2;2;2;2;0;6;2;4;0;4;4;2;2;2;2;2;8;0;6;0;4;0;0;8;2;2;0;2;0;0;6;0;0;2;2;0;0;0;0;2;2;2;4;2;0;2;0;4;2;0;0;2;0;2;4;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;6;2;4;4;6;6;2;4;2;4;4;2;2;0;2;2;0;2;4;2;2;2;0;0;8;0;6;2;2;4;0;2;4;0;0;2;0;10;4;0;6;0;0;0;0;2;0;2;4;2;2;2;4;0;0;4;2;2;0;2;2;0;4;0;4;2;0;2;0;4;4;6;0;2;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;4;2;0;2;4;6;4;2;0;0;0;0;0;0;8;0;0;2;2;0;2;4;0;4;8;0;4;4;0;0;4;2;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;4;2;2;0;2;0;2;0;0;2;2;0;2;2;0;0;4;0;6;2;0;0;0;4;2;0;0;0;4
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;4;16;0;4;2;8;42;2;4;0;10;0;0;2;0;4;10;4;2;4;4;4;6;0;0;0;0;6;0;2;0;0;2;0;2;0;0;0;2;0;0;0;10;0;0;0;0;0;4;2;0;2;0;4;0;2;0;2;2;0;0;8;0;2;0;2;0;2;0;0;2;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;2;4;4;2;6;4;0;2;2;2;6;2;0;4;0;0;0;14;2;0;4;2;0;4;4;0;2;0;6;0;0;2;0;0;0;0;2;2;2;0;0;0;6;0;0;4;4;0;4;2;2;8;4;2;4;0;0;0;0;2;0;2;4;2;0;0;0;0;2;0;2;2;4
bless;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;10;2;2;2;10;0;4;2;2;0;0;0;0;4;2;12;4;4;0;0;6;2;0;0;0;4;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;2;2;0;0;2;2;0;2;4;4;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2
