;mississippi;stay;covid19;state;working;safe;home;protect;health;ms;people;woman;please;together;unemployment;live;response;help;mississippians;work;facebook;care;spread;outbreak;join;women;local;across;another;businesses;benefits;thank;workers;experts;continue;families;questions;neighbors;new;dr;tomorrow;ensure;gatherings;dobbs;everyone;top;schools;efforts;world;country;respond;taking;signed;grateful;communities;president;anyone;girls;executive;provides;coronavirus;states;leaders;hard;trailblazing;female;anything;testing;public;pandemic;22;fight;information;call;lives;great;employees;discuss;role;celebrate;pray;order;led;2;amazing;300;heres;1;orders;celebrating;business;disease;@realdonaldtrump;law;elee;following;general;governors;tests;answer
mississippi;0;8;18;10;8;10;8;8;8;2;16;4;14;6;6;12;8;4;8;2;12;2;6;6;8;6;2;6;2;0;4;4;4;2;2;4;6;2;0;8;4;0;2;6;4;4;2;4;4;4;6;4;4;2;2;4;0;4;4;0;6;2;2;2;0;0;2;2;2;4;6;2;6;6;2;2;0;2;2;0;2;4;2;2;6;6;2;2;0;2;2;4;4;0;4;2;0;0;2;4
stay;0;0;2;6;8;24;18;6;0;2;6;0;6;12;0;0;4;2;2;4;0;0;2;0;2;0;8;4;4;4;0;0;0;6;6;0;2;8;4;2;2;0;10;2;4;2;4;0;2;0;2;2;0;2;2;0;0;0;0;0;0;2;4;0;0;0;0;2;0;6;0;4;0;0;0;2;4;2;0;0;4;2;0;0;0;0;0;0;4;0;2;2;0;2;0;4;0;0;0;0
covid19;0;0;0;2;8;8;2;6;8;2;8;0;12;4;6;16;14;6;6;4;16;4;8;12;8;0;2;6;0;0;6;0;6;2;4;4;8;2;4;8;6;2;2;8;0;4;6;4;2;4;0;0;6;2;0;4;0;0;4;0;2;4;2;0;0;0;0;4;2;0;0;2;8;2;2;0;2;10;0;0;0;2;0;0;0;8;8;0;2;0;4;0;2;0;2;2;0;6;2;6
state;0;0;0;0;10;2;4;10;2;6;10;2;6;2;6;2;2;2;2;6;2;4;2;2;6;2;6;6;0;0;4;4;2;0;0;2;2;4;2;0;2;0;2;0;8;0;0;0;2;0;2;2;0;0;2;0;2;2;2;6;0;0;2;2;0;0;2;2;2;4;2;0;0;0;0;10;0;2;0;0;2;0;0;2;0;2;0;4;2;0;0;2;2;4;2;0;2;0;0;2
working;0;0;0;0;0;6;4;12;6;4;4;0;4;12;2;0;4;2;4;6;0;10;4;2;0;4;2;8;4;2;0;4;4;2;6;2;2;0;2;2;0;0;0;2;8;0;4;4;2;8;0;4;0;4;0;6;0;4;2;2;4;0;2;4;0;0;4;2;2;4;2;4;2;2;4;0;0;4;4;0;2;0;0;2;0;0;0;2;0;0;2;2;4;2;0;0;2;4;0;0
safe;0;0;0;0;0;0;10;6;0;2;6;0;8;8;0;0;4;2;4;2;0;0;2;0;0;0;2;2;2;2;0;0;0;4;4;2;4;8;2;4;4;0;8;4;2;2;2;0;0;0;2;2;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;4;0;6;0;4;4;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0
home;0;0;0;0;0;0;0;0;4;0;2;0;2;4;0;0;4;2;2;4;0;2;2;2;0;0;8;0;0;2;0;0;4;4;4;0;2;2;2;2;2;2;8;2;4;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;2;2;0;4;0;0;4;0;0;0;2;2;2;2;0;0;0;2;4;0;2;2;0;2;0;4;0;0;0;0
protect;0;0;0;0;0;0;0;0;12;4;8;0;6;4;0;2;4;2;6;0;2;6;6;0;2;2;0;2;0;0;0;6;0;2;6;2;0;6;2;2;0;0;2;2;2;4;0;2;0;2;2;4;0;2;2;2;2;2;0;0;4;0;0;2;0;0;2;0;8;4;2;0;2;0;8;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;4;2;2;2;2;0;0
health;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;6;4;10;2;2;10;6;2;2;0;0;2;0;0;0;4;2;6;6;0;0;0;2;6;0;4;0;6;0;8;0;4;2;4;2;6;2;2;0;0;0;0;2;0;4;0;0;0;0;0;0;2;8;0;2;0;2;6;4;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;4;2;0
ms;0;0;0;0;0;0;0;0;0;0;2;10;0;2;2;2;2;4;0;0;2;0;0;0;2;2;0;4;8;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;10;6;2;0;0;2;2;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;6;2;0;0;4;0;0;4;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;8;4;4;0;2;8;4;2;2;6;0;0;4;0;0;2;0;0;2;0;0;6;4;0;2;2;2;2;2;2;4;2;0;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;6;0;0;4;0;0;2;0;2;0;0;2;0;0;0;0;6;0;2;2;0;0;4;0;0;2;0;0;0;2;4
woman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;10;6;2;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;2;2;0;10;4;6;0;10;0;6;4;0;0;2;0;2;2;2;2;6;10;2;4;2;2;4;4;0;4;2;2;2;2;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;4;2;2;2;0;2;0;0;4;2;0;0;0;6;0;0;0;0;2;2;0;0;0;0;0;0;4;4
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;0;0;0;0;0;2;0;6;2;2;0;2;0;4;4;2;0;0;0;0;0;2;0;0;4;0;2;2;0;6;2;4;0;4;0;4;0;0;0;0;2;4;4;0;0;0;0;0;0;4;0;6;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0
unemployment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;4;4;2;2;2;2;0;0;2;0;0;14;0;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;2;0;0;4;4;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;20;0;4;6;12;0;2;0;0;0;4;0;2;0;0;0;6;0;0;2;8;0;0;2;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;0;2;0;8;0;0;0;0;4;0;0;0;0;0;0;0;2;6
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;6;2;0;0;0;2;0;2;0;2;4;2;0;4;0;2;4;6;0;0;4;0;0;4;6;0;2;2;2;2;2;0;2;0;0;2;0;4;4;0;0;0;0;0;2;2;2;2;0;2;4;2;0;0;6;0;0;0;2;2;0;0;4;0;0;0;0;2;0;2;0;0;2;0;2;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;0;2;4;2;0;2;4;4;10;4;0;4;0;0;0;0;2;8;0;0;2;4;2;2;0;0;2;0;2;0;2;0;0;2;2;2;0;2;0;2;0;0;2;2;0;2;0;2;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0
mississippians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;2;0;0;0;2;0;0;2;2;0;0;4;0;2;0;0;4;0;2;0;2;0;0;0;2;2;4;0;4;2;6;0;4;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;2;4;4;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;2;2;0;2;2;0;2;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;10;0;2;0;0;0;4;0;2;0;0;0;6;0;0;2;6;0;0;2;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;0;2;0;8;0;0;0;0;4;0;0;0;0;0;0;0;2;6
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;0;2;0;2;6;2;2;2;0;0;0;0;0;4;0;0;0;2;2;2;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;4;2;0;4;0;2;2;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0
outbreak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;4;0;0;2;2;0;0;0;2;2;0;0;2;0;4;0;2;2;2;2;4;0;0;0;0;0;4;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;4;2;0;2;4;0;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;4;0;0;2;0;6;0;0;0;0;2;0;0;0;0;0;0;0;2;4
