;meet;chiefs;canadians;hereditary;wetsuweten;people;pharmacare;work;black;stand;trudeau;liberals;help;police;failure;year;still;prime;says;important;canada;situation;universal;country;leadership;action;needs;mr;workers;deliver;words;care;1;forward;families;indigenous;asked;hes;appoint;enough;government;across;talk;everyone;reckless;meeting;violent;national;stop;involved;big;companies;refusing;relationship;federal;new;trudeaus;canadian;special;thank;justin;scheer;rcmp;discussions;minister;history;plan;education;actions;struggling;denounce;pms;month;paying;standing;land;comments;heard;commit;making;show;bills;put;threats;repeat;dangerous;together;facing;democrats;concrete;pharma;mediator;committed;reconciliation;call;comprehensive;hate;provinces;allowed;premiers
meet;0;16;0;14;14;2;0;0;0;2;10;0;2;4;8;4;4;6;6;4;4;6;0;4;6;6;0;4;0;0;6;0;6;4;0;4;6;4;6;4;2;2;2;0;2;2;0;4;0;0;2;0;4;6;4;0;4;0;6;0;4;2;4;2;4;0;0;0;4;0;0;4;0;0;2;0;2;0;2;2;4;0;0;0;2;2;0;0;0;2;0;4;0;0;2;0;0;0;2;4
chiefs;0;0;0;18;16;4;0;2;0;2;8;0;2;4;8;4;4;8;8;8;2;2;0;2;8;4;4;4;0;0;6;0;4;4;0;6;8;4;4;6;4;2;0;2;2;4;4;2;2;6;2;0;2;6;2;0;4;0;4;0;6;4;6;4;6;2;0;0;6;0;0;4;0;0;2;0;2;0;2;0;4;0;0;0;4;4;0;0;0;2;0;2;0;4;0;0;0;2;2;4
canadians;0;0;0;0;0;6;4;6;6;0;0;8;4;0;0;2;4;0;2;2;4;0;2;2;0;0;2;0;0;6;2;2;2;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;4;0;2;0;2;2;2;0;2;2;0;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0
hereditary;0;0;0;0;16;4;0;4;0;2;6;0;2;6;6;0;6;8;8;6;4;2;0;2;8;2;2;0;2;0;4;0;6;0;2;6;4;4;6;4;2;2;0;2;2;4;2;4;2;4;2;0;4;4;4;0;2;0;6;0;6;6;2;2;6;2;0;0;6;0;0;4;0;0;2;0;2;0;2;0;4;0;0;0;2;4;0;2;0;2;0;4;0;4;2;0;0;2;2;4
wetsuweten;0;0;0;0;0;2;0;4;0;4;8;0;2;6;4;2;6;4;4;6;2;2;0;2;4;4;4;2;2;0;4;0;6;4;2;2;6;4;6;4;4;2;0;0;0;2;2;4;2;4;2;0;4;4;4;0;0;0;6;0;4;2;4;4;4;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;2;0;0;0;2;2;0;2;0;2;0;4;0;2;2;0;0;0;2;4
people;0;0;0;0;0;0;4;8;2;2;0;6;6;0;0;2;2;4;2;2;0;0;2;2;0;2;0;0;2;6;2;6;2;2;2;2;2;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;4;2;4;0;2;4;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;0;0;4;0;0;0;0;2;2;0;2;0;0
pharmacare;0;0;0;0;0;0;0;4;0;0;0;6;4;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;2;4;0;2;0;2;6;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;4;4;0;0;0;2;0;4;0;2;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;4;0;0;0;0;4;0;2;0;0
work;0;0;0;0;0;0;0;0;2;0;0;6;6;2;0;2;2;0;0;2;2;0;2;0;0;0;2;0;4;6;0;4;2;2;4;0;2;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;2;0;2;0;0
black;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
stand;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;0;2;4;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0
trudeau;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;0;2;0;0;4;0;2;4;2;0;4;0;0;2;0;4;2;0;0;4;2;4;2;0;2;0;0;0;0;0;4;0;0;2;0;0;2;2;2;2;2;4;0;4;2;2;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;4;2
liberals;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;2;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;2;0;0;2;2;2;0;2;0;0;0;2;2;2;2;0;0;2;0;2;0;0;0;2;2;2;2;0;2;0;0;2;0;2;0;4;0;2;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;2;0;0
failure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;2;4;0;4;6;2;2;2;0;0;2;0;2;2;0;2;2;4;2;2;2;2;4;0;0;2;0;2;0;0;2;0;2;0;2;0;4;0;2;0;6;2;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;2;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;2;0;2;2;2;0;0;2;0;2;0;0;0;4;2;2;4;2;0;0;2;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0
prime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;2;4;2;0;0;0;4;0;2;0;0;4;2;4;0;2;0;0;2;2;2;2;2;0;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;6;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
says;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;2;6;2;2;0;0;0;4;0;0;0;0;8;2;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;2;0;4;2;0;0;2;0;0;0;4;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;2;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;6;0;0;0;4;0;0;2;0;6;4;2;0;2;4;0;0;0;0;0;2;0;2;4;0;0;2;4;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
canada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;2;0;0;2;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
situation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0
universal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
leadership;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;2;0;6;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;2;2
action;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;4;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
needs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;2;4;0;2;0;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
mr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0
deliver;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0
words;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;0;2;0;0;0;0
indigenous;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0
asked;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;2;0;0;2;4;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
hes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
appoint;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;6;0;2;2;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0
enough;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;4;0;0;2;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
