,kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr
0,we’re,10,we’re,16,we’re,48,we’re,27
1,get,10,get,12,help,26,keep,16
2,keep,8,workers,10,support,21,help,15
3,food,7,help,10,need,17,here:,12
4,people,7,keep,9,get,16,need,12
5,need,6,need,8,"today,",14,get,12
6,make,5,canada,8,keep,13,canada,12
7,support,5,know,7,sure,13,you’re,11
8,here:,5,you’re,7,make,12,"today,",11
9,sure,5,businesses,7,new,11,covid-19,11
10,i’m,5,us,6,canada,11,spoke,11
11,canada,4,country,6,business,10,support,10
12,tune,4,support,6,working,10,we’ll,9
13,safe.,4,together.,6,emergency,10,across,8
14,response,4,watch,6,people,10,emergency,8
15,covid-19,4,care,6,you’re,9,click,8
16,questions,4,update,5,country,9,workers,7
17,organizations,4,loved,5,across,8,country,7
18,working,4,working,5,i’m,8,health,7
19,help,4,front,5,giving,7,we’ve,7
20,update,4,we’ve,5,canadians,7,i’m,7
21,everything,3,line,5,here:,7,working,7
22,others,3,sure,5,access,7,student,6
23,catch,3,that’s,4,businesses,7,going,6
24,kids,3,make,4,right,7,thanks,6
25,time.,3,emergency,4,announcing,7,know,6
26,workers,3,small,4,like,6,stay,6
27,family,3,taking,4,one,6,work,6
28,apply,3,new,4,click,6,also,6
29,business,3,one,4,work,6,dr.,5
30,now:,3,it’s,4,watch,6,us,5
31,today,3,giving,4,covid-19,6,members,5
32,here’s,3,across,4,taking,6,update,5
33,watch,3,everyone,4,million,6,right,5
34,#stayhome,3,health,4,health,5,rent,5
35,canadians,3,we’ll,4,nova,5,back,5
36,latest,2,stay,4,response,5,today.,5
37,happening,2,thanks,4,also,5,together,5
38,banks,2,want,3,know,5,too.,5
39,covid-19.,2,"safe,",3,mourning,5,new,5
40,edt,2,people,3,want,5,people,5
41,days,2,work,3,we’ve,5,talked,5
42,difficult,2,still,3,it’s,5,–,5
43,live:,2,steps,3,can’t,5,safe,5
44,sending,2,#stayhome,3,safe,5,together.,4
45,find,2,"covid-19,",3,making,5,research,4
46,@cpho_canada,2,safe.,3,announcement,5,watch,4
47,don’t,2,"today,",3,together,5,pandemic,4
48,later,2,apart,3,time.,5,well,4
49,born,2,live,3,organizations,5,provinces,4
50,minister,2,business,3,details,5,helping,4
51,team,2,thank,3,protect,4,"covid-19,",4
52,let’s,2,"possible,",3,today,4,wage,4
53,investing,2,covid-19.,3,funding,4,students,4
54,care,2,difficult,3,facing,4,fish,4
55,open,2,right,3,investing,4,government,4
56,giving,2,good,3,live,4,tune,4
57,applications,2,"ones,",3,full,4,ready,4
58,front,2,even,3,lost,4,territories,4
59,distribute,2,use,3,stay,4,premier,4
60,true,2,time,3,covid-19.,4,announcing,4
61,really,2,wage,3,steps,4,business,4
62,latest:,2,"year,",3,small,4,friends,4
63,"today,",2,month,2,you.,4,fight,4
64,see,2,though,2,update,4,covid-19.,4
65,helping,2,tonight,2,apply,4,giving,4
66,in.,2,measures,2,we’ll,4,announced,4
67,great,2,now:,2,many,4,keeping,4
68,stay,2,can’t,2,community,4,month,4
69,you’ll,2,"workers,",2,thanks,4,details:,4
70,daily,2,message,2,workers,3,that’s,4
71,experiencing,2,never,2,owners,3,canadians,4
72,shelters,2,ever.,2,"need,",3,last,4
73,taking,2,introduced,2,wishing,3,make,4
74,government’s,2,protective,2,ones,3,like,4
75,emergency,2,"non-profits,",2,tough,3,around,3
76,tough,2,whether,2,crisis.,3,work.,3
77,tomorrow,2,must,2,everyone,3,difficult,3
78,lives,2,like,2,difficult,3,minister,3
79,answers,2,paying,2,action,3,million,3
80,getting,2,more:,2,us,3,earlier,3
81,many,2,facing,2,line,3,front,3
82,"families,",2,music,2,today’s,3,they’re,3
83,buy,2,thank_you,2,happy,3,care,3
84,going,2,fight,2,able,3,efforts,3
85,want,2,show,2,resources,3,year.,3
86,health,2,"together,",2,benefit,3,able,3
87,spoke,2,response,2,millions,3,small,3
88,too.,2,putting,2,now.,3,call,3
89,whole,2,don’t,2,let’s,3,message,3
90,able,2,stand,2,care,3,read,3
91,live,2,equipment,2,day,3,economy.,3
92,you’re,2,take,2,need.,3,shared,3
93,communities,2,making,2,much,3,seafood,3
94,delivery,2,safe,2,struggling,3,good,3
95,benefit,2,subsidy,2,essential,3,principles,3
96,everyone,2,canadians,2,loved,3,task,3
97,entire,2,below.,2,first,3,"help,",3
98,check,1,united,2,scotia.,3,go,3
99,premiers,1,time.,2,better,3,loved,3
