;great;people;thank_you;big;joe;job;china;country;fake_news;state;military;endorsement;good;vets;sleepy;transit;media;history;bad;states;tom;american;world;trump;help;pennsylvania;coronavirus;vote;election;federal;crazy;congressman;second_amendment;republican;president;usa;lamestream;mike;obamagate;testing;love;obama;border;incredible;win;proud;work;political;ballots;national;lost;governor;left;caught;united;totally;together;white_house;funding;@foxnews;guy;corrupt;george;greatest;important;@usdot;wisconsin;republicans;coming;news;socalled;congress;john;area;thats;funds;michigan;night;strongly;farmers;businesses;california;tonight;supports;democrat;russia;stay;trying;soon;administration;#maga;fake;fraud;democrats;party;strong;psycho;tiffany;beat;given
great;0;32;16;12;4;36;8;6;10;20;20;6;12;16;2;8;4;4;8;4;12;10;8;10;12;4;8;8;4;6;2;8;4;8;0;10;6;10;2;14;10;2;4;8;6;4;2;4;8;10;4;8;4;0;2;4;4;2;2;8;8;2;4;2;4;6;12;6;2;12;2;8;2;8;2;4;4;6;2;10;4;6;2;6;14;0;0;0;4;2;2;2;4;6;2;6;0;12;10;6
people;0;0;4;16;6;8;14;8;12;12;14;10;6;14;2;14;10;2;4;4;8;6;0;2;14;8;6;2;6;8;4;6;8;4;4;8;10;0;0;4;8;4;6;12;6;6;10;6;4;4;4;6;0;4;4;8;6;0;10;4;2;6;0;2;4;10;8;6;8;2;2;10;0;2;6;6;6;2;10;4;4;4;0;12;2;0;4;2;2;2;2;2;2;2;0;6;2;6;4;2
thank_you;0;0;0;2;6;4;2;0;2;2;6;0;2;0;6;0;0;6;4;4;0;2;0;2;2;2;0;0;0;4;0;0;0;10;2;0;0;2;2;0;4;0;2;0;4;0;4;4;0;2;0;2;2;2;4;0;0;0;0;2;0;0;2;6;2;0;2;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;4;2;0;2;10;0;0;0;6;0;0;0;0;0
big;0;0;0;0;0;4;0;8;4;6;2;4;6;2;0;6;4;2;4;4;10;0;0;0;4;0;4;8;2;6;2;2;4;8;2;6;2;4;0;0;4;0;6;0;10;0;0;2;0;2;6;2;4;4;2;2;2;0;0;0;0;0;0;2;0;2;12;2;2;6;6;2;6;0;0;4;0;0;0;0;0;6;2;0;4;0;6;0;2;2;0;0;2;2;4;4;0;8;2;2
joe;0;0;0;0;0;4;8;0;2;6;2;0;0;0;32;0;2;4;8;2;0;2;0;8;0;2;2;2;2;2;8;0;0;4;2;2;2;0;2;0;0;2;0;0;8;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;4;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;6;0;16;0;2;2
job;0;0;0;0;0;0;2;2;2;2;2;4;4;6;0;2;2;4;6;6;2;2;2;4;4;0;4;0;2;4;0;6;6;2;4;0;2;2;2;4;0;2;2;0;0;4;0;6;0;6;2;0;6;0;4;2;4;4;2;2;2;2;0;4;4;0;2;0;0;2;2;6;2;2;4;2;0;6;6;2;4;0;0;6;2;0;0;2;0;0;4;0;0;0;0;2;2;2;4;0
china;0;0;0;0;0;0;0;8;8;0;0;0;4;0;6;0;2;0;6;10;0;2;12;2;2;0;6;0;0;0;4;0;0;0;4;6;2;0;0;2;0;0;2;0;2;0;0;4;0;0;6;0;4;0;12;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;6;4;0;0;0;0;2;2;0;0;0;0;2
country;0;0;0;0;0;0;0;0;8;0;2;4;4;4;0;0;4;4;2;4;0;0;8;0;0;2;0;4;0;0;2;4;4;2;0;4;2;2;0;4;4;0;0;2;4;0;0;4;2;0;0;0;2;2;4;0;0;0;0;2;0;0;0;4;0;0;0;0;4;0;0;2;0;0;2;0;0;0;2;2;2;0;4;4;0;0;0;2;4;0;2;4;0;2;0;2;0;0;0;2
fake_news;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;14;4;4;2;0;0;0;0;2;0;2;0;4;0;2;0;0;4;2;4;12;0;2;2;2;0;0;0;4;2;2;2;2;2;0;0;2;0;2;2;0;0;0;0;2;4;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;4;0;4;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;8;0;0;2;2;4;2;0;4;4;6;0;6;8;2;4;2;0;2;2;0;0;0;0;0;6;0;0;2;2;0;0;0;4;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;2;8;4;0;4;2;0;0;0;2;2;6;6;2;0;0;2;2;0;0;6;0;0;2;0;0;0;0;4;2;0;0;2;2;0;2
