kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_all,freq_all
great,79,great,99,great,98,great,83,great,107,great,466
democrats,36,thank_you,48,thank_you,81,thank_you,49,people,64,thank_you,268
thank_you,33,president,36,people,45,fake_news,41,thank_you,57,people,196
president,32,bernie,26,coronavirus,35,people,37,big,40,fake_news,130
@foxnews,31,trump,26,fake_news,30,states,29,joe,32,big,120
house,27,big,25,news,30,white_house,28,job,32,president,117
iran,27,people,24,states,29,news,27,china,31,job,104
people,26,mini_mike,24,working,27,media,24,country,29,states,102
american,25,@foxnews,23,federal,26,conference,23,fake_news,29,country,102
big,25,military,22,job,24,job,23,state,29,@foxnews,92
party,24,democrat,21,mini_mike,23,big,23,military,23,state,90
impeachment,23,impeachment_hoax,21,united,22,president,22,endorsement,23,democrats,89
democrat,22,party,21,#kag2020,22,coronavirus,21,good,22,coronavirus,87
senate,21,republican,21,american,21,good,21,vets,21,good,87
impeachment_hoax,21,fake_news,20,together,21,country,21,sleepy,21,american,86
military,20,america,20,bernie,21,strong,21,transit,21,military,84
trump,18,iowa,20,work,20,ventilators,20,media,20,strong,83
republican,17,state,20,country,20,china,18,history,19,china,81
usa,17,strong,19,strong,19,eastern,17,bad,19,news,79
schiff,17,democrats,19,joe,19,@foxnews,17,states,18,trump,77
do_nothing_democrats,16,endorsement,18,good,19,testing,16,tom,18,media,76
history,16,vets,18,hard,19,endorsement,15,american,18,democrat,74
strong,15,country,18,virus,17,state,14,world,17,endorsement,73
congress,15,crazy,18,government,17,lamestream,14,trump,17,joe,69
best,15,mueller,18,media,17,work,14,help,17,party,68
republicans,14,#maga,17,white_house,17,hard,14,pennsylvania,16,history,67
left,14,russia,16,sleepy,16,help,13,coronavirus,16,united,67
dems,14,vote,16,democrats,16,border,13,vote,16,republican,66
state,14,good,15,win,16,businesses,12,election,15,white_house,66
job,14,win,15,america,16,press,12,federal,15,america,66
country,14,dems,15,conference,16,second_amendment,12,crazy,15,bernie,65
trade,13,congress,15,new_york,15,congressman,12,congressman,15,working,64
china,13,states,14,democrat,14,american,12,second_amendment,15,win,60
radical,13,border,14,support,13,military,12,republican,15,federal,60
win,13,history,14,bad,13,left,11,president,15,usa,57
election,13,campaign,13,state,13,@nytimes,11,usa,15,work,57
united,13,carolina,13,families,12,business,11,lamestream,14,congress,57
another,13,coronavirus,12,president,12,crime,11,mike,14,vets,57
world,12,working,12,workers,12,enemy,10,obamagate,14,vote,56
ukraine,12,#2a,12,order,12,spoke,10,testing,14,hard,54
america,12,tonight,11,bill,12,happy,10,love,14,help,54
states,12,wonderful,11,biden,12,america,10,obama,14,border,53
unfair,12,usa,11,history,12,money,10,border,13,world,53
crime,12,bad,11,governors,11,new_york,10,incredible,13,mini_mike,53
high,12,trump”,11,usa,11,do_nothing_democrats,10,win,13,crazy,52
economy,12,job,11,world,11,united,10,proud,13,bad,51
working,11,help,11,governor,11,care,10,work,13,left,51
transcripts,11,money,11,love,11,wanted,9,political,13,dems,50
record,11,china,11,full,11,night,9,ballots,13,sleepy,47
shifty,11,everyone,10,national,11,sources,9,national,12,#maga,47
@foxandfriends,11,agenda,10,reserve,11,fighter,9,lost,12,impeachment_hoax,45
nancy,11,hampshire,10,eastern,10,hospitals,9,governor,12,corrupt,45
good,10,south,10,russia,10,failing,9,left,12,crime,44
corrupt,10,record,10,protect,10,democrats,9,caught,12,russia,44
fake_news,10,united,10,cut,10,invisible,9,united,12,election,43
partisan,10,debate,10,important,10,radical,8,totally,11,do_nothing_democrats,43
john,9,scam,10,early,10,times,8,together,11,love,42
bernie,9,american,10,nation,10,million,8,white_house,11,house,42
dollars,9,supports,10,endorsement,10,trump,8,funding,11,together,42
case,9,corrupt,10,ventilators,10,take,8,@foxnews,11,conference,41
deal,9,loves,10,best,10,tremendous,8,guy,11,best,41
witnesses,9,best,10,@foxnews,10,world,8,corrupt,11,republicans,40
hoax,9,bloomberg,10,vote,10,loves,8,george,11,national,40
vote,8,jobs,10,decision,10,countries,8,greatest,11,money,40
money,8,place,9,race,9,story,8,important,11,new_york,39
court,8,polls,9,possible,9,governors,8,@usdot,11,ventilators,38
cryin_chuck,8,night,9,congress,9,#maga,8,wisconsin,11,radical,38
numbers,8,senator,9,low,9,working,8,republicans,11,incredible,37
trial,8,do_nothing_democrats,9,act,9,congress,7,coming,11,testing,37
texas,8,trial,9,wonderful,9,sleepy,7,news,11,loves,36
jobs,8,rally,9,corrupt,9,government,7,socalled,11,jobs,36
hard,8,countries,9,incredible,9,needed,7,congress,11,totally,36
media,8,@cnn,9,situation,9,party,7,john,10,senate,36
killed,7,congratulations,9,ahead,9,wants,7,area,10,night,36
crazy,7,judge,9,general,9,especially,7,thats,10,numbers,36
future,7,texas,9,safe,9,530,7,funds,10,congressman,36
endorsement,7,debates,9,prevail,9,vets,7,michigan,10,tonight,36
political,7,think,9,bloomberg,9,fake,7,night,10,@foxandfriends,35
soleimani,7,john,9,americans,9,ohio,7,strongly,10,lamestream,35
totally,7,economy,8,chinese,8,call,7,farmers,10,political,34
wall,7,running,8,numbers,8,democrat,7,businesses,10,nancy,34
aid,7,phony,8,help,8,late,7,california,10,government,34
witch_hunt,7,stop,8,msdnc,8,joe,7,tonight,10,iran,34
national,7,could,8,presidential,8,morning,7,supports,10,fake,34
pelosi,7,senate,8,businesses,8,helping,7,democrat,10,second_amendment,34
iranian,7,fake,8,enemy,8,bernie,6,russia,10,#kag2020,34
federal,7,hope,8,health,8,political,6,stay,10,countries,34
hit,7,sanders,8,saved,8,told,6,trying,10,impeachment,34
love,7,wall,8,soon,8,everyone,6,soon,10,john,34
border,7,report,8,rate,8,hes,6,administration,10,administration,33
americans,7,administration,8,china,8,end,6,#maga,10,another,33
question,7,deal,8,republicans,8,vote,6,fake,9,record,32
family,6,numbers,8,quickly,8,forward,6,fraud,9,economy,32
scam,6,honor,8,god,8,worse,6,democrats,9,governor,32
schumer,6,totally,8,trump,8,moving,6,party,9,business,31
hope,6,election,8,senator,8,conferences,6,strong,9,soon,31
work,6,crime,8,lives,8,federal,6,psycho,9,trade,31
articles,6,primary,7,borders,8,ban,6,tiffany,9,tom,31
hes,6,justice,7,sanders,8,sending,6,beat,9,wonderful,31
thats,6,number,7,number,8,etc,6,given,9,support,30
