;president;great;trump;people;states;united;new;best;news;american;billion;administration;obama;help;military;house;bill;called;money;congress;white;conference;country;media;article;tax;city;working;donald;world;russian;deal;decision;campaign;official;given;paid;center;illegal;signed;thank;days;state;fight;happy;government;election;anime;hillary;2016;san;leader;thought;good;speak;health;fox;join;j;work;killed;senate;department;greatest;forces;thing;justice;worth;russia;year;making;left;proud;report;win;national;act;defense;exactly;looking;tell;attack;barack;presidential;federal;todd;critical;huge;economy;america;hard;part;considering;safe;passed;providing;taking;free;waging;set
president;0;0;16;4;10;10;2;0;0;2;4;0;6;4;2;2;4;2;0;4;2;0;0;0;0;0;0;2;4;2;2;0;4;2;0;2;4;0;0;4;0;2;0;4;2;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;4;2;0;0;4;2;0;0;2;2;0;0;4;0;0;2;4;2;2;0;0;4;6;4;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0
great;0;0;0;4;6;2;2;4;4;2;0;2;0;0;2;0;2;0;4;2;0;2;2;2;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;2;4;4;2;0;4;0;4;0;0;0;0;0;0;2;0;0;2;4;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0
trump;0;0;0;2;6;6;0;0;0;2;2;2;0;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;8;0;0;0;2;6;0;0;2;0;2;4;0;2;0;2;2;0;4;0;2;2;2;0;2;2;0;0;0;0;4;0;0;0;0;0;2;2;0;0;4;2;0;0;2;0;0;4;4;2;2;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;4;0;2;0
people;0;0;0;0;4;2;2;2;0;8;0;2;2;4;2;2;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;2;4;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0
states;0;0;0;0;0;18;0;2;2;2;4;0;2;2;2;2;2;0;4;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;4;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0
united;0;0;0;0;0;0;0;0;0;2;4;0;2;2;2;2;2;0;2;0;2;0;2;0;0;0;0;0;2;2;0;0;2;0;0;4;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;4;2;4;2;2;2;0;0;2;0;2;0;2;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0
best;0;0;0;0;0;0;0;0;4;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;4;2;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
