;president;great;trump;united;states;administration;world;state;donald;white;people;obama;good;new;russia;republican;story;house;given;federal;sanders;talk;york;party;may;military;nothing;win;bernie;department;country;latest;money;government;left;found;part;presidential;history;bad;incredible;contract;justice;releasing;court;stars;trumps;another;forward;bill;ap;continue;vote;plan;huge;operations;supreme;best;issue;press;war;guys;@senthompsqueakthats;games;top;attending;running;big;immigration;join;attack;told;updated;system;hillary;tax;together;nhl;florida;transcript;times;job;democrats;sunday;rightthank;news;person;massive;number;thing;radical;education;construction;americans;media;important;old;written;families;horrible
president;0;4;8;14;14;2;0;4;4;4;0;4;0;4;2;2;4;4;2;0;4;0;4;2;2;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;4;0;2;2;2;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;4;0;2;0;0;2;2;0;2;0;0;0;0;4;2;2;0;0;0;2;0;2;0;0;0;0;0;2;4;0;2;0;0;0
great;0;0;2;2;2;2;2;6;2;2;4;4;2;2;0;4;2;0;2;0;2;0;4;0;2;2;2;2;2;0;4;0;0;2;0;0;0;0;0;0;4;0;0;0;4;0;0;2;0;2;0;0;2;2;2;0;4;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;4;0;0;0;4;0;2;0;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;0;0;2;0
trump;0;0;0;4;4;6;0;4;12;4;0;2;0;0;2;4;2;2;2;0;0;0;0;0;4;0;0;2;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;2;0;0;6;0;2;2;0;0;2;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
united;0;0;0;0;20;0;2;6;2;4;2;0;0;2;2;4;0;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;4;0;0;2
states;0;0;0;0;0;0;2;6;2;4;2;0;0;2;2;4;0;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;0;4;0;0;2
administration;0;0;0;0;0;0;2;2;4;0;0;8;2;4;2;0;0;0;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0
world;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;2;2;2;2;0;2;2;4;2;2;4;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;2;2;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;4;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
