;great;president;trump;states;united;people;new;american;news;state;government;department;best;country;administration;military;good;justice;national;obama;house;working;media;fbi;campaign;law;proud;hard;election;help;money;presidential;world;thank;called;clinton;donald;security;man;bill;city;illegal;big;senator;article;white;police;killed;russian;thing;hillary;men;greatest;billion;dnc;china;huge;2016;lost;fake;senate;fight;democrats;federal;texas;russia;could;washington;bernie;win;court;former;republican;congress;leader;vets;bad;crime;order;story;left;attack;days;use;york;strong;decision;signed;women;@;investigation;officials;sanders;following;considering;end;action;happy;power;making
great;0;12;4;10;6;16;2;8;8;4;0;0;4;12;2;6;8;2;2;0;2;8;8;2;2;0;6;4;4;2;4;0;6;2;2;0;0;2;2;4;2;0;0;4;0;0;2;2;0;0;0;6;0;0;0;4;2;2;0;4;2;0;4;0;2;4;0;2;0;4;0;0;4;2;4;6;2;8;0;0;4;0;0;2;2;6;0;0;4;2;0;0;2;0;0;0;0;4;2;6
president;0;0;36;20;20;8;8;6;6;4;0;2;0;8;0;4;6;2;4;8;4;4;2;4;8;2;6;2;6;6;0;6;2;6;4;0;6;4;4;8;2;0;2;2;0;2;0;4;2;6;0;0;0;4;0;2;2;4;0;2;4;6;2;2;0;8;0;2;0;2;2;2;0;4;6;0;0;0;6;2;2;4;4;0;2;2;4;6;0;2;2;4;0;2;0;0;2;2;0;0
trump;0;0;0;12;12;4;6;6;0;2;0;0;0;2;8;2;6;4;10;0;4;2;2;6;12;2;2;2;6;2;2;8;0;2;2;0;20;4;0;4;2;6;0;0;4;4;0;0;0;4;2;0;0;2;4;0;0;4;0;0;0;4;2;0;2;8;4;0;0;0;4;4;6;2;2;0;2;0;2;2;2;6;4;0;2;2;2;4;0;2;2;0;0;4;2;2;0;2;0;0
states;0;0;0;0;60;16;2;6;4;8;2;4;4;8;4;6;2;4;0;4;4;4;2;0;4;0;0;2;0;2;4;4;4;0;0;0;2;0;2;4;0;2;2;0;4;4;0;2;2;4;0;2;0;4;0;2;0;0;0;2;0;4;0;0;0;2;2;2;0;2;4;0;0;0;0;0;0;0;4;2;2;0;0;0;0;2;4;2;0;2;0;2;0;2;0;0;4;0;2;0
united;0;0;0;0;0;12;2;6;2;6;2;4;2;6;4;6;2;4;0;4;4;4;2;0;4;0;0;2;0;2;2;4;4;0;0;0;2;0;2;4;0;4;2;0;4;4;0;2;2;4;0;2;0;4;0;2;0;0;0;2;0;4;0;0;0;2;2;2;0;2;4;0;0;0;0;0;0;0;4;2;2;0;0;0;0;2;2;2;0;2;0;2;0;2;0;0;4;0;2;0
people;0;0;0;0;0;0;2;14;2;8;2;0;6;4;6;8;2;0;6;2;2;4;0;4;0;2;2;2;0;4;2;0;4;2;2;0;0;2;0;2;2;4;4;2;4;2;0;8;0;0;0;4;2;0;2;4;2;0;0;0;0;2;0;0;0;2;2;2;0;2;2;0;0;0;2;0;2;0;2;0;0;6;2;0;2;0;4;2;4;0;2;0;0;2;2;0;2;0;0;0
new;0;0;0;0;0;0;0;4;4;4;2;2;6;6;2;2;2;0;2;2;4;4;0;0;0;4;0;2;2;2;0;2;0;2;4;6;2;0;4;2;4;0;2;0;0;4;0;0;2;0;4;0;0;2;2;0;4;2;4;0;2;0;0;0;2;0;0;0;2;0;0;2;0;2;4;0;2;0;2;0;0;2;2;0;12;2;2;2;0;2;2;0;2;2;2;4;2;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;2;6;2;0;4;2;4;0;2;0;4;4;2;0;2;0;0;0;2;0;2;0;0;2;0;0;2;6;0;4;0;2;0;2;4;2;0;4;2;0;2;0;0;4;0;0;0;0;0;0;2;2;0;0;4;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;4;6;0;0;2;0;2;4;0;0;2;0;0;0
news;0;0;0;0;0;0;0;0;0;2;2;6;4;2;0;0;8;6;0;2;4;2;10;4;2;2;0;0;4;0;0;4;2;2;2;6;2;0;0;4;2;0;0;2;0;0;0;0;2;2;6;0;0;0;0;0;2;4;0;14;0;0;4;6;0;2;0;2;2;2;0;0;2;0;0;0;4;0;2;0;2;0;2;0;2;0;0;0;0;0;4;4;2;0;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;4;8;0;2;0;2;0;4;4;2;0;4;0;2;2;4;0;0;2;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;2;2;0;4;0;0;2;2;0;2;2;2;0;0;0;0;2;2;0;2;0;0;2;0;2;0
