;great;trump;president;united;states;people;new;american;house;government;news;state;federal;administration;national;white;obama;democrats;world;country;man;republican;party;working;thank;history;york;best;department;big;court;media;police;senate;donald;job;help;good;election;fbi;may;campaign;russia;washington;former;fake;americans;2016;presidential;year;love;city;thing;bill;million;congress;left;justice;article;committee;america;war;win;supreme;nothing;trying;released;hard;act;important;story;killed;law;post;hillary;military;week;proud;china;fact;senator;times;security;take;clinton;texas;work;vote;strong;amazing;night;another;radical;support;second;group;reserve;women;investigation;economy
great;0;130;146;98;88;184;136;164;66;44;72;120;22;40;38;54;30;56;44;84;40;66;30;68;78;26;44;46;20;74;8;36;8;36;34;116;48;54;22;14;20;20;14;26;6;36;42;14;10;36;62;28;28;34;10;24;40;14;18;16;46;26;32;8;20;26;16;38;22;30;16;4;18;14;2;28;26;44;12;18;52;26;16;32;2;10;32;28;38;38;26;22;24;22;22;20;8;34;4;24
trump;0;0;524;130;116;130;130;80;138;68;116;62;36;158;86;118;78;68;38;46;42;74;36;42;26;32;42;12;38;28;28;66;10;32;268;44;30;40;64;66;58;136;68;78;68;70;32;64;76;18;16;14;38;22;20;34;30;34;18;30;16;22;38;20;34;40;30;24;24;22;30;12;20;52;38;18;16;22;24;26;20;32;38;18;34;12;12;26;18;12;24;22;18;6;16;20;4;16;34;16
president;0;0;0;228;212;126;108;98;160;76;90;50;30;64;88;134;102;56;26;50;24;48;24;42;32;52;50;26;42;26;36;56;6;34;102;44;22;38;26;48;42;40;38;66;62;56;34;26;38;12;2;22;42;30;16;36;24;38;26;24;34;20;18;28;38;26;24;36;32;22;18;14;22;30;24;28;28;12;30;30;10;32;44;26;26;16;16;14;22;14;28;16;28;24;18;18;4;12;30;8
united;0;0;0;0;942;144;80;66;52;98;34;60;22;66;40;42;52;32;86;66;22;32;20;48;32;56;20;28;26;20;54;14;18;34;36;38;34;30;24;10;20;14;34;14;14;16;18;8;18;14;12;20;24;16;24;20;12;22;10;6;70;56;14;52;10;24;16;24;20;14;18;26;14;14;16;52;6;18;44;22;22;16;30;30;12;16;12;22;20;12;6;16;22;30;20;20;6;20;4;12
states;0;0;0;0;0;134;70;64;56;106;28;62;36;62;34;40;48;34;80;70;24;34;24;46;34;50;12;24;22;20;64;14;16;32;34;38;36;28;24;12;20;12;30;16;12;12;22;8;14;12;10;16;22;22;26;22;10;24;10;8;70;52;14;58;10;24;10;26;26;8;18;24;20;16;18;52;8;14;42;20;24;14;22;26;12;20;14;20;22;10;4;14;20;32;20;18;6;20;8;12
people;0;0;0;0;0;0;82;228;42;40;40;72;40;32;46;46;32;44;58;60;20;44;42;54;50;24;32;38;34;48;20;42;20;24;30;44;38;36;28;26;20;14;14;42;18;28;14;34;16;32;24;26;22;10;32;28;26;24;12;12;30;10;16;18;32;26;18;30;26;12;12;44;16;16;8;18;14;32;18;18;22;26;24;28;10;28;24;30;28;28;18;8;16;12;8;34;12;16;10;22
new;0;0;0;0;0;0;0;50;42;48;66;66;32;32;34;48;26;32;22;36;38;34;22;30;14;22;298;38;30;40;14;16;28;16;36;20;24;26;20;28;20;24;20;38;36;28;18;24;38;38;28;60;12;22;22;18;16;16;20;14;28;12;14;8;14;12;34;12;16;18;30;8;14;42;20;20;18;34;8;6;18;114;10;18;26;4;14;12;14;16;22;10;14;10;12;10;8;14;20;8
american;0;0;0;0;0;0;0;0;46;24;26;14;22;28;36;28;32;38;28;42;24;28;22;42;24;60;24;14;24;30;20;20;8;24;12;24;14;18;12;16;8;8;14;22;20;22;30;20;16;16;14;8;14;24;10;32;22;22;14;8;14;20;14;16;14;20;12;16;18;18;14;8;6;12;10;18;16;20;12;16;20;20;18;18;12;2;10;18;20;14;14;6;24;6;10;10;8;18;6;18
house;0;0;0;0;0;0;0;0;0;38;36;22;20;28;36;362;42;60;12;8;10;34;24;20;38;10;20;8;18;8;6;30;4;50;20;16;12;14;24;30;22;8;24;28;30;14;16;22;18;12;6;10;10;44;14;34;22;16;18;58;14;8;22;4;20;14;20;18;26;14;4;10;8;8;12;10;26;4;8;6;10;12;16;18;16;12;10;24;2;6;12;12;16;8;4;16;4;4;18;2
government;0;0;0;0;0;0;0;0;0;0;12;28;132;22;20;16;12;32;22;36;6;16;16;44;18;14;14;10;14;28;28;6;6;20;20;12;30;8;12;14;4;20;20;6;4;6;20;8;8;6;0;16;16;16;36;8;12;6;6;14;6;2;8;16;12;10;20;8;16;14;10;10;22;10;2;14;6;6;10;8;4;6;18;16;2;4;10;10;20;2;4;8;12;30;12;4;4;8;12;12
news;0;0;0;0;0;0;0;0;0;0;0;22;22;20;20;32;22;28;20;18;16;26;18;12;28;10;22;30;18;18;6;98;10;12;38;20;10;34;16;24;14;24;10;30;10;208;22;24;18;6;10;2;20;16;0;2;26;12;8;8;8;4;2;6;18;36;4;16;10;12;26;4;4;10;20;0;14;8;6;10;6;16;2;4;14;0;18;6;0;4;8;16;10;4;2;0;8;6;16;6
state;0;0;0;0;0;0;0;0;0;0;0;0;32;16;24;14;20;14;18;20;12;32;20;20;16;14;26;16;50;14;24;8;22;18;10;8;20;10;14;6;28;12;8;20;20;8;14;22;10;12;14;20;8;10;18;16;8;10;6;6;20;8;14;18;2;10;14;8;12;12;12;10;20;2;20;8;4;18;4;8;12;8;14;10;20;14;14;14;6;10;8;12;4;14;4;20;4;0;8;8
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;30;14;10;18;8;10;8;18;10;6;30;16;14;20;6;18;14;44;6;14;12;20;26;22;6;18;14;14;14;4;10;8;8;16;2;4;16;2;16;12;14;36;2;8;12;4;12;8;8;8;22;8;10;6;6;20;10;2;6;26;4;2;2;12;4;6;12;10;10;18;8;2;10;8;0;12;4;10;6;4;16;4;4;148;0;16;38
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;14;244;20;10;14;14;16;10;22;12;10;6;8;22;10;12;10;2;8;18;10;18;8;12;12;20;8;14;8;16;8;16;4;6;6;2;4;2;0;10;20;12;8;4;16;6;18;6;8;16;14;20;10;8;14;6;4;10;4;10;12;10;4;10;14;6;6;18;10;10;6;4;4;6;6;0;8;14;6;8;12;4;6;10;2
