,0
great,325
thank_you,136
people,114
new,103
never,93
president,89
get,80
many,78
big,75
states,75
fake_news,74
would,70
democrats,69
like,69
thank_you!,69
even,68
american,67
strong,67
want,65
@foxnews,64
democrat,63
going,62
good,59
mini,58
back,58
working,57
news,56
military,56
state,55
united,55
total,53
mike,53
america,50
way,50
p.m.,50
job,50
republican,50
time,49
trump,48
coronavirus,48
white_house,48
keep,48
complete,48
make,48
media,48
party,47
today,47
don’t,47
said,46
country,45
nothing,45
must,43
federal,43
done,42
see,42
got,41
really,41
conference,40
hard,40
much,39
us,39
also,39
years,39
far,39
china,38
border,37
one,37
endorsement!,37
two,36
house,36
bernie,36
left,35
go,35
crime,35
york,34
best,34
well,34
#maga,34
always,34
congress,34
#kag2020,34
corrupt,33
it’s,33
vote,33
money,32
u.s.,32
last,32
doesn’t,32
history,32
do_nothing_democrats,32
made,32
dems,31
radical,31
ever,31
help,31
russia,31
iran,30
work,30
win,29
loves,29
know,28
“the,28
national,28
look,28
love,27
day,27
wonderful,27
ventilators,27
impeachment,27
republicans,26
including,26
great!,26
others,26
long,26
bad,26
vets,26
senator,25
order,25
totally,25
say,25
@foxandfriends,25
jobs,25
another,25
second,25
every,25
government,25
fake,25
senate,24
things,24
incredible,24
trade,24
protect,24
small,23
numbers,23
better,23
economy,23
support,23
open,23
getting,23
countries,23
impeachment_hoax,23
witch,22
fact,22
usa,22
number,22
schiff,22
yet,22
election,22
together,22
nancy,21
@nytimes,21
take,21
everyone,21
political,21
need,21
wall,21
wants,21
approval,21
didn’t,21
congressman,20
borders,20
since,20
americans,20
governor,20
right,20
congratulations,20
high,20
chuck,20
world,20
–,20
bloomberg,20
john,20
deal,20
again!,20
tonight,19
presidential,19
anything,19
court,19
rating,19
lamestream,19
million,19
everything,19
happy,19
let,19
iowa,19
times,18
early,18
administration,18
fully,18
read,18
crazy_bernie,18
wanted,18
could,18
decision,18
important,18
record,18
hope,18
can’t,18
mueller,18
stop,18
first,18
sanders,18
real,18
bill,17
testing,17
night,17
virus,17
spoke,17
pelosi,17
end,17
businesses,17
tremendous,17
impeachment_hoax.,17
that’s,17
full,17
business,17
given,16
ahead,16
biden,16
matter,16
care,16
cut,16
phony,16
@cnn,16
think,16
coming,16
remember,16
quickly,16
continue,16
governors,16
away,16
done.,16
partisan,16
schumer,16
dollars,16
campaign,15
story,15
sleepy_joe,15
3,15
forward,15
tax,15
scam,15
supports,15
security,15
texas,15
debate,15
running,15
tomorrow,15
rate,15
give,15
taking,15
making,15
south,15
polls,15
put,15
press,15
report,15
cryin’,14
looking,14
especially,14
workers,14
thing,14
friend,14
wrong,14
fake_news!,14
almost,14
law,14
(and,14
trying,14
families,14
trial,14
morning,14
he’s,14
general,14
zero,14
supporter,14
family,14
country.,14
three,14
place,14
market,14
hit,14
knew,14
thousands,14
carolina,14
come,14
run,13
happen,13
race,13
use,13
case,13
msdnc,13
poll,13
worst,13
tough,13
nice,13
amendment,13
eastern.,13
shifty,13
stronger,13
supreme,13
war,13
fantastic,13
virginia,13
millions,13
lives,13
thought,13
honor,13
called,13
it.,13
agenda.,13
minister,13
moving,12
sources,12
joe,12
washington,12
biggest,12
coronavirus.,12
michael,12
watch,12
told,12
leaders,12
helping,12
unfair,12
person,12
tom,12
fighter,12
billion,12
late,12
beautiful,12
votes,12
economic,12
elizabeth,12
else,12
closely,12
won’t,12
reason,12
leader,12
you!,12
god,12
now.,12
book,12
thanks,12
enemy,12
ratings,12
major,12
prime,12
stand,12
به,12
conversation,12
ago,12
true,11
2nd,11
fast,11
amendment.,11
still,11
fight,11
little,11
hunt,11
nobody,11
paid,11
gave,11
save,11
taxes,11
health,11
believe,11
strongly,11
come!,11
warren,11
price,11
greatest,11
stock,11
respect,11
nation,11
social,11
man,11
95%,11
farmers,11
beginning,11
terrible,11
voted,11
country!,11
days,11
came,11
happened,11
call,11
knows,11
hospitals,11
it!,11
safe,11
را,11
four,11
fox,11
actually,11
community,11
close,11
job!,11
west,11
ukraine,11
#2a.,11
reserve,11
watching,10
promises,10
lost,10
brought,10
lot,10
needed,10
today.,10
justice,10
obama,10
invisible,10
@foxnews.,10
out.,10
heading,10
reported,10
etc.,10
crazy,10
highly,10
cuomo,10
killed,10
deals,10
@seanhannity,10
despite,10
roger,10
immediately,10
low,10
along,10
usa!,10
fair,10
name,10
north,10
ask,10
wouldn’t,10
fake_news.,10
act,10
weak,10
failing,10
china.,10
#2a,10
highest,10
used,10
world.,10
possible,10
coronavirus!,10
mark,10
become,10
situation,10
attack,10
chris,10
hoax,10
saved,10
jim,9
power,9
force,9
truly,9
calling,9
adam,9
soon!,9
party.,9
@ingrahamangle,9
easy,9
ready,9
aid,9
start,9
proud,9
و,9
now!,9
around,9
energy,9
them.,9
taken,9
public,9
next,9
5,9
win.,9
interviewed,9
5:00,9
job.,9
illegal,9
true!,9
history!,9
5:30,9
chinese,9
20,9
citizens,9
wow!,9
pay,9
perhaps,9
couldn’t,9
week,9
seen,9
thank,9
nomination,9
deliver,9
happens,9
well.,9
went,9
sending,9
large,9
this.,9
whole,9
chance,9
putting,9
people!,9
allowed,9
wasn’t,9
dnc,9
him.,9
show,9
looks,9
already,9
medical,9
meeting,8
defeat,8
playing,8
record.,8
encourage,8
hampshire,8
less,8
able,8
future,8
amazing,8
incompetent,8
team,8
companies,8
investigation,8
successful,8
forced,8
iranian,8
year,8
join,8
enjoy!,8
information,8
building,8
may,8
asked,8
i’m,8
smart,8
sure,8
disaster,8
@cdcgov,8
....the,8
office,8
is.,8
life,8
foreign,8
@judgejeanine,8
trump.”,8
win!,8
way.,8
anyone,8
winning,8
buy,8
except,8
ایران,8
mike!,8
failed,8
cutting,8
candidate,8
means,8
politician,8
news!,8
city,8
breaking,8
terrific,8
steyer,8
और,8
mayor,8
judges,8
rally,8
payroll,8
@mariabartiromo,8
horrible,8
gotten,8
words,8
former,7
game,7
home,7
though,7
hoax.,7
handling,7
fighting,7
victory,7
worse,7
soon,7
talking,7
massive,7
illegally,7
asking,7
primary,7
post,7
according,7
says,7
crooked,7
cannot,7
southern,7
prevail!,7
hospital,7
finally,7
swine,7
bless,7
secretary,7
worker,7
later,7
march,7
ohio!,7
recently,7
eastern,7
night.,7
fed,7
me.,7
november,7
started,7
agenda,7
more.,7
harder,7
all!,7
understand,7
we’re,7
spending,7
certain,7
third,7
strong!,7
fisa,7
sorry,7
isn’t,7
canada,7
doctors,7
director,7
work!,7
witnesses,7
before!,7
super,7
vets.,7
badly,7
demand,7
within,7
10,7
agree!,7
hear,7
donald,7
mr.,7
based,7
debates,7
whose,7
without,7
allow,7
please,7
bring,7
rebuilding,7
transcripts!,7
problem,7
sad!,7
@washingtonpost,7
के,7
often,7
stone,7
senate.,7
question,7
michigan,7
texas.,7
endorsement,7
signed,7
conservative,6
tonight.,6
politicians,6
approved,6
reporters,6
@oann,6
live,6
india,6
spent,6
charlie,6
importantly,6
head,6
“i,6
months,6
treated,6
nurses,6
soleimani,6
response,6
japan,6
dangerous,6
pushing,6
time.,6
भारत,6
something,6
rid,6
stay,6
hardworking,6
briefing,6
white_house.,6
build,6
giving,6
manchin,6
lawyer,6
travel,6
nation’s,6
so-called,6
hillary,6
oil,6
rather,6
additional,6
safely,6
history.,6
cases,6
up!,6
می,6
foreperson,6
articles,6
task,6
watch!,6
politics,6
con,6
points,6
action,6
“there,6
leaving,6
“shifty”,6
@whitehouse,6
schedule.,6
request,6
add,6
you’re,6
congress.,6
cdc,6
hunts,6
statement,6
justices.,6
flu,6
legal,6
haven’t,6
desperately,6
dropped,6
dollar,6
tell,6
talk,6
poorly,6
enforcement,6
beat,6
check,6
street,6
plus,6
ship,6
earlier,6
interview,6
committed,6
swamp!,6
thrown,6
unemployment,6
speaking,6
first!,6
funding,6
itself.,6
cities,6
noble,6
cnn,6
funds,6
level,6
birthday,6
way!,6
a.m.,6
@loudobbs,6
years.,6
nervous,6
approve,6
healthcare,6
happen!,6
per,6
in.,6
gets,6
colorado,6
california,6
people.,6
meet,6
w/,6
day.,6
slow,6
football,6
leave,6
lower,6
saying,6
equipment,6
tuesday,6
9:00,6
policy,6
performance,6
fast!,6
lied,6
journal,6
discuss,6
there!,5
paycheck,5
cars,5
watched,5
wonder,5
@secazar,5
infrastructure,5
everybody,5
kept!,5
directly,5
9,5
old,5
steve,5
idea,5
rates,5
country’s,5
4,5
pathetic,5
jackson,5
biased,5
wish,5
relief,5
supply,5
facts,5
named,5
xi,5
starting,5
blame,5
cold,5
together.,5
risk,5
(which,5
phone,5
